Date,"North Eastern Railway War Memorial","Benedict Arnold's expedition to Quebec","Steve Biko","Si Ronda","Lost operas by Claudio Monteverdi","Eve (2003 TV series)","Gumbo","Development of Grand Theft Auto V","Morchella rufobrunnea"
2016-12-07,3,33,924,6,10,68,1641,168,7
2016-12-08,3,65,948,12,18,55,1598,168,16
2016-12-09,7,62,783,15,25,50,1537,182,22
2016-12-10,13,32,816,9,22,53,1694,129,17
2016-12-11,7,25,682,8,14,44,1712,178,12
2016-12-12,5,38,814,14,14,72,1546,173,20
2016-12-13,2,64,844,4,12,49,1545,173,16
2016-12-14,4,58,1148,9,14,70,1853,201,15
2016-12-15,36,50,829,11,14,47,1593,187,16
2016-12-16,59,29,726,13,16,70,1384,193,13
2016-12-17,10,33,8668,12,15,137,1580,157,21
2016-12-18,7,38,708335,7,11,54,1762,178,12
2016-12-19,24,38,115178,9,7,68,1853,193,19
2016-12-20,11,36,8769,7,10,53,1585,195,13
2016-12-21,7,34,4710,7,9,51,1740,175,8
2016-12-22,11,33,3309,11,8,282,1543,159,19
2016-12-23,8,34,2362,8,9,124,1658,145,22
2016-12-24,4,26,2027,6,10,55,1996,161,7
2016-12-25,9,236,1740,9,14,52,1983,389,10
2016-12-26,3,32,1710,6,309,55,2576,183,108
2016-12-27,3,30,1526,109,7,71,1924,197,11
2016-12-28,9,30,1577,5,12,57,1917,174,13
2016-12-29,5,35,1426,12,13,46,2010,193,15
2016-12-30,5,19,1340,22,10,73,2014,181,17
2016-12-31,2,40,1140,2,2,55,2170,139,8
2017-01-01,5,46,991,6,6,39,2548,160,9
2017-01-02,0,31,1012,3,6,86,2246,203,15
2017-01-03,11,40,1194,4,14,70,2145,183,17
2017-01-04,3,40,1034,10,10,59,1800,201,7
2017-01-05,8,43,1111,22,17,47,1809,191,23
2017-01-06,6,46,1071,9,11,53,1874,184,13
2017-01-07,4,30,1186,6,14,42,2064,174,11
2017-01-08,4,28,1040,7,8,50,2235,227,17
2017-01-09,4,32,1007,5,7,67,2023,204,11
2017-01-10,8,33,1023,7,14,51,1748,202,10
2017-01-11,11,42,1007,6,9,46,1734,181,19
2017-01-12,5,37,1091,10,12,47,1735,214,19
2017-01-13,4,60,967,5,7,43,1674,229,17
2017-01-14,5,32,931,7,9,134,1955,176,11
2017-01-15,4,52,1058,5,7,106,2064,189,12
2017-01-16,3,47,1197,15,17,109,1784,229,21
2017-01-17,4,47,1121,6,11,56,1682,177,9
2017-01-18,7,36,1044,2,6,51,1584,200,8
2017-01-19,8,30,1086,9,11,81,1754,164,14
2017-01-20,1,29,946,6,10,42,1633,169,18
2017-01-21,1,34,766,11,6,51,1632,147,11
2017-01-22,0,48,914,10,16,56,1916,182,21
2017-01-23,2,36,1003,17,17,40,1791,201,18
2017-01-24,6,70,1003,7,12,46,1684,175,11
2017-01-25,1,38,1053,5,12,57,1622,161,14
2017-01-26,1,39,948,12,13,62,2062,175,13
2017-01-27,2,34,1124,5,14,64,1672,155,12
2017-01-28,6,74,1646,11,10,48,1871,155,13
2017-01-29,1,36,1083,9,8,48,2891,180,10
2017-01-30,1,48,1170,5,11,73,2528,154,13
2017-01-31,1,34,1163,8,5,50,1710,160,14
2017-02-01,32,40,1300,12,15,77,1854,154,12
2017-02-02,18,57,1340,4,2,33,1941,160,16
2017-02-03,7,59,1323,1,18,57,1743,197,10
2017-02-04,6,36,815,9,12,71,2357,129,21
2017-02-05,3,41,1042,9,10,153,3959,162,16
2017-02-06,4,41,992,8,17,135,3318,170,10
2017-02-07,14,30,1091,9,13,86,1975,153,14
2017-02-08,7,54,1078,16,22,165,1845,199,19
2017-02-09,24,44,1199,20,12,99,1803,200,21
2017-02-10,36,54,994,13,10,61,1869,169,9
2017-02-11,26,31,1318,11,16,76,1869,192,20
2017-02-12,2,31,1369,6,15,67,2103,164,9
2017-02-13,8,67,1255,10,20,68,1966,187,22
2017-02-14,4,60,983,12,20,63,1663,182,20
2017-02-15,43,64,1072,19,24,55,1989,176,23
2017-02-16,4,48,2090,23,23,42,1865,197,16
2017-02-17,9,37,1480,7,17,60,2317,177,20
2017-02-18,10,23,1417,11,19,186,1964,182,25
2017-02-19,9,31,1715,6,10,91,2435,187,13
2017-02-20,8,43,1363,6,20,75,2314,172,13
2017-02-21,4,39,1194,6,16,76,2095,163,29
2017-02-22,4,38,1174,4,20,92,2091,193,14
2017-02-23,1,50,1181,12,13,59,2026,165,15
2017-02-24,5,36,985,8,19,43,2179,245,16
2017-02-25,4,24,966,9,11,51,2466,197,20
2017-02-26,5,56,1394,15,14,73,2780,207,21
2017-02-27,6,49,1576,7,14,136,2574,198,18
2017-02-28,1,41,1252,8,21,61,3797,153,13
2017-03-01,3,31,1343,12,15,53,2581,187,27
2017-03-02,7,38,1235,14,17,53,2194,178,21
2017-03-03,2,38,1105,8,11,59,1895,191,15
2017-03-04,3,32,928,5,11,65,1808,173,14
2017-03-05,34,32,1024,8,10,56,2025,187,15
2017-03-06,15,62,1267,6,18,78,1811,187,15
2017-03-07,115,63,1332,14,21,50,1943,192,18
2017-03-08,114,57,1316,13,25,50,1850,160,20
2017-03-09,117,51,1140,13,27,50,1684,166,30
2017-03-10,118,47,945,16,22,26,1681,190,34
2017-03-11,88,26,821,10,16,57,1692,162,21
2017-03-12,87,49,981,9,17,54,2082,158,19
2017-03-13,90,43,1183,5,20,53,1756,166,22
2017-03-14,143,41,1110,9,21,59,1649,188,20
2017-03-15,106,45,1128,6,16,53,1889,196,15
2017-03-16,122,30,1108,4,15,43,1739,182,19
2017-03-17,129,44,915,5,13,47,1469,174,15
2017-03-18,110,32,872,10,19,46,1585,172,16
2017-03-19,88,40,937,6,13,63,1902,179,22
2017-03-20,99,37,1243,3,28,61,1723,187,19
2017-03-21,93,37,3760,7,17,56,2072,226,22
2017-03-22,103,36,1712,6,20,61,1528,213,19
2017-03-23,81,42,1232,16,34,51,1479,185,35
2017-03-24,82,31,1009,5,8,27,1364,188,17
2017-03-25,52,39,832,17,16,43,1627,166,34
2017-03-26,128,45,1234,3,6,46,1712,198,26
2017-03-27,79,58,1208,6,16,52,1571,202,35
2017-03-28,37,39,1623,4,25,46,1559,188,35
2017-03-29,13,48,1201,9,11,51,2395,152,37
2017-03-30,14,50,1043,11,24,62,1646,169,28
2017-03-31,10,36,1023,7,16,71,1601,148,19
2017-04-01,8,22,1540,11,19,48,1529,152,31
2017-04-02,11,36,861,13,20,40,1747,231,36
2017-04-03,5,16,1243,5,18,40,1662,177,35
2017-04-04,8,30,1584,6,32,38,1479,181,32
2017-04-05,7,25,1167,5,12,49,1692,163,36
2017-04-06,11,29,1425,12,20,50,1557,183,33
2017-04-07,6,41,1294,9,11,33,1422,182,31
2017-04-08,9,24,857,7,10,295,1492,145,31
2017-04-09,4,41,1127,6,15,80,1960,173,40
2017-04-10,38,30,1460,14,16,67,1605,173,56
2017-04-11,12,31,1062,3,15,57,1481,169,36
2017-04-12,9,51,1029,10,39,47,1499,171,30
2017-04-13,13,31,911,6,12,44,1382,195,32
2017-04-14,4,22,1066,10,17,56,1634,198,33
2017-04-15,8,23,882,7,12,69,1515,184,37
2017-04-16,10,29,775,11,18,43,1553,206,48
2017-04-17,9,31,939,4,11,45,1676,205,59
2017-04-18,14,31,1437,13,23,50,1412,164,38
2017-04-19,8,31,1218,5,13,60,1291,192,36
2017-04-20,11,33,1369,11,23,53,1371,181,44
2017-04-21,8,33,1265,7,11,50,1452,174,48
2017-04-22,12,39,1547,12,22,71,1542,190,44
2017-04-23,5,28,1186,4,13,65,1544,240,45
2017-04-24,5,38,1284,4,18,52,1463,201,47
2017-04-25,8,61,1323,9,22,44,1547,183,53
2017-04-26,3,33,1548,5,18,40,1501,190,40
2017-04-27,11,48,1777,15,16,48,1520,220,57
2017-04-28,6,33,1091,6,9,70,1412,202,47
2017-04-29,6,21,888,5,8,43,1842,170,53
2017-04-30,10,27,1046,5,14,37,1792,220,49
2017-05-01,8,39,1278,8,20,52,1572,187,64
2017-05-02,13,41,1293,15,19,48,1693,181,50
2017-05-03,11,30,1653,9,20,44,1541,171,60
2017-05-04,10,36,1420,6,8,26,1497,205,55
2017-05-05,7,40,1154,13,14,37,1460,172,43
2017-05-06,10,32,890,14,18,46,1639,150,43
2017-05-07,9,29,1636,6,9,62,1693,201,45
2017-05-08,12,39,1591,15,25,55,1597,187,43
2017-05-09,4,33,1691,1,13,53,1579,183,35
2017-05-10,5,33,1522,5,13,87,1708,184,28
2017-05-11,7,30,1425,8,13,114,1527,203,32
2017-05-12,7,53,1136,9,14,255,1476,152,39
2017-05-13,6,31,1353,9,28,114,1535,153,19
2017-05-14,8,34,1388,5,21,89,1653,148,22
2017-05-15,7,33,1512,9,38,69,1538,192,38
2017-05-16,7,42,1348,9,23,59,1686,186,28
2017-05-17,7,35,1374,7,26,35,1812,148,32
2017-05-18,13,45,1840,9,20,65,1438,173,21
2017-05-19,7,37,1399,11,22,98,1456,162,30
2017-05-20,12,39,1217,13,24,249,1407,192,22
2017-05-21,15,60,1141,16,34,100,1553,190,27
2017-05-22,6,34,1270,11,13,105,1557,245,30
2017-05-23,12,41,1168,12,20,114,1423,316,23
2017-05-24,9,35,1142,10,15,59,1523,194,19
2017-05-25,8,35,1196,7,11,65,1370,177,17
2017-05-26,12,38,879,16,16,121,1307,202,20
2017-05-27,4,22,717,7,5,74,1367,195,18
2017-05-28,5,29,1120,6,14,108,1690,179,14
2017-05-29,10,35,989,5,22,51,1588,205,17
2017-05-30,12,36,1164,11,16,67,1475,200,20
2017-05-31,14,37,1128,10,17,91,1321,171,16
2017-06-01,11,34,966,9,22,134,1388,165,17
2017-06-02,7,29,1011,7,8,127,1327,150,21
2017-06-03,7,31,768,6,6,118,1405,177,14
2017-06-04,3,35,768,7,7,122,1506,193,8
2017-06-05,10,43,1775,4,17,136,1459,166,8
2017-06-06,11,40,982,10,21,161,1397,178,17
2017-06-07,17,46,971,20,23,168,1487,183,19
2017-06-08,15,84,878,14,18,159,1540,188,21
2017-06-09,14,42,670,11,15,148,1284,198,15
2017-06-10,5,64,657,9,13,239,1392,179,18
2017-06-11,9,34,729,8,11,154,1571,206,11
2017-06-12,11,41,899,10,21,175,1475,168,23
2017-06-13,15,47,890,14,23,146,1456,214,25
2017-06-14,11,32,844,6,12,122,1457,208,11
2017-06-15,15,35,943,10,19,123,1879,229,18
2017-06-16,2,34,1174,4,6,128,1667,233,8
2017-06-17,7,41,737,11,13,104,1527,229,15
2017-06-18,8,54,738,6,11,132,1561,187,12
2017-06-19,9,32,850,9,15,144,1554,192,13
2017-06-20,9,37,743,6,19,87,1524,172,11
2017-06-21,5,36,737,4,14,69,1500,167,10
2017-06-22,11,45,1063,11,14,81,1396,186,17
2017-06-23,10,44,1205,7,13,46,1283,207,12
2017-06-24,3,53,923,3,4,59,1423,207,5
2017-06-25,8,33,764,7,10,47,1431,220,10
2017-06-26,5,39,764,4,4,45,1370,204,7
2017-06-27,5,36,1280,5,16,46,1342,158,5
2017-06-28,10,43,1045,11,16,62,1356,177,14
2017-06-29,8,39,827,6,10,53,1302,188,14
2017-06-30,5,31,1080,10,14,48,1352,159,16
2017-07-01,3,76,807,6,9,43,1276,166,7
2017-07-02,5,51,668,4,11,30,1464,165,4
2017-07-03,5,55,788,6,12,61,1469,179,11
2017-07-04,5,76,645,5,10,55,1855,207,4
2017-07-05,7,84,842,4,11,62,1498,178,9
2017-07-06,11,59,976,9,18,54,1395,182,12
2017-07-07,8,44,729,11,16,32,1239,189,11
2017-07-08,2,26,1016,7,17,34,1353,181,10
2017-07-09,7,47,633,5,12,48,1399,196,13
2017-07-10,4,49,906,10,20,45,1293,185,12
2017-07-11,7,31,1070,8,12,54,1259,159,16
2017-07-12,9,57,746,9,16,63,1273,191,10
2017-07-13,5,49,630,8,15,60,1294,178,4
2017-07-14,1,41,726,4,11,47,1146,132,11
2017-07-15,10,48,559,10,23,240,1373,166,13
2017-07-16,12,41,705,6,14,74,1272,175,10
2017-07-17,5,39,653,6,11,51,1393,155,10
2017-07-18,4,35,828,4,23,68,1209,151,6
2017-07-19,10,42,755,8,17,64,1113,156,12
2017-07-20,6,40,791,5,12,52,1167,151,7
2017-07-21,8,34,735,8,17,38,1050,167,16
2017-07-22,7,25,764,7,8,37,1094,146,11
2017-07-23,7,51,745,7,7,47,1493,181,8
2017-07-24,3,52,845,3,13,52,1190,164,5
2017-07-25,8,40,1393,5,13,55,1230,169,13
2017-07-26,12,37,1055,13,16,45,1220,201,16
2017-07-27,6,51,1060,6,17,49,1177,235,21
2017-07-28,5,33,795,11,18,57,1163,211,12
2017-07-29,7,36,870,3,13,38,1149,168,5
2017-07-30,1,45,1477,3,8,60,1094,198,7
2017-07-31,7,35,1131,12,17,54,1047,165,6
2017-08-01,27,42,1231,15,20,53,1045,176,23
2017-08-02,12,48,1012,8,21,40,1034,198,13
2017-08-03,16,45,1054,10,10,61,1222,194,31
2017-08-04,12,41,861,12,22,50,1040,168,18
2017-08-05,14,38,830,14,20,179,1153,173,23
2017-08-06,8,46,1101,9,12,65,1237,195,15
2017-08-07,11,35,1239,9,18,73,1068,167,12
2017-08-08,7,31,1205,7,13,60,1237,156,9
2017-08-09,9,31,1247,11,14,39,1101,134,14
2017-08-10,5,40,1214,5,14,53,971,145,12
2017-08-11,13,44,940,10,13,65,1046,129,18
2017-08-12,13,34,1010,10,15,58,1112,165,16
2017-08-13,6,50,1491,5,16,52,1076,156,11
2017-08-14,14,41,1605,10,24,55,1000,171,20
2017-08-15,17,46,1440,12,31,62,997,219,16
2017-08-16,17,46,1574,13,23,57,1108,191,21
2017-08-17,4,62,1627,6,13,47,1110,154,7
2017-08-18,14,64,2124,16,28,52,927,170,15
2017-08-19,4,37,1210,9,10,57,1009,151,6
2017-08-20,12,43,1588,7,12,92,1130,158,8
2017-08-21,5,38,1698,4,17,54,872,206,5
2017-08-22,4,44,1751,6,16,52,907,181,8
2017-08-23,5,46,1855,7,18,48,1055,151,9
2017-08-24,46,89,1852,30,26,47,976,191,15
2017-08-25,15,51,1100,17,25,85,997,190,10
2017-08-26,18,29,1330,4,35,64,1073,186,36
2017-08-27,17,43,1897,10,21,56,1097,179,15
2017-08-28,8,35,1621,28,10,67,1063,203,14
2017-08-29,4,38,1714,2,15,43,978,179,6
2017-08-30,6,35,1885,8,14,60,1007,177,12
2017-08-31,11,73,1645,9,16,59,857,150,21
2017-09-01,14,72,1039,8,32,72,955,159,15
2017-09-02,14,43,1223,10,17,241,955,156,14
2017-09-03,9,56,2327,10,7,154,1126,191,11
2017-09-04,23,63,1800,7,19,89,1070,145,18
2017-09-05,15,61,1797,8,19,54,960,176,21
2017-09-06,18,65,1818,9,18,46,1046,188,23
2017-09-07,8,46,2067,7,20,66,925,144,23
2017-09-08,24,47,1441,4,10,74,982,158,10
2017-09-09,231,48,1312,10,15,61,1147,149,13
2017-09-10,23063,290,1913,8,21,64,1313,182,17
2017-09-11,5128,55412,3422,6,14,54,1140,218,8
2017-09-12,3081,9743,81831,108,16,58,991,162,11
2017-09-13,2773,5818,15799,21403,155,62,924,174,13
2017-09-14,330,3971,7845,3517,28684,203,1048,160,23
2017-09-15,201,735,4264,1248,3738,30345,1280,180,18
2017-09-16,205,511,2423,1044,2000,5239,45437,560,13
2017-09-17,147,447,2920,180,1595,2962,9697,44732,164
2017-09-18,108,371,2707,136,430,2783,6467,10683,25727
2017-09-19,123,258,2306,74,358,353,4465,6191,4140
2017-09-20,96,268,1805,69,221,242,1928,4117,1980
2017-09-21,71,194,2017,72,152,211,1942,1800,1676
2017-09-22,55,186,1279,62,126,190,1626,849,388
2017-09-23,78,191,1053,56,122,169,1572,622,317
2017-09-24,63,168,1049,53,258,182,1666,645,236
2017-09-25,68,199,1907,60,101,132,1642,549,207
2017-09-26,66,379,1698,44,370,295,1821,778,176
2017-09-27,40,183,1789,36,62,116,1368,390,165
2017-09-28,41,145,2886,25,76,88,1260,471,122
2017-09-29,106,140,1136,36,59,85,1220,365,95
2017-09-30,34,103,1070,36,44,77,1639,323,86
2017-10-01,31,96,1061,24,51,89,1639,321,104
2017-10-02,22,150,1071,21,42,87,1325,273,80
2017-10-03,29,102,985,21,48,58,1356,240,72
2017-10-04,27,96,1476,25,43,69,1175,211,59
2017-10-05,28,97,1043,24,56,61,1261,220,88
2017-10-06,28,93,954,14,48,63,1103,217,43
2017-10-07,29,85,762,22,32,76,1194,196,44
2017-10-08,27,74,973,18,31,81,1350,217,40
2017-10-09,26,115,1503,16,53,72,1265,193,63
2017-10-10,13,71,1046,4,25,84,1235,190,33
2017-10-11,19,112,972,23,48,66,1251,194,49
2017-10-12,17,74,1564,17,47,48,1676,197,30
2017-10-13,18,63,1040,21,41,87,1364,195,43
2017-10-14,17,52,969,16,43,101,1347,216,53
2017-10-15,23,68,989,26,43,101,1424,220,41
2017-10-16,9,57,1093,13,37,79,1253,239,31
2017-10-17,16,85,1091,34,34,87,1384,174,36
2017-10-18,10,56,1107,15,29,90,1215,188,40
2017-10-19,24,66,1215,15,25,80,1319,202,40
2017-10-20,12,51,882,15,20,72,1199,145,28
2017-10-21,12,57,1259,18,29,115,1224,164,37
2017-10-22,14,59,969,13,26,76,1374,165,24
2017-10-23,13,55,1144,10,21,74,1451,174,16
2017-10-24,13,67,1186,11,30,56,1215,199,23
2017-10-25,12,61,1523,10,32,66,1282,177,26
2017-10-26,17,37,1356,10,21,48,1310,180,24
2017-10-27,18,59,1765,15,18,59,1223,210,27
2017-10-28,13,37,1159,15,21,65,1254,242,16
2017-10-29,17,59,879,15,19,48,1442,197,25
2017-10-30,15,49,1017,12,29,63,1301,262,13
2017-10-31,14,61,1224,13,28,67,1185,189,22
2017-11-01,16,72,944,15,35,67,1130,228,20
2017-11-02,6,62,981,7,23,76,1611,189,13
2017-11-03,8,58,842,11,25,104,1391,188,19
2017-11-04,7,40,739,10,33,138,1442,180,15
2017-11-05,12,47,1016,12,17,96,1523,202,16
2017-11-06,14,52,1073,11,23,60,1485,205,17
2017-11-07,10,60,980,14,28,55,1381,178,16
2017-11-08,13,58,1042,10,25,56,1421,173,13
2017-11-09,21,71,1087,14,16,64,1360,208,17
2017-11-10,11,50,1247,11,24,61,1451,152,15
2017-11-11,33,45,823,9,30,68,1470,201,18
2017-11-12,22,67,947,11,19,74,1648,199,16
2017-11-13,30,66,1028,16,39,51,1588,204,25
2017-11-14,23,81,1206,15,31,104,1549,193,20
2017-11-15,9,71,1248,17,12,95,1654,196,17
2017-11-16,13,54,1081,17,24,133,1725,184,23
2017-11-17,13,54,896,21,25,99,1410,210,18
2017-11-18,7,32,749,14,19,98,1349,187,10
2017-11-19,6,49,936,14,24,67,1465,181,11
2017-11-20,8,75,1182,11,30,62,1254,185,12
2017-11-21,11,41,1179,14,24,69,1392,197,17
2017-11-22,9,33,952,13,20,60,1320,192,17
2017-11-23,14,39,892,12,24,72,1364,213,17
2017-11-24,13,43,806,19,24,53,1271,171,17
2017-11-25,13,46,885,11,22,54,1310,202,21
2017-11-26,12,50,820,6,29,97,1378,235,14
2017-11-27,11,45,955,11,22,61,1392,187,29
2017-11-28,14,55,1110,17,33,68,1310,208,32
2017-11-29,8,41,1303,5,28,54,1343,223,11
2017-11-30,6,43,919,7,19,35,1171,209,14
2017-12-01,15,52,718,16,23,67,1107,185,15
2017-12-02,11,42,653,7,34,55,1322,164,12
2017-12-03,16,43,946,6,14,39,1452,184,11
2017-12-04,14,47,979,9,15,81,1308,222,17
2017-12-05,4,76,959,9,11,62,1316,202,11
2017-12-06,12,60,1033,10,32,49,1533,188,13
2017-12-07,8,46,988,7,21,52,1426,209,15
2017-12-08,10,62,954,21,29,77,1609,207,13
2017-12-09,18,36,687,15,25,65,1581,203,14
2017-12-10,16,61,734,15,23,60,1734,203,18
2017-12-11,16,56,1197,18,30,72,1714,203,20
2017-12-12,22,56,1432,15,19,95,1458,225,19
2017-12-13,10,49,803,10,32,66,1333,211,21
2017-12-14,19,49,770,15,33,73,1335,251,20
2017-12-15,23,54,639,13,24,60,1164,195,15
2017-12-16,18,44,1176,12,21,66,1314,230,18
2017-12-17,17,54,1557,14,27,79,1398,210,16
2017-12-18,12,49,2478,11,32,59,1396,191,12
2017-12-19,10,63,1385,12,26,45,2903,229,17
2017-12-20,15,50,840,11,22,60,1708,181,20
2017-12-21,8,45,736,6,7,54,1644,190,13
2017-12-22,5,42,569,4,7,53,1513,198,15
2017-12-23,8,26,885,6,10,61,1848,215,11
2017-12-24,4,22,703,7,8,56,1535,211,14
2017-12-25,6,33,555,10,20,64,1693,215,9
2017-12-26,15,36,587,11,17,56,1746,231,20
2017-12-27,8,61,628,15,22,95,1925,231,17
2017-12-28,18,43,723,12,11,74,1672,253,11
2017-12-29,13,40,744,14,12,61,1639,215,13
2017-12-30,12,33,759,8,12,50,1910,218,2
2017-12-31,5,112,750,12,16,61,1921,238,11
2018-01-01,9,32,777,6,16,66,1809,258,9
2018-01-02,12,34,2167,11,14,64,1690,245,12
2018-01-03,22,50,1029,14,24,77,1647,204,15
2018-01-04,12,42,1386,5,38,65,1462,227,16
2018-01-05,11,34,925,6,24,87,1446,235,20
2018-01-06,15,46,1060,11,20,67,1550,236,13
2018-01-07,14,42,1428,11,25,69,1708,228,14
2018-01-08,14,47,1225,6,27,81,1656,252,7
2018-01-09,3,40,912,6,15,78,1413,247,9
2018-01-10,11,45,910,7,16,66,1686,253,11
2018-01-11,16,86,1875,9,24,75,1352,250,12
2018-01-12,13,76,1055,11,15,86,1389,236,8
2018-01-13,13,44,832,8,13,60,1738,232,11
2018-01-14,19,43,878,18,23,90,1882,226,20
2018-01-15,19,38,1310,5,24,67,1481,252,18
2018-01-16,14,50,1660,9,39,67,1597,262,12
2018-01-17,10,47,1051,7,32,82,1602,186,23
2018-01-18,18,79,972,10,25,63,1452,197,20
2018-01-19,9,54,830,11,21,46,1472,228,18
2018-01-20,9,39,1204,9,18,62,1631,208,8
2018-01-21,8,46,919,5,23,63,1847,231,14
2018-01-22,7,55,856,11,19,60,1496,201,13
2018-01-23,10,49,911,10,20,61,1585,211,12
2018-01-24,4,49,896,4,21,53,1528,217,12
2018-01-25,8,41,912,8,19,43,1406,215,12
2018-01-26,8,28,838,13,14,45,1403,230,17
2018-01-27,7,26,694,2,13,52,1410,189,6
2018-01-28,6,51,958,5,15,89,1602,242,11
2018-01-29,6,43,1039,8,26,96,1440,208,15
2018-01-30,5,57,895,6,15,74,1371,187,13
2018-01-31,8,58,856,5,27,64,1288,213,15
2018-02-01,10,39,914,7,24,51,1286,339,10
2018-02-02,10,48,880,8,17,120,1305,210,16
2018-02-03,11,32,781,9,18,72,1615,202,19
2018-02-04,12,46,879,10,21,50,1601,219,19
2018-02-05,4,37,1238,8,18,58,1200,173,15
2018-02-06,5,43,1145,11,13,73,1399,172,14
2018-02-07,7,45,990,8,24,56,1562,143,16
2018-02-08,9,41,968,9,19,50,1581,193,18
2018-02-09,8,48,775,13,16,63,1347,239,21
2018-02-10,12,42,821,6,17,82,1510,266,9
2018-02-11,16,41,867,9,15,81,1640,234,17
2018-02-12,6,40,967,6,13,66,1662,242,14
2018-02-13,7,37,1189,6,20,61,2181,217,17
2018-02-14,6,39,1046,6,7,64,1549,221,15
2018-02-15,10,33,1258,10,20,50,1187,227,15
2018-02-16,6,35,1000,6,12,58,1240,186,15
2018-02-17,11,34,999,11,27,54,1364,252,21
2018-02-18,7,51,967,10,20,65,1560,246,9
2018-02-19,7,41,1114,6,25,55,1433,254,9
2018-02-20,15,47,1074,12,18,74,1241,224,13
2018-02-21,11,48,1365,11,26,52,1393,189,15
2018-02-22,17,44,1541,13,31,69,1185,206,24
2018-02-23,5,31,1051,9,14,173,1329,183,17
2018-02-24,5,49,889,12,21,66,1226,220,13
2018-02-25,17,58,1319,24,32,87,1375,271,31
2018-02-26,10,46,1839,9,36,57,1318,217,18
2018-02-27,12,46,1264,11,20,96,1394,205,26
2018-02-28,7,35,1293,6,25,40,1234,206,19
2018-03-01,7,34,1246,12,25,54,1192,218,25
2018-03-02,6,33,1147,9,13,67,1186,227,19
2018-03-03,13,40,1051,13,16,57,1217,275,18
2018-03-04,10,55,1737,12,20,54,1345,259,15
2018-03-05,5,24,1411,7,21,64,1186,234,20
2018-03-06,7,48,1347,13,20,55,1484,264,16
2018-03-07,3,34,1300,9,18,47,1105,251,16
2018-03-08,11,67,1142,12,19,60,1142,242,22
2018-03-09,15,41,901,10,18,64,1071,228,17
2018-03-10,4,36,817,9,15,45,1292,262,14
2018-03-11,8,30,933,4,41,63,1406,255,11
2018-03-12,10,33,1062,10,21,52,1193,257,25
2018-03-13,3,41,1044,4,12,54,1119,302,9
2018-03-14,6,39,1061,5,18,56,1130,242,21
2018-03-15,6,41,1009,7,22,64,1085,238,24
2018-03-16,6,27,1198,12,15,68,1124,231,16
2018-03-17,7,35,1674,6,17,63,1094,291,18
2018-03-18,3,42,990,10,17,50,1318,240,28
2018-03-19,8,38,1000,6,14,83,1313,258,10
2018-03-20,5,42,1020,11,19,65,1210,258,20
2018-03-21,9,60,1078,11,18,81,1164,206,19
2018-03-22,3,52,1125,7,28,96,1172,215,17
2018-03-23,10,32,977,9,14,88,1112,191,28
2018-03-24,7,37,820,10,9,80,1503,222,18
2018-03-25,9,27,896,7,21,73,1272,239,26
2018-03-26,8,47,1047,15,17,66,1065,242,21
2018-03-27,6,30,1025,8,28,67,1063,198,12
2018-03-28,10,36,843,10,19,78,1108,207,19
2018-03-29,6,33,800,4,11,65,1047,199,14
2018-03-30,2,40,702,12,17,65,1170,234,23
2018-03-31,11,39,608,3,18,85,1122,252,13
2018-04-01,8,32,632,9,23,109,1225,291,27
2018-04-02,8,33,1873,10,9,77,1266,298,21
2018-04-03,9,35,1688,12,18,92,1097,266,17
2018-04-04,5,31,1341,6,23,69,1038,252,18
2018-04-05,7,45,1135,9,19,67,1092,250,22
2018-04-06,11,42,1203,18,19,88,1141,306399,28
2018-04-07,7,27,1002,9,10,67,1085,25588,18
2018-04-08,12,46,1691,7,12,76,1247,4224,18
2018-04-09,7,34,1284,6,18,87,1215,3061,22
2018-04-10,10,43,1675,8,14,69,1139,2332,27
2018-04-11,9,37,1515,13,25,79,1234,2145,28
2018-04-12,10,42,1530,15,27,85,1039,2263,24
2018-04-13,9,34,1312,13,26,95,1043,1328,28
2018-04-14,16,43,1293,12,23,81,1111,613,37
2018-04-15,6,40,1646,11,30,76,1249,657,35
2018-04-16,6,46,1588,7,9,104,1227,598,28
2018-04-17,9,39,1548,28,20,67,1140,644,42
2018-04-18,2,38,1619,15,14,59,1080,525,32
2018-04-19,5,38,1576,11,12,71,1099,577,30
2018-04-20,8,25,1169,19,18,59,1057,520,39
2018-04-21,0,28,955,19,10,70,1136,472,18
2018-04-22,9,53,1120,20,24,64,1098,631,20
2018-04-23,3,44,1256,20,17,45,1217,580,20
2018-04-24,4,56,1443,8,21,46,1084,679,31
2018-04-25,13,60,1572,9,14,48,1179,520,23
2018-04-26,9,36,1201,9,12,46,984,560,27
2018-04-27,12,43,1010,4,13,49,1022,576,21
2018-04-28,12,25,827,7,10,57,988,708,26
2018-04-29,11,27,918,8,22,94,1104,664,21
2018-04-30,14,27,1083,7,14,102,1246,629,18
2018-05-01,16,67,1347,6,11,63,1083,687,28
2018-05-02,16,47,1406,7,7,45,1027,614,13
2018-05-03,18,49,1539,9,26,86,1027,584,19
2018-05-04,14,34,1122,3,11,77,993,475,26
2018-05-05,14,56,819,4,11,50,1144,555,29
2018-05-06,11,36,1710,4,9,60,1102,449,28
2018-05-07,21,47,2081,8,13,58,1140,396,32
2018-05-08,15,361,1417,6,22,48,1029,307,31
2018-05-09,16,56,1268,6,16,45,1050,326,13
2018-05-10,19,42,1291,8,11,43,1013,296,34
