Date,"Yugoslav torpedo boat T3","Palsgraf v. Long Island Railroad Co.","The Fade Out","Operation Bernhard","Lead","W. E. B. Du Bois","Nikolai Rimsky-Korsakov","Pallas's leaf warbler","Meteorological history of Hurricane Ivan"
2016-11-21,3,249,69,149,3678,3065,653,20,16
2016-11-22,4,212,64,123,3693,2784,600,19,19
2016-11-23,4,171,58,154,3152,2138,531,13,8
2016-11-24,1,139,46,149,2799,1992,479,14,15
2016-11-25,6,120,47,144,2267,1635,441,12,18
2016-11-26,5,103,45,183,2052,1758,482,21,25
2016-11-27,6,137,51,159,2522,2038,525,25,19
2016-11-28,7,258,72,184,3658,3233,594,24,18
2016-11-29,3,268,59,163,3875,3361,557,21,23
2016-11-30,1,255,49,184,3945,3532,602,20,27
2016-12-01,6,250,59,154,3753,3531,619,22,33
2016-12-02,2,232,51,146,3289,2908,611,27,20
2016-12-03,2,152,44,132,2338,1773,538,24,19
2016-12-04,3,191,59,141,2659,2097,549,25,18
2016-12-05,1,243,84,167,3643,3583,633,18,27
2016-12-06,2,280,59,98,3753,3540,679,23,44
2016-12-07,1,278,49,297,3791,3732,600,24,21
2016-12-08,3,312,49,711,3694,3611,621,17,23
2016-12-09,4,200,43,487,3005,3195,578,24,28
2016-12-10,3,192,46,252,2095,1745,524,20,14
2016-12-11,5,236,50,529,2410,2305,717,16,11
2016-12-12,2,285,56,391,3340,3705,696,27,27
2016-12-13,1,306,49,282,3500,3987,635,17,13
2016-12-14,1,308,46,1840,3369,4015,653,18,13
2016-12-15,171,250,46,368,3121,3663,644,17,20
2016-12-16,29,169,47,167,2629,2701,526,23,15
2016-12-17,25,69,46,180,1818,1598,512,22,16
2016-12-18,15,97,49,169,2107,1919,551,16,11
2016-12-19,5,151,53,203,2809,2563,558,20,14
2016-12-20,4,131,48,169,2808,2394,515,21,12
2016-12-21,5,94,52,138,2469,2105,546,16,19
2016-12-22,2,92,39,144,2186,1696,505,21,11
2016-12-23,3,69,32,157,1766,1320,501,16,13
2016-12-24,3,44,47,137,1501,1106,461,17,8
2016-12-25,31,66,33,135,1482,1493,440,19,11
2016-12-26,2,60,49,176,1797,1185,933,14,6
2016-12-27,2,63,56,135,1964,1350,471,23,107
2016-12-28,3,98,59,144,2028,1341,457,14,11
2016-12-29,7,103,67,139,2067,1308,438,31,10
2016-12-30,2,53,67,174,1935,1278,400,19,5
2016-12-31,2,27,48,131,1753,1113,405,18,4
2017-01-01,3,44,46,174,1653,1012,406,12,5
2017-01-02,3,49,60,151,2222,1562,503,18,13
2017-01-03,6,64,74,184,2674,2036,479,22,10
2017-01-04,1,128,51,154,2882,2609,500,21,15
2017-01-05,3,121,54,167,3152,2526,561,22,17
2017-01-06,3,89,38,143,2762,2457,505,20,16
2017-01-07,4,51,47,129,2064,1571,532,23,12
2017-01-08,2,86,55,151,2386,1829,558,36,15
2017-01-09,2,125,43,143,3217,2978,1074,14,11
2017-01-10,1,164,53,167,3459,3468,595,14,16
2017-01-11,4,270,41,180,3356,3662,522,12,17
2017-01-12,6,150,40,152,3570,3882,697,15,28
2017-01-13,4,111,41,169,3061,3440,632,14,11
2017-01-14,3,80,55,141,3281,1853,569,13,12
2017-01-15,15,96,64,188,2387,2168,662,18,10
2017-01-16,9,114,67,148,3183,3451,594,24,20
2017-01-17,6,145,53,160,3627,4824,654,16,10
2017-01-18,1,196,57,166,4009,4528,617,7,15
2017-01-19,5,176,63,129,3662,4473,598,18,25
2017-01-20,0,116,48,107,3209,3801,563,17,14
2017-01-21,4,102,59,181,2093,1822,511,15,8
2017-01-22,1,154,52,170,2473,2492,691,21,20
2017-01-23,1,284,58,178,3537,4814,757,22,15
2017-01-24,0,178,56,179,3791,4606,622,20,11
2017-01-25,3,145,118,163,3499,4725,597,17,7
2017-01-26,6,184,47,172,3622,5050,552,16,18
2017-01-27,1,127,46,201,3420,4092,573,16,11
2017-01-28,2,95,38,198,2414,2068,571,13,9
2017-01-29,2,121,60,201,2765,2610,649,8,5
2017-01-30,13,208,45,163,3493,4844,662,10,15
2017-01-31,15,204,50,199,3685,5342,610,9,10
2017-02-01,2,177,49,192,3675,7305,631,14,22
2017-02-02,5,231,52,207,3744,7815,652,5,8
2017-02-03,4,138,46,187,3301,6474,572,7,5
2017-02-04,2,95,57,193,2364,3071,587,14,10
2017-02-05,2,125,52,208,2871,3532,603,13,12
2017-02-06,3,244,55,214,3454,6576,627,19,16
2017-02-07,2,244,55,183,3565,8066,586,26,17
2017-02-08,4,224,51,208,3757,7375,602,22,33
2017-02-09,1,268,72,182,3472,7588,617,15,17
2017-02-10,5,296,71,164,3268,6788,576,12,15
2017-02-11,9,136,43,176,2208,3194,567,19,11
2017-02-12,8,150,55,176,2494,19456,593,19,12
2017-02-13,2,295,44,137,3691,26529,630,11,19
2017-02-14,5,328,40,166,3572,12021,618,9,15
2017-02-15,3,310,54,192,3710,8599,654,17,23
2017-02-16,7,245,48,167,3718,8267,585,19,25
2017-02-17,4,194,47,181,3215,6417,567,5,9
2017-02-18,4,128,61,132,2316,3155,566,16,13
2017-02-19,1,159,60,139,2554,3802,589,10,5
2017-02-20,5,263,51,184,3180,5559,624,8,12
2017-02-21,4,303,55,167,3671,7505,613,7,9
2017-02-22,3,274,43,166,3699,8051,640,9,13
2017-02-23,5,327,39,143,3533,9838,673,12,23
2017-02-24,5,187,38,192,3229,6952,636,13,12
2017-02-25,1,105,42,181,2370,3379,551,12,8
2017-02-26,2,134,68,183,3294,4372,630,16,30
2017-02-27,1,230,51,188,4218,6974,640,15,17
2017-02-28,1,251,42,189,3908,7239,965,14,13
2017-03-01,1,321,43,202,3908,6321,674,17,17
2017-03-02,5,343,41,183,4170,6068,632,6,12
2017-03-03,4,189,30,182,4019,4140,617,6,14
2017-03-04,3,147,36,125,2784,2188,512,9,9
2017-03-05,1,150,37,191,2678,2764,580,9,10
2017-03-06,4,283,38,167,3530,4621,670,10,8
2017-03-07,4,319,54,163,3683,4483,625,15,36
2017-03-08,4,274,56,144,3489,4813,609,21,19
2017-03-09,2,302,38,126,3319,4295,660,17,18
2017-03-10,3,162,38,162,2960,3993,602,19,18
2017-03-11,32,73,39,144,2045,1916,571,11,17
2017-03-12,12,146,62,209,2781,2134,564,14,12
2017-03-13,8,226,47,139,6989,3332,633,13,16
2017-03-14,5,199,55,135,5632,3371,616,14,8
2017-03-15,7,213,52,147,3339,3215,654,12,16
2017-03-16,22,242,45,106,3169,3264,592,11,19
2017-03-17,11,136,43,170,2778,2633,676,18,9
2017-03-18,6,103,40,137,2062,1589,3036,21,13
2017-03-19,5,124,73,170,2460,2036,730,23,38
2017-03-20,7,281,55,198,3298,3401,663,14,16
2017-03-21,5,224,45,162,3322,3413,655,13,17
2017-03-22,8,268,50,152,3458,3514,634,13,23
2017-03-23,2,248,39,137,3114,3463,649,24,20
2017-03-24,2,156,42,138,2734,2652,541,15,11
2017-03-25,2,102,26,180,2068,1574,505,21,16
2017-03-26,5,89,43,244,2215,1834,556,11,9
2017-03-27,3,204,52,191,3183,3223,621,17,17
2017-03-28,2,237,75,234,3400,3305,614,20,15
2017-03-29,9,206,32,166,3158,3148,592,16,18
2017-03-30,2,208,48,145,3365,3025,623,15,14
2017-03-31,9,168,45,250,2829,2463,1207,16,10
2017-04-01,5,111,39,208,2261,1415,562,12,8
2017-04-02,18,165,46,167,2151,1865,559,17,11
2017-04-03,6,339,44,161,2859,3043,623,10,15
2017-04-04,7,295,51,136,3096,3193,610,6,12
2017-04-05,47,238,54,133,3112,2985,577,11,15
2017-04-06,24,216,46,154,3222,3104,616,16,13
2017-04-07,5,156,57,110,2674,2549,548,14,9
2017-04-08,8,109,38,125,1801,1429,483,10,17
2017-04-09,39,87,59,136,2091,1774,561,20,11
2017-04-10,8,223,41,229,2959,2801,616,18,28
2017-04-11,13,288,32,230,2851,2506,550,9,21
2017-04-12,10,168,45,219,2883,2812,579,15,21
2017-04-13,101,220,42,354,2526,2657,582,11,8
2017-04-14,96,179,30,203,2213,1789,527,12,8
2017-04-15,81,86,56,192,2064,1441,503,17,11
2017-04-16,78,148,42,188,2059,1602,565,15,19
2017-04-17,89,250,91,236,2871,2587,646,15,15
2017-04-18,112,229,166,248,3188,2844,632,31,20
2017-04-19,119,245,183,257,3127,2963,624,14,10
2017-04-20,78,215,112,194,3373,2841,660,21,28
2017-04-21,75,187,100,209,2838,2418,576,12,15
2017-04-22,71,157,103,174,2341,1431,540,13,15
2017-04-23,62,130,107,380,2497,1962,561,16,15
2017-04-24,85,236,125,221,3239,3258,620,12,18
2017-04-25,114,280,146,141,3338,3837,651,14,22
2017-04-26,52,221,80,149,3350,3499,583,18,10
2017-04-27,122,260,153,138,3154,3295,627,16,14
2017-04-28,127,179,154,148,2804,2716,658,20,9
2017-04-29,75,110,104,116,1973,1576,442,7,14
2017-04-30,56,141,87,156,2108,2122,526,19,9
2017-05-01,40,217,130,169,2978,3316,610,15,14
2017-05-02,13,258,131,202,2944,3180,649,15,24
2017-05-03,13,263,115,163,3123,3365,703,17,18
2017-05-04,7,268,105,147,2938,3481,567,15,15
2017-05-05,11,166,114,137,2667,3067,555,21,24
2017-05-06,23,170,116,141,2104,1636,489,18,16
2017-05-07,7,233,132,180,2226,1892,552,10,7
2017-05-08,13,273,59,166,2956,2888,607,23,16
2017-05-09,5,200,32,148,2900,2984,582,10,9
2017-05-10,4,222,46,137,3022,2775,602,9,10
2017-05-11,7,167,37,166,2934,2967,578,15,30
2017-05-12,7,113,58,598,2429,2356,530,15,14
2017-05-13,4,102,53,112,1926,1543,491,14,7
2017-05-14,6,153,35,130,2132,1790,579,14,14
2017-05-15,8,205,54,193,2845,2766,614,14,18
2017-05-16,9,190,40,274,2984,2504,562,16,18
2017-05-17,9,168,45,180,3012,2509,559,15,20
2017-05-18,9,130,56,185,2815,2395,555,17,20
2017-05-19,7,138,61,135,2519,2025,494,15,22
2017-05-20,14,75,68,127,1952,1529,481,22,14
2017-05-21,16,112,43,137,2099,1650,538,22,30
2017-05-22,3,184,45,128,3154,2539,527,13,19
2017-05-23,15,164,64,104,3045,2454,537,18,20
2017-05-24,6,160,53,127,2800,2198,546,8,30
2017-05-25,10,185,45,144,2673,2138,453,5,13
2017-05-26,9,164,30,106,2229,1694,482,22,19
2017-05-27,3,110,43,113,1728,1172,401,13,7
2017-05-28,3,134,51,138,2042,1420,452,10,10
2017-05-29,15,149,44,139,2359,1691,464,12,16
2017-05-30,12,149,54,156,2544,2234,481,20,21
2017-05-31,11,206,37,158,3083,2126,520,14,27
2017-06-01,11,185,39,123,2814,2070,486,18,17
2017-06-02,11,179,38,123,2336,1686,433,18,21
2017-06-03,3,129,36,97,1779,1305,483,12,9
2017-06-04,5,140,38,125,1985,1389,456,29,12
2017-06-05,5,188,42,100,2647,1914,502,19,21
2017-06-06,11,191,47,155,2504,1803,556,13,13
2017-06-07,14,215,49,125,2617,1879,582,23,23
2017-06-08,12,205,51,169,2563,1809,1293,17,15
2017-06-09,12,191,36,107,2312,1452,592,15,17
2017-06-10,5,156,35,124,3490,1078,540,11,11
2017-06-11,8,149,46,129,1893,1360,538,13,12
2017-06-12,13,239,54,197,3773,1825,621,13,11
2017-06-13,16,201,44,222,4515,1775,619,25,23
2017-06-14,9,203,37,167,2487,1693,573,12,13
2017-06-15,10,217,36,215,2480,1703,571,14,27
2017-06-16,5,177,30,160,2315,1360,470,12,15
2017-06-17,9,113,41,120,1833,1372,451,16,13
2017-06-18,10,149,38,100,1970,1419,458,12,30
2017-06-19,7,199,31,230,2399,1662,477,11,33
2017-06-20,25,242,35,197,2402,1685,522,15,47
2017-06-21,10,138,29,147,2266,1769,546,6,32
2017-06-22,10,156,52,184,2113,1537,609,23,30
2017-06-23,12,128,45,207,2093,1403,498,16,18
2017-06-24,5,57,37,125,1568,1257,448,3,10
2017-06-25,5,84,38,165,1752,1353,453,12,19
2017-06-26,8,205,31,141,3894,1535,470,6,20
2017-06-27,13,141,30,130,3902,1495,500,9,13
2017-06-28,11,125,44,156,2237,1551,493,13,22
2017-06-29,6,122,69,173,2434,1534,516,9,17
2017-06-30,9,94,55,150,1983,1265,438,15,15
2017-07-01,7,57,42,121,1617,1176,377,7,14
2017-07-02,6,55,44,740,1779,1440,456,9,8
2017-07-03,11,74,46,251,2022,1527,449,18,13
2017-07-04,4,66,47,178,2173,1504,488,13,9
2017-07-05,6,94,33,148,2112,1564,482,7,12
2017-07-06,7,123,49,159,2385,1646,514,10,22
2017-07-07,7,112,39,136,2071,1362,456,17,15
2017-07-08,4,73,27,131,1677,1194,402,6,10
2017-07-09,10,102,29,138,1774,1337,439,10,33
2017-07-10,5,138,47,136,2278,1488,535,7,16
2017-07-11,6,145,44,154,2293,1477,536,14,20
2017-07-12,9,143,43,185,2313,1366,477,19,17
2017-07-13,6,122,49,173,2218,1565,475,4,6
2017-07-14,2,93,37,145,2029,1209,431,2,8
2017-07-15,10,116,48,148,1834,1207,427,11,15
2017-07-16,8,83,49,202,1937,1286,528,15,20
2017-07-17,8,119,38,170,2231,1517,478,11,12
2017-07-18,4,127,42,152,2389,1476,528,8,20
2017-07-19,14,117,51,172,2612,1504,521,19,24
2017-07-20,6,142,35,126,2437,1400,517,14,19
2017-07-21,8,112,49,158,2175,1379,463,10,21
2017-07-22,6,71,51,136,1948,1161,415,8,10
2017-07-23,7,97,52,180,2044,1278,493,32,11
2017-07-24,7,91,44,210,2337,1356,509,8,11
2017-07-25,5,92,42,150,2378,1340,502,11,12
2017-07-26,9,94,38,158,2335,1413,526,20,16
2017-07-27,7,107,37,177,2213,1259,532,21,17
2017-07-28,7,118,44,208,1952,13222,539,17,19
2017-07-29,14,78,49,144,1638,1599,509,16,24
2017-07-30,30,89,50,169,1809,1257,505,19,24
2017-07-31,20,92,56,195,2280,1427,530,16,33
2017-08-01,20,108,53,217,2482,1487,528,19,30
2017-08-02,16,93,32,182,2227,1454,491,16,23
2017-08-03,16,105,58,137,2250,1833,515,24,28
2017-08-04,24,110,49,156,2048,1266,431,27,35
2017-08-05,19,68,51,117,1734,1247,478,19,32
2017-08-06,13,84,57,157,1865,1240,528,20,21
2017-08-07,16,121,53,179,4056,1302,605,13,19
2017-08-08,14,110,49,131,2486,1378,574,13,24
2017-08-09,17,94,55,315,2271,1383,662,11,14
2017-08-10,20,111,63,226,2154,1230,633,17,30
2017-08-11,22,90,69,206,1890,1346,437,12,22
2017-08-12,10,67,40,147,1646,1171,470,18,18
2017-08-13,10,74,44,163,1844,1496,500,17,14
2017-08-14,23,118,62,157,3913,1647,439,21,31
2017-08-15,13,105,71,169,2428,1767,434,14,24
2017-08-16,20,113,59,289,2427,2196,417,19,41
2017-08-17,8,95,44,180,2413,2377,478,11,48
2017-08-18,17,92,57,149,2052,2354,446,21,50
2017-08-19,10,64,47,354,1636,1630,415,15,17
2017-08-20,20,75,42,196,1867,1817,487,17,15
2017-08-21,21,149,53,139,2365,2442,442,17,17
2017-08-22,157,117,45,188,2369,2155,431,9,18
2017-08-23,33460,281,42,142,2537,2104,407,11,29
2017-08-24,8703,43216,205,170,2521,2090,444,26,69
2017-08-25,4666,6053,24313,519,2037,1807,372,14,233
2017-08-26,2441,2851,4124,53669,2099,1296,395,9,343
2017-08-27,402,2385,2349,11560,46045,2065,413,26,131
2017-08-28,230,434,2270,7380,11948,48115,598,21,148
2017-08-29,189,322,381,4804,7086,10838,33022,140,140
2017-08-30,193,425,223,1305,5327,6602,7233,20789,295
2017-08-31,146,312,197,934,3585,4877,3717,3563,31307
2017-09-01,126,223,166,693,3642,2236,3124,1725,5614
2017-09-02,115,206,151,675,2391,1576,1003,1182,2676
2017-09-03,101,150,116,636,2513,1780,1028,333,2863
2017-09-04,79,188,100,487,2756,1982,751,235,1819
2017-09-05,68,186,89,390,3318,2430,699,197,3555
2017-09-06,54,215,78,323,3269,2574,607,141,3385
2017-09-07,63,197,71,266,3275,2482,607,94,3069
2017-09-08,38,194,91,285,3030,2218,603,95,3409
2017-09-09,55,128,73,288,2024,1374,502,93,3332
2017-09-10,52,137,74,275,2311,1628,577,85,2602
2017-09-11,39,222,79,228,3208,2433,574,68,1128
2017-09-12,30,259,78,230,3542,2450,599,72,1590
2017-09-13,40,227,61,230,3550,2558,569,59,1583
2017-09-14,38,276,62,238,3412,2804,561,65,411
2017-09-15,39,222,91,221,2810,2384,499,56,269
2017-09-16,26,125,82,201,1981,1582,444,56,227
2017-09-17,19,155,57,278,2470,1759,520,36,243
2017-09-18,35,276,71,207,3515,2972,546,46,263
2017-09-19,37,332,66,162,4340,3083,552,64,309
2017-09-20,21,307,52,220,5595,3119,592,49,243
2017-09-21,32,239,37,198,3590,2965,524,44,148
2017-09-22,26,211,40,184,3090,2415,465,54,133
2017-09-23,15,133,39,178,1991,1499,435,36,103
2017-09-24,31,168,50,199,2353,1769,516,42,98
2017-09-25,13,503,49,218,3516,3207,560,32,80
2017-09-26,33,461,74,285,3853,3573,480,40,89
2017-09-27,25,375,62,161,3615,3504,529,31,86
2017-09-28,17,361,40,163,3450,3272,491,29,81
2017-09-29,20,283,49,170,3044,2658,473,29,77
2017-09-30,12,152,41,128,1828,6969,432,38,57
2017-10-01,6,195,26,215,2405,4145,442,24,60
2017-10-02,28,381,60,202,3734,4365,500,29,57
2017-10-03,17,414,45,155,3729,3952,487,21,41
2017-10-04,15,419,48,135,3642,3805,556,31,97
2017-10-05,17,390,40,184,3829,3627,537,21,170
2017-10-06,21,260,46,143,3103,2650,469,23,186
2017-10-07,20,181,55,153,2036,1725,490,28,333
2017-10-08,12,187,37,199,4215,2093,488,16,139
2017-10-09,16,362,42,137,3381,4188,563,25,77
2017-10-10,6,422,50,166,3678,4417,546,21,52
2017-10-11,11,429,47,135,3746,3336,528,24,47
2017-10-12,16,476,49,141,3773,3581,563,26,68
2017-10-13,17,268,46,145,3257,2921,547,25,54
2017-10-14,11,141,50,142,2333,1607,490,26,33
2017-10-15,21,172,64,166,2657,2082,511,20,60
2017-10-16,5,381,53,164,3874,3411,566,11,40
2017-10-17,17,330,44,154,3730,3705,519,21,51
2017-10-18,12,423,30,154,3785,3347,516,22,37
2017-10-19,16,344,54,186,3486,3778,547,28,41
2017-10-20,11,253,36,153,3000,2854,528,23,26
2017-10-21,11,189,35,157,2050,1654,473,19,39
2017-10-22,12,207,41,163,2579,1934,553,17,25
2017-10-23,11,470,43,146,3857,3429,558,19,27
2017-10-24,10,463,37,211,4064,3342,602,19,34
2017-10-25,12,466,30,148,3934,3360,602,20,24
2017-10-26,12,350,37,146,3528,3472,656,17,26
2017-10-27,7,251,34,146,3025,2595,508,18,24
2017-10-28,14,158,44,155,1968,1455,495,17,34
2017-10-29,16,155,34,149,2522,1959,538,18,29
2017-10-30,8,319,81,150,3597,3211,551,17,33
2017-10-31,12,346,27,146,3420,3173,549,16,26
2017-11-01,18,265,43,162,3408,3038,530,22,33
2017-11-02,4,327,34,136,3722,3258,579,14,24
2017-11-03,6,278,38,169,3145,2563,532,15,29
2017-11-04,8,148,47,122,2239,1626,501,20,20
2017-11-05,15,170,54,183,2452,2061,571,16,27
2017-11-06,7,310,53,160,3632,3190,595,23,30
2017-11-07,10,297,46,168,3749,3386,641,22,32
2017-11-08,9,243,89,172,3676,3379,637,16,14
2017-11-09,11,300,50,135,3863,3046,573,19,23
2017-11-10,7,159,46,120,2882,2336,565,12,31
2017-11-11,10,106,57,149,2116,1574,483,11,25
2017-11-12,9,142,52,202,2475,1864,554,126,25
2017-11-13,15,312,58,176,5317,3273,612,24,33
2017-11-14,11,242,48,163,3830,3305,557,21,31
2017-11-15,11,244,42,157,3712,3028,602,20,27
2017-11-16,10,202,32,191,3589,2983,600,16,27
2017-11-17,7,198,78,151,3173,2400,565,15,30
2017-11-18,6,92,35,147,2269,1417,508,18,16
2017-11-19,5,123,43,161,2403,1660,565,22,22
2017-11-20,15,208,39,168,3443,2526,674,13,25
2017-11-21,15,222,86,174,3159,2515,544,20,20
2017-11-22,9,218,43,172,2917,1849,514,20,19
2017-11-23,18,140,38,161,2582,1728,471,18,21
2017-11-24,13,127,32,159,2115,1468,424,16,14
2017-11-25,7,98,49,139,1940,1493,483,16,19
2017-11-26,9,135,45,199,2576,1774,563,25,16
2017-11-27,14,221,52,408,3433,2694,590,17,22
2017-11-28,17,213,64,193,3786,3125,612,24,42
2017-11-29,8,238,67,186,3514,5008,572,8,24
2017-11-30,7,245,46,144,3732,3771,569,10,33
2017-12-01,12,182,128,174,2953,2704,527,15,25
2017-12-02,3,133,45,179,2881,1508,457,10,11
2017-12-03,4,165,47,174,2137,1808,492,8,19
2017-12-04,7,197,52,167,3259,3140,593,17,33
2017-12-05,7,250,47,129,3448,3254,631,14,31
2017-12-06,8,247,59,124,3481,3090,498,11,31
2017-12-07,6,266,34,143,3294,3451,555,11,29
2017-12-08,8,208,66,146,2794,2910,527,146,27
2017-12-09,15,151,53,160,2100,1847,514,17,25
2017-12-10,13,208,45,166,2531,2193,547,19,49
2017-12-11,16,327,51,160,3287,3564,622,19,24
2017-12-12,13,277,62,183,3192,3548,594,14,28
2017-12-13,12,279,44,146,3276,3260,490,18,26
2017-12-14,17,214,70,163,3128,3264,515,15,29
2017-12-15,16,153,130,125,2676,2751,451,17,20
2017-12-16,13,106,77,121,1954,1501,457,18,18
2017-12-17,13,120,75,192,2425,1721,472,21,23
2017-12-18,14,174,48,168,2816,2662,454,15,16
2017-12-19,16,144,47,151,2631,2614,439,16,16
2017-12-20,15,139,45,158,2441,2466,409,31,16
2017-12-21,4,221,44,150,2131,1809,421,21,17
2017-12-22,8,164,50,138,1708,1468,364,11,6
2017-12-23,9,62,36,144,1409,1174,421,13,14
2017-12-24,5,57,50,144,1494,1058,367,8,12
2017-12-25,7,67,44,139,1612,1023,433,10,19
2017-12-26,17,78,57,160,1742,1154,427,9,18
2017-12-27,14,81,35,187,1901,1392,377,20,19
2017-12-28,6,67,55,170,1929,1366,423,12,19
2017-12-29,10,70,44,152,2314,1406,414,15,16
2017-12-30,2,87,46,149,1597,1349,614,11,23
2017-12-31,12,75,59,131,1508,1660,587,18,100
2018-01-01,6,55,37,177,1687,1583,486,13,18
2018-01-02,8,101,50,178,3897,1954,485,12,18
2018-01-03,9,95,57,199,2367,1971,456,20,39
2018-01-04,7,110,49,149,2354,1860,505,14,30
2018-01-05,9,87,81,148,2289,1858,515,13,14
2018-01-06,13,81,62,187,1854,1594,522,18,23
2018-01-07,17,164,58,224,1991,1886,520,59,20
2018-01-08,9,98,66,190,2926,2749,518,42,22
2018-01-09,3,147,50,161,3152,2978,504,17,9
2018-01-10,9,205,51,183,3333,3316,531,14,18
2018-01-11,13,148,47,180,3022,3765,558,8,25
2018-01-12,11,145,42,178,2732,3731,497,12,15
2018-01-13,9,97,43,154,1907,1998,500,13,17
2018-01-14,16,86,51,171,2106,2193,509,25,17
2018-01-15,11,106,63,170,2799,3485,563,12,11
2018-01-16,8,139,41,145,3060,4392,531,16,14
2018-01-17,14,161,45,219,3206,3756,531,19,22
2018-01-18,5,147,60,175,3051,4149,508,31,16
2018-01-19,5,136,47,182,2889,3902,472,19,15
2018-01-20,6,84,46,214,2091,2237,482,27,12
2018-01-21,5,84,54,206,2211,2445,515,23,15
2018-01-22,9,204,57,182,3158,4191,610,17,16
2018-01-23,13,191,66,209,3421,4320,591,13,19
2018-01-24,8,234,48,262,3548,4511,566,12,17
2018-01-25,7,219,94,212,4735,4604,573,12,20
2018-01-26,10,153,40,192,2755,3889,531,17,19
2018-01-27,9,131,23,310,2034,1913,496,14,7
2018-01-28,9,168,44,253,2360,2356,591,16,14
2018-01-29,10,242,41,226,3377,4549,585,12,16
2018-01-30,7,283,47,217,3366,4925,563,14,16
2018-01-31,8,198,45,200,3713,5375,516,6,20
2018-02-01,72,216,44,170,3513,18289,548,11,18
2018-02-02,8,157,65,191,2883,7665,484,15,16
2018-02-03,24,116,45,355,2162,2634,503,12,20
2018-02-04,7,135,52,244,2428,3230,529,13,14
2018-02-05,4,218,35,234,3480,5767,603,12,17
2018-02-06,10,271,41,205,3567,6608,569,26,18
2018-02-07,6,197,39,144,3550,6041,605,19,26
2018-02-08,8,231,46,183,3461,6558,588,20,22
2018-02-09,4,158,43,153,2975,6177,595,11,19
2018-02-10,12,92,39,149,2292,2790,527,20,22
2018-02-11,9,150,31,171,2586,3470,563,9,19
2018-02-12,4,213,40,149,3461,6509,616,8,22
2018-02-13,6,231,34,164,3367,6834,756,7,20
2018-02-14,6,241,34,158,3364,5849,1353,12,12
2018-02-15,14,198,37,146,3221,5958,584,13,31
2018-02-16,6,157,47,188,2738,7526,582,13,27
2018-02-17,8,91,46,199,2047,2639,493,14,27
2018-02-18,6,143,97,175,2191,3073,535,20,23
2018-02-19,8,274,48,191,2937,4518,610,9,23
2018-02-20,9,305,46,181,3028,8296,649,14,26
2018-02-21,13,229,51,191,3540,6920,594,14,19
2018-02-22,15,258,59,255,3364,8086,598,18,32
2018-02-23,8,222,40,142,2993,10542,603,24,27
2018-02-24,15,95,36,149,2111,4934,503,15,27
2018-02-25,16,182,75,206,2602,4368,662,34,30
2018-02-26,9,361,43,142,3508,6377,597,19,25
2018-02-27,7,314,39,171,3412,5799,605,17,30
2018-02-28,6,327,31,139,3580,5904,688,10,19
2018-03-01,8,311,41,150,3289,5208,588,12,25
2018-03-02,9,212,39,147,2730,4083,541,19,13
2018-03-03,11,113,52,132,2244,2299,451,15,19
2018-03-04,9,131,40,154,2550,2485,545,20,21
2018-03-05,10,244,53,166,4784,4204,622,13,17
2018-03-06,12,403,62,228,5068,4383,641,259,20
2018-03-07,6,228,54,186,3421,4107,568,9,13
2018-03-08,7,250,49,300,4689,4446,588,17,27
2018-03-09,11,170,51,186,2990,3592,534,14,19
2018-03-10,7,90,43,149,2151,1954,493,7,10
2018-03-11,4,116,40,187,2609,2319,586,12,15
2018-03-12,12,196,53,209,3379,3693,589,25,14
2018-03-13,7,149,57,193,3401,3527,647,10,14
2018-03-14,11,186,52,171,3298,3526,590,13,17
2018-03-15,6,228,45,180,3303,3345,607,14,24
2018-03-16,9,171,51,214,2768,2715,613,10,16
2018-03-17,10,94,44,166,2111,1789,496,8,16
2018-03-18,5,151,43,152,2317,2171,994,11,5
2018-03-19,7,256,52,185,3170,3376,727,10,21
2018-03-20,7,259,55,156,3245,3540,596,16,22
2018-03-21,13,255,59,166,2951,3047,609,15,26
2018-03-22,9,233,64,159,3151,3215,593,8,22
2018-03-23,15,178,55,158,2611,2603,534,10,23
2018-03-24,7,95,49,175,2011,1524,497,14,18
2018-03-25,4,101,38,155,2268,1841,544,10,14
2018-03-26,10,236,51,166,2891,2814,621,15,18
2018-03-27,9,281,37,171,2981,3040,539,15,19
2018-03-28,12,299,43,137,2820,2820,549,32,13
2018-03-29,3,319,43,169,2602,2581,565,7,15
2018-03-30,8,116,32,132,2180,1788,521,12,13
2018-03-31,12,96,35,138,1852,1541,488,9,9
2018-04-01,8,87,48,171,2049,1608,574,12,10
2018-04-02,8,198,54,175,2455,2463,556,17,12
2018-04-03,11,236,48,173,2899,2663,571,22,15
2018-04-04,6,294,31,184,2815,3748,538,14,22
2018-04-05,5,221,37,162,2726,3379,624,12,12
2018-04-06,10,197,52,135,2526,2438,494,13,25
2018-04-07,4,103,35,121,3307,1745,517,11,9
2018-04-08,6,141,38,177,2197,1984,605,10,14
2018-04-09,5,188,38,152,2878,3235,619,18,18
2018-04-10,13,230,40,152,4487,2987,546,16,28
2018-04-11,11,200,38,164,3237,2862,524,14,17
2018-04-12,10,176,49,156,3418,2941,626,17,33
2018-04-13,5,137,25,143,2658,2621,561,14,14
2018-04-14,15,121,44,130,2034,1582,440,17,20
2018-04-15,7,152,62,142,2455,1938,575,8,18
2018-04-16,8,290,40,123,3234,3034,616,14,27
