Date,"Gods' Man","Michael Francis Egan","Washington v. Texas","The Founding Ceremony of the Nation","1926 World Series","Confusion (album)","2005 Azores subtropical storm","Cosmo Gordon Lang","Joehana"
2017-01-03,329,8,12,0,47,28,17,162,6
2017-01-04,242,11,12,0,53,28,12,159,2
2017-01-05,107,18,21,0,60,38,17,171,15
2017-01-06,87,17,17,0,58,38,16,146,7
2017-01-07,64,10,11,0,39,27,17,143,6
2017-01-08,60,11,13,0,56,37,13,135,7
2017-01-09,62,5,9,0,38,37,9,140,4
2017-01-10,59,11,15,0,37,42,15,161,7
2017-01-11,48,10,15,0,56,26,14,126,4
2017-01-12,55,12,21,0,53,33,18,138,10
2017-01-13,73,6,15,0,55,27,16,116,3
2017-01-14,54,10,11,0,46,34,14,124,5
2017-01-15,50,13,9,0,74,31,15,144,6
2017-01-16,55,15,26,0,55,42,19,131,13
2017-01-17,48,8,27,0,44,29,16,129,6
2017-01-18,31,4,7,0,82,37,21,109,3
2017-01-19,35,13,19,0,65,63,20,112,9
2017-01-20,36,10,9,0,45,26,12,84,5
2017-01-21,50,15,8,0,46,45,16,87,6
2017-01-22,45,16,17,0,63,44,23,112,11
2017-01-23,54,17,21,0,51,43,22,98,14
2017-01-24,39,9,13,80,58,38,18,105,7
2017-01-25,62,21,15,15,35,27,16,94,7
2017-01-26,57,16,23,45,67,42,23,105,11
2017-01-27,22,10,12,50,41,35,23,89,9
2017-01-28,41,20,13,69,53,34,16,111,10
2017-01-29,27,8,14,16,47,40,17,125,6
2017-01-30,34,9,13,31,52,32,12,125,4
2017-01-31,36,2,20,17,53,25,13,92,4
2017-02-01,45,15,23,37,59,37,23,73,10
2017-02-02,29,6,15,8,47,23,16,114,2
2017-02-03,34,6,17,9,55,30,11,103,3
2017-02-04,23,7,12,31,61,46,23,115,9
2017-02-05,28,11,12,2624,45,42,15,128,9
2017-02-06,30,6,13,207,96,38,20,135,6
2017-02-07,37,12,17,36,90,50,14,123,8
2017-02-08,29,18,22,26,76,42,31,102,12
2017-02-09,35,8,18,27,78,32,18,116,10
2017-02-10,39,7,26,20,43,32,8,92,6
2017-02-11,26,13,17,14,47,47,23,122,11
2017-02-12,22,6,12,11,49,35,15,119,4
2017-02-13,1024,9,26,9,55,30,18,102,8
2017-02-14,141,8,22,12,58,32,21,102,6
2017-02-15,48,18,29,14,54,52,24,117,17
2017-02-16,41,13,15,15,58,47,34,120,13
2017-02-17,36,7,14,15,74,32,14,83,5
2017-02-18,556,11,9,11,64,51,15,90,5
2017-02-19,97,9,9,6,52,36,18,123,4
2017-02-20,95,9,13,11,79,38,16,121,4
2017-02-21,56,5,14,14,43,36,13,101,3
2017-02-22,55,12,22,13,55,60,10,90,4
2017-02-23,24,9,17,13,52,35,15,110,10
2017-02-24,28,16,14,14,120,32,16,103,7
2017-02-25,34,10,6,10,66,34,13,81,9
2017-02-26,37,16,22,8,62,46,16,114,11
2017-02-27,30,9,13,19,72,28,14,97,4
2017-02-28,31,9,9,12,51,27,16,102,6
2017-03-01,34,13,22,9,81,34,21,106,10
2017-03-02,21,10,17,12,66,44,14,84,7
2017-03-03,25,12,15,4,38,29,11,88,6
2017-03-04,25,8,12,21,48,40,11,74,6
2017-03-05,26,13,8,8,55,35,13,86,9
2017-03-06,19,7,10,16,45,46,8,92,4
2017-03-07,28,13,20,12,47,51,20,81,11
2017-03-08,33,14,23,6,48,41,23,98,13
2017-03-09,29,13,21,14,52,40,16,72,14
2017-03-10,34,16,22,7,40,36,19,98,16
2017-03-11,28,9,9,16,33,28,18,81,10
2017-03-12,23,7,9,9,48,30,11,105,10
2017-03-13,31,10,18,9,60,33,16,79,8
2017-03-14,31,12,24,16,51,39,14,98,8
2017-03-15,28,10,21,6,58,28,14,71,7
2017-03-16,27,6,15,15,35,31,11,81,8
2017-03-17,19,3,12,20,35,30,11,85,10
2017-03-18,32,10,9,7,70,37,17,77,5
2017-03-19,27,11,14,61,53,41,14,105,10
2017-03-20,37,7,20,82,43,49,13,97,3
2017-03-21,25,12,15,57,44,42,10,262,7
2017-03-22,23,7,15,32,81,50,17,100,8
2017-03-23,34,20,24,18,58,59,26,98,18
2017-03-24,25,12,15,21,67,31,10,82,6
2017-03-25,31,15,18,45,55,44,23,90,14
2017-03-26,14,4,7,43,48,39,10,92,3
2017-03-27,37,6,14,26,64,25,14,95,7
2017-03-28,23,4,8,24,83,41,20,102,5
2017-03-29,24,10,18,8,56,28,15,109,8
2017-03-30,36,12,22,13,114,38,18,83,13
2017-03-31,30,15,25,8,140,34,15,77,8
2017-04-01,23,10,9,15,85,33,14,108,9
2017-04-02,23,11,17,33,73,31,21,127,11
2017-04-03,26,7,20,29,109,18,12,81,2
2017-04-04,25,8,25,104,76,29,14,89,5
2017-04-05,17,6,27,113,100,31,11,108,5
2017-04-06,22,8,22,127,74,38,19,99,6
2017-04-07,18,8,22,115,72,33,15,77,7
2017-04-08,20,6,10,98,85,30,8,88,6
2017-04-09,25,8,12,87,77,29,12,89,6
2017-04-10,30,15,24,102,93,33,18,97,19
2017-04-11,28,6,13,85,78,26,7,83,3
2017-04-12,25,12,33,94,73,42,22,95,9
2017-04-13,19,7,19,100,87,34,19,97,8
2017-04-14,19,10,17,78,97,48,12,77,7
2017-04-15,23,8,14,82,155,29,14,87,7
2017-04-16,24,10,19,80,95,40,22,174,10
2017-04-17,30,14,15,36,157,30,12,125,7
2017-04-18,39,10,21,28,90,39,26,87,11
2017-04-19,25,6,15,12,80,37,14,83,6
2017-04-20,17,9,23,14,69,42,22,104,9
2017-04-21,19,9,19,22,65,37,19,83,10
2017-04-22,29,15,19,21,84,43,18,90,14
2017-04-23,20,5,14,18,88,35,11,81,7
2017-04-24,23,9,21,14,59,37,25,80,10
2017-04-25,21,11,30,18,69,38,22,94,11
2017-04-26,29,7,22,12,75,38,16,81,6
2017-04-27,23,12,23,20,86,45,18,80,13
2017-04-28,25,9,16,17,65,37,13,70,6
2017-04-29,9,4,8,10,42,33,12,66,4
2017-04-30,20,12,11,18,53,23,10,77,7
2017-05-01,27,7,17,20,62,41,14,99,8
2017-05-02,25,14,17,20,80,34,16,98,11
2017-05-03,32,11,30,22,69,33,17,90,13
2017-05-04,22,6,20,17,74,54,12,124,9
2017-05-05,25,9,17,19,75,29,19,109,8
2017-05-06,27,14,16,22,66,22,18,119,13
2017-05-07,20,3,12,7,60,25,16,117,2
2017-05-08,28,12,30,20,90,49,19,97,11
2017-05-09,24,7,9,17,76,34,12,80,3
2017-05-10,25,3,11,8,75,25,18,67,7
2017-05-11,20,7,16,8,75,29,19,76,12
2017-05-12,20,9,11,24,83,30,23,79,8
2017-05-13,21,11,12,19,62,28,16,76,4
2017-05-14,32,6,10,21,85,24,9,84,9
2017-05-15,26,6,12,23,84,35,20,104,11
2017-05-16,23,17,13,17,66,27,19,82,5
2017-05-17,18,7,22,24,117,34,17,67,10
2017-05-18,24,10,19,21,91,34,14,87,11
2017-05-19,23,12,18,24,72,39,22,75,13
2017-05-20,28,16,21,21,83,48,22,73,14
2017-05-21,29,11,13,13,60,50,29,86,15
2017-05-22,25,8,15,12,82,31,8,70,7
2017-05-23,29,12,18,25,74,42,25,86,13
2017-05-24,13,10,10,13,68,32,13,88,3
2017-05-25,22,11,17,14,77,27,22,58,7
2017-05-26,26,11,20,14,64,44,24,117,12
2017-05-27,19,6,6,12,57,33,18,70,2
2017-05-28,46,7,7,10,84,34,11,112,4
2017-05-29,33,8,11,16,81,23,22,99,7
2017-05-30,59,12,26,21,78,55,21,99,10
2017-05-31,63,10,17,23,91,28,18,117,8
2017-06-01,49,14,22,21,78,26,20,101,10
2017-06-02,53,9,13,37,59,29,19,87,8
2017-06-03,23,5,9,16,57,21,47,83,5
2017-06-04,23,6,13,15,74,21,12,73,5
2017-06-05,24,7,10,17,51,24,10,82,2
2017-06-06,32,8,15,22,55,39,16,86,12
2017-06-07,29,14,19,22,79,40,19,79,14
2017-06-08,36,10,14,15,54,30,19,83,11
2017-06-09,31,9,14,18,54,33,18,68,11
2017-06-10,16,3,12,11,41,22,11,55,5
2017-06-11,18,7,10,18,47,20,13,78,8
2017-06-12,31,11,7,24,53,32,14,65,7
2017-06-13,25,15,17,26,48,30,23,78,16
2017-06-14,34,10,12,20,56,30,13,87,7
2017-06-15,40,12,12,16,72,48,12,68,15
2017-06-16,18,7,11,14,37,27,13,82,4
2017-06-17,27,12,10,17,57,34,16,68,11
2017-06-18,39,12,8,13,65,33,24,70,8
2017-06-19,20,6,12,9,68,29,18,90,6
2017-06-20,29,7,9,11,59,30,29,82,6
2017-06-21,20,5,7,6,68,21,26,90,5
2017-06-22,22,13,13,14,97,29,22,122,14
2017-06-23,40,9,9,12,67,30,30,200,7
2017-06-24,15,4,8,6,48,31,17,96,4
2017-06-25,18,8,14,14,56,24,20,88,10
2017-06-26,32,2,7,13,91,33,16,113,5
2017-06-27,38,6,9,15,108,23,15,96,4
2017-06-28,29,10,13,16,69,28,27,71,12
2017-06-29,28,7,15,13,54,28,26,54,5
2017-06-30,22,12,9,7,53,32,22,55,7
2017-07-01,15,6,8,8,50,31,12,55,5
2017-07-02,24,3,13,12,51,23,13,89,5
2017-07-03,29,8,15,8,122,26,18,77,7
2017-07-04,19,8,8,13,68,38,15,61,8
2017-07-05,25,7,8,11,69,27,14,78,3
2017-07-06,26,10,17,17,72,38,27,65,11
2017-07-07,22,9,13,11,69,38,19,80,7
2017-07-08,20,5,9,16,74,26,8,73,3
2017-07-09,25,30,12,9,54,31,38,73,6
2017-07-10,15,5,9,6,55,31,19,79,7
2017-07-11,17,4,8,12,79,37,23,78,6
2017-07-12,22,7,15,8,100,32,14,84,7
2017-07-13,22,9,9,9,55,36,13,69,9
2017-07-14,20,3,5,7,60,33,16,65,1
2017-07-15,18,12,12,25,67,32,21,98,11
2017-07-16,20,10,12,15,63,32,21,79,7
2017-07-17,20,6,9,9,46,31,74,78,6
2017-07-18,23,4,11,11,58,32,27,71,4
2017-07-19,28,13,15,15,77,33,24,87,8
2017-07-20,24,8,9,14,71,28,22,103,6
2017-07-21,31,8,13,16,45,36,14,90,11
2017-07-22,12,41,8,6,61,27,16,114,5
2017-07-23,26,65,10,17,58,45,28,151,5
2017-07-24,19,7,13,7,61,37,19,106,4
2017-07-25,11,7,6,9,65,36,21,83,5
2017-07-26,38,16,14,15,52,45,25,96,11
2017-07-27,24,14,12,13,62,36,22,100,5
2017-07-28,23,11,18,11,61,34,13,88,8
2017-07-29,12,3,6,7,73,26,9,97,4
2017-07-30,20,5,8,8,72,22,12,96,1
2017-07-31,18,8,11,10,78,32,20,85,5
2017-08-01,31,16,15,17,77,33,23,80,13
2017-08-02,20,12,13,17,88,62,28,96,8
2017-08-03,33,10,14,10,90,52,22,79,9
2017-08-04,35,14,16,21,62,45,29,83,12
2017-08-05,28,14,22,20,107,36,26,117,13
2017-08-06,36,12,13,11,66,33,16,370,10
2017-08-07,20,8,16,16,83,40,22,167,7
2017-08-08,31,9,12,16,83,27,27,84,7
2017-08-09,26,8,12,10,77,30,16,85,6
2017-08-10,25,8,9,15,78,25,30,87,6
2017-08-11,22,12,17,16,80,33,22,93,10
2017-08-12,22,8,12,30,61,31,29,100,7
2017-08-13,29,9,10,10,75,25,12,96,5
2017-08-14,20,10,15,23,69,37,23,87,9
2017-08-15,26,9,10,14,64,38,21,77,11
2017-08-16,32,13,10,12,82,33,27,95,16
2017-08-17,14,9,5,7,67,23,26,58,4
2017-08-18,29,14,14,13,60,27,33,76,14
2017-08-19,25,4,11,12,60,26,19,82,5
2017-08-20,28,14,8,17,60,27,18,97,6
2017-08-21,24,12,11,16,58,28,22,97,3
2017-08-22,29,3,8,12,53,25,20,88,5
2017-08-23,18,9,7,11,64,26,24,84,4
2017-08-24,27,14,16,16,67,34,51,83,19
2017-08-25,27,9,9,9,55,29,81,72,8
2017-08-26,13,4,10,3,44,21,81,76,3
2017-08-27,21,8,10,8,43,28,66,81,8
2017-08-28,21,4,8,10,47,26,80,74,4
2017-08-29,17,4,8,6,42,22,91,84,1
2017-08-30,22,9,11,12,68,25,82,78,4
2017-08-31,21,12,10,10,35,37,100,94,8
2017-09-01,43,37,48,10,41,23,97,90,6
2017-09-02,24,14,22,14,57,29,58,89,5
2017-09-03,18,10,14,7,56,31,74,77,6
2017-09-04,25,12,15,9,48,20,96,110,6
2017-09-05,31,18,15,13,53,28,217,81,6
2017-09-06,39,15,17,10,41,37,255,93,6
2017-09-07,32,13,22,12,35,37,251,85,6
2017-09-08,25,4,8,8,38,33,207,79,4
2017-09-09,24,10,15,3,61,24,191,74,6
2017-09-10,25,11,19,11,36,25,178,116,10
2017-09-11,29,10,7,22,46,30,151,105,3
2017-09-12,35,12,23,37,79,46,113,85,4
2017-09-13,25,10,31,30,60,45,105,68,8
2017-09-14,35,20,17,28,63,31,84,81,12
2017-09-15,21,17,23,30,69,35,88,95,10
2017-09-16,27,19,14,12,59,30,100,74,12
2017-09-17,19,8,8,13,41,22,98,123,26
2017-09-18,46,9,22,18,50,28,232,105,14
2017-09-19,33,17,24,23,59,39,269,103,11
2017-09-20,29,12,16,17,62,25,128,61,10
2017-09-21,21,11,15,19,70,23,129,187,7
2017-09-22,32,21,22,30,83,27,93,98,12
2017-09-23,25,19,14,16,53,36,74,78,14
2017-09-24,34,10,17,23,65,48,153,76,9
2017-09-25,22,10,37,38,46,40,104,90,10
2017-09-26,48,17,28,15,64,41,67,99,11
2017-09-27,263,12,16,17,72,29,66,88,3
2017-09-28,41610,218,18,16,60,28,60,75,8
2017-09-29,9058,29494,247,26,46,28,44,68,13
2017-09-30,3618,4628,22613,410,58,24,49,71,6
2017-10-01,2770,2361,5913,57552,263,54,42,82,5
2017-10-02,752,1978,3900,8911,27152,242,45,89,16
2017-10-03,1699,295,2569,4161,6714,23744,210,72,9
2017-10-04,751,227,345,2993,4100,4666,24134,332,15
2017-10-05,392,180,258,686,2485,2339,4445,33056,225
2017-10-06,303,149,194,507,781,1947,2647,6362,27765
2017-10-07,277,111,154,355,394,349,1726,2777,5269
2017-10-08,197,92,140,318,305,273,354,2415,2582
2017-10-09,212,89,129,255,261,185,309,458,2156
2017-10-10,166,71,134,183,616,210,396,468,275
2017-10-11,150,66,84,183,319,154,282,215,203
2017-10-12,127,53,79,135,224,138,203,246,151
2017-10-13,119,63,69,140,382,108,174,196,134
2017-10-14,114,59,86,125,169,112,209,193,118
2017-10-15,116,49,62,121,160,119,180,178,100
2017-10-16,93,31,66,84,148,115,145,153,74
2017-10-17,104,47,60,91,169,95,110,127,59
2017-10-18,88,32,55,94,161,93,92,152,69
2017-10-19,109,40,63,97,196,82,99,122,71
2017-10-20,85,35,32,97,240,53,59,112,63
2017-10-21,79,41,37,76,191,79,71,127,47
2017-10-22,88,39,48,86,193,78,71,139,32
2017-10-23,81,34,45,78,146,72,66,110,32
2017-10-24,87,32,38,68,180,71,66,143,28
2017-10-25,84,23,62,71,316,50,54,107,36
2017-10-26,87,26,49,49,335,49,86,102,38
2017-10-27,79,28,32,55,256,52,50,77,24
2017-10-28,84,26,33,56,182,50,50,90,43
2017-10-29,54,30,37,55,204,65,58,125,29
2017-10-30,65,25,27,48,257,49,45,116,54
2017-10-31,63,24,32,56,137,61,29,130,26
2017-11-01,54,21,29,42,325,35,38,100,25
2017-11-02,60,25,29,96,370,41,17,80,16
2017-11-03,49,19,24,36,828,67,36,125,11
2017-11-04,50,18,19,26,198,72,25,102,22
2017-11-05,42,17,22,34,170,44,33,125,23
2017-11-06,58,16,33,36,128,53,19,100,36
2017-11-07,53,14,20,33,114,55,41,145,18
2017-11-08,54,13,33,28,176,47,40,104,22
2017-11-09,49,17,17,28,118,31,32,94,9
2017-11-10,40,15,25,30,92,50,19,104,13
2017-11-11,48,21,108,34,72,32,33,104,19
2017-11-12,33,22,20,38,73,38,22,108,12
2017-11-13,102,28,41,40,96,46,53,147,20
2017-11-14,49,27,23,20,79,39,34,101,19
2017-11-15,51,22,37,20,101,60,27,92,12
2017-11-16,50,18,29,33,159,45,24,100,15
2017-11-17,45,16,45,28,57,39,20,90,16
2017-11-18,35,12,12,18,61,51,29,91,10
2017-11-19,43,12,27,28,56,52,26,105,161
2017-11-20,66,19,20,26,63,53,22,211,13
2017-11-21,45,22,14,20,61,43,25,138,12
2017-11-22,41,15,20,13,56,42,45,97,12
2017-11-23,37,14,18,22,74,39,21,98,16
2017-11-24,38,17,17,20,78,51,20,75,12
2017-11-25,44,17,23,24,123,46,24,135,19
2017-11-26,47,16,23,20,63,37,15,158,9
2017-11-27,56,23,26,27,64,74,20,164,18
2017-11-28,45,20,32,31,76,52,27,148,15
2017-11-29,31,14,39,35,59,36,10,119,28
2017-11-30,34,15,21,30,46,36,22,118,9
2017-12-01,36,18,33,31,62,47,42,197,16
2017-12-02,27,12,16,21,55,37,27,127,14
2017-12-03,40,10,19,18,41,32,11,120,13
2017-12-04,64,8,24,59,55,38,21,110,11
2017-12-05,42,20,22,17,46,38,19,90,8
2017-12-06,43,14,159,22,45,35,26,120,10
2017-12-07,37,19,22,23,51,40,15,100,6
2017-12-08,41,14,19,35,43,33,23,131,10
2017-12-09,77,21,20,21,68,39,13,132,19
2017-12-10,42,13,22,31,71,38,25,167,18
2017-12-11,53,19,27,36,59,40,29,200,17
2017-12-12,40,20,19,40,61,46,26,143,12
2017-12-13,39,14,19,23,39,39,21,135,11
2017-12-14,44,15,34,28,73,48,22,139,18
2017-12-15,44,20,17,20,61,46,23,155,106
2017-12-16,29,22,18,19,58,59,29,120,13
2017-12-17,44,25,18,26,48,67,16,148,14
2017-12-18,47,18,22,29,66,56,23,179,14
2017-12-19,61,13,20,24,63,37,26,157,12
2017-12-20,53,19,53,25,44,45,19,127,12
2017-12-21,48,12,17,15,72,42,13,134,4
2017-12-22,46,6,4,20,40,39,12,122,4
2017-12-23,65,7,8,26,42,28,13,126,8
2017-12-24,33,5,5,16,78,27,10,141,4
2017-12-25,36,16,10,13,63,32,15,167,11
2017-12-26,22,12,22,13,82,37,11,158,4
2017-12-27,46,17,13,20,65,45,17,164,15
2017-12-28,42,17,11,19,82,47,15,170,13
2017-12-29,28,7,12,21,66,31,15,146,8
2017-12-30,22,10,6,80,48,23,6,174,2
2017-12-31,38,12,11,63,61,47,12,149,10
2018-01-01,37,13,11,28,43,26,17,183,7
2018-01-02,35,9,19,21,38,42,16,177,6
2018-01-03,59,12,14,16,55,40,17,178,13
2018-01-04,64,12,16,18,66,29,17,134,5
2018-01-05,50,10,9,24,57,51,20,131,6
2018-01-06,54,15,11,16,58,34,20,167,11
2018-01-07,42,11,14,20,67,44,18,155,10
2018-01-08,46,13,13,13,56,36,28,139,6
2018-01-09,40,14,11,11,46,27,17,147,2
2018-01-10,32,22,10,6,50,41,19,112,4
2018-01-11,42,20,25,19,56,34,23,126,6
2018-01-12,48,12,21,17,68,31,14,130,8
2018-01-13,41,10,21,22,103,33,17,160,7
2018-01-14,35,15,21,18,58,53,23,323,15
2018-01-15,40,17,15,21,58,40,15,207,7
2018-01-16,40,5,28,17,74,33,14,195,3
2018-01-17,38,11,27,23,52,38,25,113,8
2018-01-18,25,12,9,18,44,37,28,110,9
2018-01-19,27,11,19,19,51,40,13,117,125
2018-01-20,32,8,14,17,60,29,9,129,7
2018-01-21,32,11,6,8,48,30,9,177,7
2018-01-22,36,6,7,14,34,34,9,119,7
2018-01-23,28,11,17,17,63,43,14,115,12
2018-01-24,25,8,10,18,49,38,11,87,10
2018-01-25,33,10,15,23,74,37,15,128,6
2018-01-26,29,12,12,15,63,31,20,126,7
2018-01-27,34,3,6,8,60,33,25,113,7
2018-01-28,29,11,7,17,56,29,24,146,7
2018-01-29,37,7,9,10,53,41,19,100,9
2018-01-30,53,6,5,22,54,40,11,149,5
2018-01-31,29,12,15,12,50,25,15,127,4
2018-02-01,32,7,9,12,50,34,19,101,10
2018-02-02,28,11,15,23,53,33,23,142,12
2018-02-03,38,7,12,11,67,40,21,131,9
2018-02-04,25,8,14,19,57,36,17,138,9
2018-02-05,38,6,9,11,56,42,16,148,6
2018-02-06,43,11,26,12,70,31,17,133,11
2018-02-07,38,11,14,19,57,23,16,112,7
2018-02-08,44,10,15,20,47,30,18,129,9
2018-02-09,38,7,13,15,51,74,15,85,9
2018-02-10,51,11,12,14,46,40,35,106,11
2018-02-11,34,11,16,18,52,37,15,125,11
2018-02-12,34,5,10,14,44,33,21,105,6
2018-02-13,31,8,7,8,33,37,18,126,2
2018-02-14,28,10,22,12,72,22,18,137,16
2018-02-15,39,13,18,21,61,36,15,104,13
2018-02-16,37,4,13,20,58,42,15,104,3
2018-02-17,34,14,13,25,48,35,14,160,8
2018-02-18,26,7,11,17,54,37,8,124,5
2018-02-19,38,10,18,18,70,41,20,101,5
2018-02-20,29,8,20,23,56,37,25,123,8
2018-02-21,46,10,15,13,78,38,21,121,10
2018-02-22,52,20,28,36,53,52,23,109,19
2018-02-23,31,10,14,20,63,38,17,94,10
2018-02-24,41,9,13,20,48,38,14,255,9
2018-02-25,56,25,26,72,78,46,26,198,26
2018-02-26,38,8,21,33,171,34,17,138,8
2018-02-27,31,7,13,29,159,31,21,105,8
2018-02-28,28,8,11,22,59,29,14,112,5
2018-03-01,31,14,16,34,117,28,15,108,10
2018-03-02,37,18,286,33,79,40,19,134,13
2018-03-03,28,12,10,43,56,35,19,129,10
2018-03-04,48,14,14,18,79,50,22,200,10
2018-03-05,32,12,12,28,60,31,14,136,5
2018-03-06,23,23,27,93,62,34,28,124,8
2018-03-07,29,17,17,13,44,24,14,118,4
2018-03-08,40,10,10,25,57,44,16,128,11
2018-03-09,68,11,20,19,54,41,19,135,10
2018-03-10,29,10,3,20,55,26,13,113,5
2018-03-11,24,4,8,15,37,30,9,126,5
2018-03-12,30,14,15,17,48,42,25,114,12
2018-03-13,30,8,25,15,51,38,17,91,2
2018-03-14,32,11,17,24,61,43,14,87,6
2018-03-15,53,7,13,17,52,31,23,100,9
2018-03-16,27,15,20,27,50,36,18,93,12
2018-03-17,17,8,6,12,39,31,14,156,7
2018-03-18,23,7,6,18,44,44,15,151,3
2018-03-19,27,10,22,17,55,31,15,160,119
2018-03-20,32,10,17,18,43,37,22,107,6
2018-03-21,32,12,25,20,63,33,27,160,8
2018-03-22,46,7,13,20,63,23,21,96,7
2018-03-23,42,9,6,16,66,35,24,105,16
2018-03-24,30,5,7,15,46,32,15,141,7
2018-03-25,37,12,7,20,41,24,16,123,6
2018-03-26,38,18,14,28,59,41,24,128,7
2018-03-27,40,8,47,37,64,34,29,96,8
2018-03-28,28,14,13,18,63,22,15,105,11
2018-03-29,16,11,13,23,734,29,35,86,3
2018-03-30,23,14,17,16,99,38,17,137,4
2018-03-31,20,6,14,12,85,38,12,97,5
2018-04-01,22,12,8,18,104,27,13,131,8
2018-04-02,35,22,14,29,106,43,24,183,10
2018-04-03,26,12,17,42,95,46,13,128,10
2018-04-04,30,14,15,20,92,22,20,91,12
2018-04-05,32,18,14,21,78,29,18,104,6
2018-04-06,22,11,15,26,75,30,24,89,10
2018-04-07,22,12,11,14,69,32,18,75,4
2018-04-08,29,9,13,21,69,39,15,98,5
2018-04-09,24,13,12,19,66,38,21,105,11
2018-04-10,22,14,15,23,72,34,11,98,9
2018-04-11,35,15,17,29,66,48,31,104,7
2018-04-12,30,22,21,32,467,42,24,84,15
2018-04-13,21,12,16,21,116,33,14,87,9
2018-04-14,23,31,16,26,99,43,25,139,13
2018-04-15,19,7,7,13,94,46,22,107,11
2018-04-16,64,12,12,24,69,48,25,110,4
2018-04-17,104,24,16,23,79,41,21,80,14
2018-04-18,70,30,16,21,73,38,20,69,4
2018-04-19,60,12,12,27,55,31,20,109,6
2018-04-20,41,12,13,22,176,37,23,84,6
2018-04-21,31,5,7,9,74,33,14,88,1
2018-04-22,39,8,12,18,84,30,16,108,7
2018-04-23,37,13,11,24,63,36,13,95,7
2018-04-24,54,9,8,32,83,40,21,129,3
2018-04-25,42,11,18,20,85,43,19,102,8
2018-04-26,32,9,9,34,81,25,11,65,4
2018-04-27,28,9,9,13,61,53,11,78,3
2018-04-28,34,12,7,17,49,37,12,88,5
2018-04-29,26,14,11,19,72,30,13,92,10
2018-04-30,30,7,7,22,48,27,17,88,2
2018-05-01,32,7,15,40,79,22,11,78,7
2018-05-02,39,7,6,17,63,34,14,89,4
2018-05-03,34,15,15,21,56,30,27,85,7
2018-05-04,29,4,10,26,43,39,20,67,5
2018-05-05,27,12,14,26,65,31,9,79,4
2018-05-06,23,5,9,20,52,27,7,99,4
2018-05-07,35,10,14,22,75,33,19,92,7
2018-05-08,32,7,21,22,60,42,21,95,4
2018-05-09,40,7,12,20,77,30,12,92,5
2018-05-10,30,15,19,19,57,38,22,109,11
2018-05-11,23,8,9,12,62,34,25,84,8
2018-05-12,26,11,9,10,65,15,21,92,2
2018-05-13,24,12,6,15,69,27,24,82,12
2018-05-14,24,16,11,18,64,34,13,128,5
2018-05-15,40,7,11,17,58,37,23,111,6
2018-05-16,22,10,10,28,61,33,21,86,8
2018-05-17,35,9,18,33,81,34,13,130,5
2018-05-18,35,17,11,18,77,47,16,148,6
2018-05-19,29,15,15,14,75,41,18,348,5
2018-05-20,32,14,20,24,80,33,16,305,6
2018-05-21,31,17,18,26,63,35,14,218,7
2018-05-22,33,13,11,18,53,34,18,174,8
2018-05-23,43,14,24,23,75,40,20,174,14
2018-05-24,39,7,19,17,68,36,26,132,10
2018-05-25,22,6,8,14,53,37,22,155,1
2018-05-26,36,12,7,14,50,34,37,152,5
2018-05-27,23,11,9,23,53,26,70,163,4
2018-05-28,34,13,8,18,48,34,52,182,6
2018-05-29,38,6,8,10,82,35,44,143,5
2018-05-30,40,11,16,29,86,30,49,150,12
2018-05-31,35,8,7,25,68,25,23,122,9
2018-06-01,28,18,10,15,63,37,27,118,6
2018-06-02,26,9,11,14,76,33,19,155,6
2018-06-03,19,9,8,14,74,25,11,214,4
2018-06-04,27,8,7,13,60,41,12,208,4
2018-06-05,36,8,7,20,61,41,14,172,9
2018-06-06,30,11,10,20,77,33,7,145,6
2018-06-07,25,6,7,21,85,29,14,170,5
2018-06-08,35,13,15,16,74,30,15,160,9
2018-06-09,20,5,9,21,72,28,14,203,2
2018-06-10,25,4,8,17,57,40,11,185,4
2018-06-11,22,7,10,35,136,35,11,163,6
2018-06-12,35,13,10,38,86,39,16,121,5
2018-06-13,29,13,10,16,65,33,12,118,5
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,35,12,12,15,72,24,15,125,8
2018-06-16,23,4,12,16,67,34,15,114,6
2018-06-17,25,9,12,20,63,39,7,132,9
