Date,"Subtropical Storm Andrea (2007)","White-rumped swallow","Dr. Jekyll and Mr. Hyde (1887 play)","John Sherman","Belgium national football team","Kuiper belt","Manuel Marques de Sousa, Count of Porto Alegre","John Gielgud","The Magazine of Fantasy"
2016-11-20,14,7,0,141,1536,1037,6,1058,1
2016-11-21,16,9,0,164,1310,1400,7,914,0
2016-11-22,20,8,0,181,1526,3119,14,902,0
2016-11-23,12,2,0,169,1403,1526,3,779,0
2016-11-24,19,8,0,129,1338,1151,12,917,0
2016-11-25,11,3,0,158,1187,939,12,1009,1
2016-11-26,28,1,0,111,1423,953,13,1156,0
2016-11-27,18,2,0,133,1315,1061,14,1172,1
2016-11-28,16,5,0,155,1240,1377,9,924,0
2016-11-29,25,2,0,182,1203,1509,15,844,0
2016-11-30,17,6,0,162,1281,1622,11,813,0
2016-12-01,23,4,0,158,1035,1455,10,780,0
2016-12-02,19,3,0,139,1006,1411,18,847,0
2016-12-03,21,3,0,124,1485,1561,19,1087,0
2016-12-04,29,3,0,165,1616,1193,12,1194,1
2016-12-05,16,3,0,134,1234,1446,15,959,0
2016-12-06,18,1,0,155,1235,1560,12,1041,1
2016-12-07,13,2,0,179,1069,1570,11,1437,0
2016-12-08,19,4,0,173,1230,1488,14,836,0
2016-12-09,27,4,0,193,992,1284,17,843,0
2016-12-10,23,5,0,154,1402,969,13,1097,0
2016-12-11,19,8,0,185,1505,1188,12,1305,0
2016-12-12,24,7,0,160,1253,1447,13,1044,0
2016-12-13,16,8,0,222,1302,1883,12,802,0
2016-12-14,13,1,0,186,1275,1386,12,763,0
2016-12-15,18,1,0,201,1193,1424,14,826,1
2016-12-16,22,3,0,147,1095,1392,15,886,0
2016-12-17,20,8,0,115,1427,1145,17,1051,1
2016-12-18,15,6,0,143,1944,1234,13,1499,0
2016-12-19,13,7,0,142,1606,1358,11,1192,0
2016-12-20,23,4,0,158,1168,1253,15,933,0
2016-12-21,12,5,0,172,1277,1193,9,906,0
2016-12-22,12,6,0,116,1333,1053,11,1079,0
2016-12-23,21,3,0,94,1155,1000,14,980,0
2016-12-24,15,6,0,88,1157,762,8,1338,0
2016-12-25,19,3,0,73,1027,734,13,2356,0
2016-12-26,348,3,0,583,1604,1417,10,2270,0
2016-12-27,9,9,0,73,1728,1005,508,1722,0
2016-12-28,21,3,0,80,1365,1092,10,1476,0
2016-12-29,14,8,0,112,1324,1126,17,1684,0
2016-12-30,6,10,0,72,1301,1075,10,1611,1
2016-12-31,11,4,0,81,1461,1074,2,1329,2
2017-01-01,11,3,0,67,1313,995,10,1318,1
2017-01-02,11,5,0,109,1766,1381,5,1372,0
2017-01-03,8,5,0,84,1628,1730,5,1216,1
2017-01-04,13,5,0,120,1833,1485,8,1243,0
2017-01-05,16,11,0,120,1517,1507,16,1328,0
2017-01-06,15,1,0,117,1410,1425,9,1104,0
2017-01-07,10,5,0,106,1307,1166,6,1227,0
2017-01-08,19,13,0,108,1382,1071,13,1471,0
2017-01-09,17,4,0,134,1360,2667,5,1162,0
2017-01-10,18,6,0,121,1335,1955,9,1119,1
2017-01-11,12,4,0,119,1480,1610,8,988,0
2017-01-12,24,7,0,139,1481,1901,13,867,1
2017-01-13,18,9,0,138,1348,1480,4,979,0
2017-01-14,20,21,0,92,1533,1148,12,1148,0
2017-01-15,12,37,0,112,2583,1054,10,1250,0
2017-01-16,24,21,0,137,1439,1143,16,1145,3
2017-01-17,15,6,0,160,1349,2391,9,895,0
2017-01-18,11,5,0,137,1377,1706,10,756,0
2017-01-19,17,4,0,153,1423,1438,12,1310,0
2017-01-20,11,10,0,151,1204,1503,13,773,0
2017-01-21,20,27,0,133,1490,1103,9,927,0
2017-01-22,16,20,0,125,1433,1199,11,1089,0
2017-01-23,20,10,0,175,1429,1927,15,903,0
2017-01-24,20,9,0,192,1262,1872,9,1094,0
2017-01-25,21,11,0,132,1317,1725,8,993,1
2017-01-26,13,8,0,156,1213,1567,13,840,2
2017-01-27,11,8,0,136,1078,1496,7,892,0
2017-01-28,22,8,0,86,1224,1067,17,2241,0
2017-01-29,8,4,0,126,1608,1309,7,1311,0
2017-01-30,9,31,0,134,1227,1485,13,1139,0
2017-01-31,11,13,0,152,1379,1910,9,866,0
2017-02-01,18,9,0,144,1326,1495,14,881,0
2017-02-02,7,8,0,157,1137,1595,9,1066,0
2017-02-03,8,18,0,115,1123,1407,15,934,0
2017-02-04,14,33,0,103,1998,1058,9,1058,1
2017-02-05,18,41,0,137,2280,1212,14,1104,0
2017-02-06,14,4,0,133,1570,1393,10,929,0
2017-02-07,12,10,0,138,1506,1574,12,861,0
2017-02-08,17,16,0,139,1601,1442,18,1074,0
2017-02-09,23,58,0,137,1526,1366,15,812,1
2017-02-10,10,54,0,106,1283,1432,9,1025,0
2017-02-11,13,35,0,101,1602,1355,10,1011,1
2017-02-12,12,49,0,98,1644,1278,11,2263,0
2017-02-13,17,14,0,175,1346,1526,12,1177,0
2017-02-14,15,39,0,162,1304,1613,9,924,4
2017-02-15,21,32,0,156,1428,1615,17,860,0
2017-02-16,28,7,0,130,1395,1677,10,903,0
2017-02-17,16,8,0,148,1129,1741,10,971,1
2017-02-18,15,17,0,88,1149,1386,12,1139,1
2017-02-19,7,8,0,110,1309,1436,6,1135,1
2017-02-20,11,9,0,137,1112,1559,8,1254,0
2017-02-21,11,16,37,142,1390,2155,6,991,1
2017-02-22,14,10,19,138,1288,2723,10,826,0
2017-02-23,17,4,21,129,1254,2919,15,975,1
2017-02-24,10,23,40,106,1110,2234,9,939,0
2017-02-25,15,21,29,83,1250,1493,14,1238,1
2017-02-26,21,20,20,94,1586,1454,15,1765,1
2017-02-27,13,17,35,119,1431,1779,14,2566,1
2017-02-28,14,115,33,119,1244,1835,11,1254,0
2017-03-01,18,103,26,115,1204,1820,16,937,0
2017-03-02,11,98,56,132,1178,2808,10,958,0
2017-03-03,12,96,67,109,1086,1990,4,921,3
2017-03-04,10,85,60,94,1231,1912,8,957,1
2017-03-05,13,72,114,102,1666,1733,6,1300,1
2017-03-06,6,129,72,117,1368,1814,13,1013,2
2017-03-07,22,110,89,116,1649,1734,14,915,0
2017-03-08,21,112,58,99,1470,1825,13,885,3
2017-03-09,19,130,41,98,1339,1717,11,893,0
2017-03-10,21,295,83,108,1313,1784,17,993,0
2017-03-11,11,45,59,86,1384,953,11,1087,0
2017-03-12,9,25,45,158,1500,1265,15,1196,0
2017-03-13,14,21,61,109,1591,1423,11,1061,1
2017-03-14,11,21,57,118,1726,1399,15,866,2
2017-03-15,20,7,51,174,1867,1351,6,838,0
2017-03-16,7,18,38,121,2200,1521,12,963,1
2017-03-17,9,7,25,101,2917,1252,7,886,0
2017-03-18,19,15,33,91,2667,998,18,963,0
2017-03-19,17,11,118,104,2996,1660,12,1025,0
2017-03-20,13,13,137,127,3236,1816,12,1042,0
2017-03-21,18,8,148,239,3640,1647,11,843,2
2017-03-22,22,11,144,137,3208,1640,12,782,2
2017-03-23,24,23,131,133,3093,1655,21,829,0
2017-03-24,17,12,121,95,3654,1460,12,863,0
2017-03-25,17,17,97,101,8851,1199,20,816,0
2017-03-26,15,9,108,107,5010,1097,10,980,0
2017-03-27,22,18,107,96,3628,1588,8,781,0
2017-03-28,25,9,85,105,4646,1611,8,1083,1
2017-03-29,10,13,100,90,3126,1555,6,835,0
2017-03-30,24,13,115,107,1876,1615,38,857,0
2017-03-31,8,9,119,107,1584,1486,9,836,2
2017-04-01,11,14,124,86,2082,1171,12,880,1
2017-04-02,24,11,137,92,1731,1262,12,1062,0
2017-04-03,13,4,97,115,1359,1467,9,982,0
2017-04-04,11,14,54,99,1352,2008,13,800,0
2017-04-05,15,10,50,108,1565,2120,8,834,1
2017-04-06,18,13,39,114,1729,1682,12,807,0
2017-04-07,13,13,44,104,1266,1524,11,906,0
2017-04-08,10,11,24,75,1493,1013,7,955,0
2017-04-09,10,6,31,116,2057,1069,25,1019,1
2017-04-10,20,17,45,115,1690,1398,17,1300,0
2017-04-11,15,7,37,92,1445,1457,7,1485,1
2017-04-12,22,11,45,131,1377,1446,13,1277,2
2017-04-13,14,13,42,111,2333,1451,18,1320,2
2017-04-14,12,14,26,91,1350,1095,10,2082,0
2017-04-15,16,6,27,91,1660,893,10,1372,0
2017-04-16,31,15,40,84,1902,1003,20,1209,1
2017-04-17,27,20,41,122,1355,1161,12,1347,0
2017-04-18,26,22,53,150,1225,1371,20,1150,0
2017-04-19,35,7,50,181,1185,1528,11,1232,0
2017-04-20,35,22,53,232,1786,1335,16,1216,0
2017-04-21,36,14,39,127,1295,1232,23,1084,1
2017-04-22,42,32,58,170,2189,1085,27,1018,0
2017-04-23,28,12,48,112,2013,1114,13,990,0
2017-04-24,38,14,45,153,1589,1520,16,1079,1
2017-04-25,30,19,48,140,1454,1745,21,879,0
2017-04-26,40,6,45,129,1307,2528,8,1249,0
2017-04-27,27,11,49,134,1609,2079,32,2430,0
2017-04-28,24,14,32,94,1259,1869,19,1557,1
2017-04-29,10,11,33,88,1201,1086,27,1047,0
2017-04-30,17,12,31,91,1621,996,12,979,0
2017-05-01,15,20,53,129,1336,1442,23,1834,2
2017-05-02,19,19,59,126,1221,1551,20,908,2
2017-05-03,25,21,77,139,1251,2140,30,864,0
2017-05-04,22,15,49,140,1186,1552,18,951,0
2017-05-05,23,27,46,143,1123,1345,20,830,1
2017-05-06,195,17,52,118,1335,976,19,1127,0
2017-05-07,16580,165,39,93,1216,1072,12,990,0
2017-05-08,3896,21289,230,139,1168,1509,17,844,0
2017-05-09,2225,3429,38959,283,1243,1754,31,766,0
2017-05-10,1360,1696,5551,29832,1453,1501,17,694,1
2017-05-11,276,1381,3424,5706,25470,2027,20,736,1
2017-05-12,200,251,2499,2418,3069,51455,218,799,1
2017-05-13,155,196,389,1762,3219,9119,24613,1042,0
2017-05-14,123,129,262,534,3123,5389,5119,44185,0
2017-05-15,100,116,250,363,1698,5049,3610,8833,6
2017-05-16,93,119,208,255,1488,2270,2763,4572,1
2017-05-17,78,89,150,895,1341,2175,416,2996,3
2017-05-18,92,68,128,197,1428,1969,278,1300,0
2017-05-19,70,81,148,213,1615,2179,256,1316,1
2017-05-20,74,61,119,183,1471,1402,222,1110,0
2017-05-21,185,254,392,203,1731,1535,144,1294,2
2017-05-22,51,48,122,191,1619,1818,90,1194,0
2017-05-23,57,55,85,175,1563,1793,84,1035,1
2017-05-24,41,41,71,153,1792,1618,59,922,1
2017-05-25,49,37,62,159,1823,1628,60,870,2
2017-05-26,40,67,69,149,1682,1354,61,741,0
2017-05-27,35,37,68,101,1935,878,71,879,0
2017-05-28,34,39,74,103,1759,1097,66,919,1
2017-05-29,29,29,82,139,1892,1261,43,1086,0
2017-05-30,39,44,86,159,2374,1508,40,1157,0
2017-05-31,38,37,69,184,2135,1340,39,1558,0
2017-06-01,24,35,66,143,1930,1453,44,806,0
2017-06-02,25,30,71,163,2063,1270,28,944,2
2017-06-03,133,26,53,115,2216,1171,40,841,3
2017-06-04,27,21,45,134,2397,1070,35,1037,0
2017-06-05,28,34,67,142,5257,1619,31,758,1
2017-06-06,28,41,71,112,3545,1537,33,750,0
2017-06-07,36,41,75,169,2371,1427,40,792,0
2017-06-08,21,35,65,157,2411,1274,32,1104,0
2017-06-09,23,30,69,170,3983,1195,31,734,1
2017-06-10,17,17,65,107,3051,1033,38,798,0
2017-06-11,21,24,59,99,2346,1154,27,891,0
2017-06-12,24,20,68,93,2189,1209,30,1028,1
2017-06-13,31,48,62,110,2041,1465,28,940,0
2017-06-14,15,23,44,110,1895,1514,21,757,0
2017-06-15,29,358,48,149,1758,1294,31,864,1
2017-06-16,10,24,36,126,1499,1123,20,989,1
2017-06-17,25,20,45,119,1545,967,24,1266,0
2017-06-18,27,23,37,107,1662,921,25,1362,3
2017-06-19,20,32,40,102,1491,1248,17,1303,0
2017-06-20,34,27,42,107,1343,1191,16,1217,1
2017-06-21,44,18,37,118,1438,1182,15,1212,2
2017-06-22,40,22,56,102,1570,1476,17,886,1
2017-06-23,21,25,31,82,1449,1987,25,1383,1
2017-06-24,27,16,24,81,1422,1672,19,3033,0
2017-06-25,23,18,38,105,1526,1620,17,1539,1
2017-06-26,17,22,37,98,1317,1607,12,1059,0
2017-06-27,20,40,39,112,1342,1589,11,1028,0
2017-06-28,24,25,35,96,1599,1350,19,885,0
2017-06-29,23,15,25,85,1587,1144,19,966,0
2017-06-30,19,19,32,421,1337,1007,12,2692,3
2017-07-01,14,19,35,74,1266,1001,13,1160,3
2017-07-02,9,18,32,130,1574,1103,9,1059,0
2017-07-03,15,23,27,109,1537,1078,22,867,1
2017-07-04,18,31,49,114,1372,1076,18,852,1
2017-07-05,12,12,28,122,1355,1053,17,752,0
2017-07-06,21,17,44,122,2794,1031,19,765,5
2017-07-07,17,21,36,106,2400,788,18,855,17
2017-07-08,19,15,33,140,3161,846,15,907,80
2017-07-09,27,14,37,118,2940,2090,13,968,180
2017-07-10,15,14,40,90,3442,1336,16,865,122
2017-07-11,29,28,38,94,2707,1014,13,856,202
2017-07-12,16,67,48,104,2083,1059,17,1018,201
2017-07-13,17,19,36,96,2072,1166,13,954,160
2017-07-14,12,13,36,103,1412,1061,5,744,153
2017-07-15,23,18,35,108,1214,1258,14,1072,1
2017-07-16,28,19,44,96,1469,1148,13,1019,1
2017-07-17,17,12,28,72,1344,1269,10,884,1
2017-07-18,22,14,33,113,1361,1286,11,893,0
2017-07-19,25,20,39,103,1300,1179,11,784,2
2017-07-20,12,14,31,85,1331,1113,11,1068,0
2017-07-21,20,17,35,81,1791,938,23,821,0
2017-07-22,11,7,24,90,1481,888,22,1069,0
2017-07-23,20,14,24,99,1370,991,15,915,3
2017-07-24,23,9,42,97,1310,1049,10,813,1
2017-07-25,9,33,43,105,1356,1010,12,740,1
2017-07-26,16,33,39,104,1323,836,15,810,1
2017-07-27,15,14,32,96,1550,832,12,801,2
2017-07-28,18,19,26,102,1365,893,18,784,1
2017-07-29,7,16,28,76,1322,787,9,1016,3
2017-07-30,13,13,24,90,1506,857,10,993,0
2017-07-31,27,13,27,98,1342,1006,10,764,1
2017-08-01,24,23,34,107,1307,1011,21,837,1
2017-08-02,25,12,36,76,1309,846,17,726,3
2017-08-03,12,19,41,100,1426,892,17,777,3
2017-08-04,28,23,51,100,1313,870,19,800,4
2017-08-05,30,22,35,113,1218,789,19,879,0
2017-08-06,25,12,34,84,1564,793,12,918,2
2017-08-07,27,19,26,114,1364,904,13,890,2
2017-08-08,31,20,51,102,1565,1081,12,853,0
2017-08-09,17,17,25,99,1462,1175,16,745,1
2017-08-10,19,16,43,110,1410,1089,16,687,3
2017-08-11,27,19,37,74,1449,1021,17,822,2
2017-08-12,18,16,37,58,1455,909,13,975,1
2017-08-13,23,20,34,83,2627,1233,13,874,1
2017-08-14,22,18,41,119,1920,1505,12,812,2
2017-08-15,22,28,42,113,1670,1128,27,787,0
2017-08-16,21,18,34,94,1579,925,14,707,1
2017-08-17,13,14,51,137,1582,964,14,704,2
2017-08-18,25,21,32,121,1449,931,14,797,1
2017-08-19,15,9,31,127,2072,939,11,761,3
2017-08-20,13,12,33,120,2472,1047,13,811,0
2017-08-21,23,11,36,90,1797,1340,6,665,0
2017-08-22,23,9,37,137,1561,1224,11,718,0
2017-08-23,15,15,52,101,1635,1201,8,807,1
2017-08-24,39,18,40,112,1964,1239,15,1047,3
2017-08-25,72,8,46,89,3737,1223,12,917,0
2017-08-26,94,6,44,85,3900,839,6,1335,0
2017-08-27,83,13,37,84,3017,829,14,1125,3
2017-08-28,70,5,34,80,2673,1123,9,1097,0
2017-08-29,81,7,25,77,3230,983,10,793,3
2017-08-30,65,8,43,122,3178,1074,11,771,0
2017-08-31,63,17,35,103,7304,1159,9,621,2
2017-09-01,67,57,34,99,7541,1136,17,683,3
2017-09-02,59,28,29,69,3961,831,11,767,7
2017-09-03,49,14,46,67,10314,872,14,1003,3
2017-09-04,70,18,39,102,9637,965,11,818,0
2017-09-05,155,14,42,103,4797,1375,15,780,0
2017-09-06,178,18,38,158,3517,1235,15,659,0
2017-09-07,217,7,59,85,2429,1393,12,717,2
2017-09-08,190,6,35,93,2106,1134,11,757,3
2017-09-09,176,6,32,74,2904,938,13,696,2
2017-09-10,195,11,24,81,2005,1425,12,797,2
2017-09-11,160,12,53,105,1684,1251,12,695,2
2017-09-12,95,15,42,104,2086,1281,7,824,3
2017-09-13,82,13,37,102,1933,1329,5,714,4
2017-09-14,66,25,40,94,1762,1599,12,782,2
2017-09-15,58,15,35,92,1503,1791,16,857,3
2017-09-16,65,12,33,72,1761,1437,9,845,1
2017-09-17,66,7,28,71,2361,1419,5,854,1
2017-09-18,91,10,46,144,1865,1708,8,1066,1
2017-09-19,120,16,51,88,1746,1613,15,760,0
2017-09-20,75,10,34,120,1590,1695,10,671,2
2017-09-21,64,14,28,86,1902,1576,11,657,0
2017-09-22,54,14,38,110,1742,1572,10,793,0
2017-09-23,41,15,41,86,2108,1187,16,750,1
2017-09-24,49,16,31,64,1695,1084,10,919,2
2017-09-25,38,9,40,82,1582,1441,9,811,2
2017-09-26,43,12,37,103,1766,1512,15,849,1
2017-09-27,37,10,31,99,2470,1361,12,1498,0
2017-09-28,63,9,42,126,2846,1434,13,679,1
2017-09-29,52,17,39,112,2916,1453,4,678,0
2017-09-30,33,6,38,78,4605,992,5,738,1
2017-10-01,30,9,36,70,3351,986,24,863,0
2017-10-02,27,16,37,106,3268,1275,21,753,2
2017-10-03,28,9,27,97,3583,1596,7,729,0
2017-10-04,64,11,34,252,3500,1369,22,692,1
2017-10-05,32,9,32,154,4058,1292,10,810,0
2017-10-06,42,15,45,104,4539,1279,11,672,1
2017-10-07,64,11,35,128,9645,877,8,879,0
2017-10-08,49,7,32,107,6376,1348,6,918,1
2017-10-09,46,18,45,114,4839,1632,10,857,0
2017-10-10,34,7,32,111,8405,2170,10,723,0
2017-10-11,40,14,34,113,11497,1709,10,721,1
2017-10-12,39,16,40,111,4756,2383,15,680,0
2017-10-13,44,20,38,102,3336,2179,13,655,0
2017-10-14,44,20,28,92,3961,1293,6,778,1
2017-10-15,49,19,44,113,3117,1284,16,873,0
2017-10-16,31,4,37,82,2775,2183,2,788,1
2017-10-17,39,26,53,106,3365,1873,14,860,1
2017-10-18,32,14,41,117,3219,2111,10,849,1
2017-10-19,29,20,63,144,2588,1680,15,796,0
2017-10-20,34,16,64,100,1885,1596,12,728,0
2017-10-21,33,10,40,84,2589,982,7,801,0
2017-10-22,35,8,49,124,2549,1023,7,1010,2
2017-10-23,25,14,40,136,2150,1476,12,855,0
2017-10-24,26,13,44,120,1986,1417,9,1489,0
2017-10-25,25,9,49,109,1964,1465,11,841,1
2017-10-26,35,16,55,102,1835,1393,4,786,0
2017-10-27,27,5,59,79,1646,1461,9,748,0
2017-10-28,33,20,42,96,2264,1134,16,806,0
2017-10-29,41,12,49,104,1968,1152,7,885,0
2017-10-30,37,12,61,128,2123,1294,7,795,0
2017-10-31,33,11,50,124,2195,1310,11,770,0
2017-11-01,40,12,43,129,2222,1302,13,739,1
2017-11-02,19,7,64,128,2174,1292,10,1019,0
2017-11-03,32,9,40,122,3206,1169,7,1024,0
2017-11-04,23,5,30,84,2596,881,4,1055,1
2017-11-05,22,10,66,94,3996,1083,11,1399,1
2017-11-06,24,16,42,127,3219,1305,9,1362,0
2017-11-07,22,18,59,131,3588,1524,14,1153,0
2017-11-08,17,12,48,159,3619,1499,11,807,0
2017-11-09,27,11,52,138,3757,1302,62,1014,0
2017-11-10,20,8,51,94,7300,959,15,934,1
2017-11-11,29,18,32,88,8526,904,16,1133,0
2017-11-12,20,8,126,109,5288,1065,13,1265,0
2017-11-13,24,18,49,137,5130,1338,15,1201,1
2017-11-14,24,10,52,155,8026,1353,13,839,1
2017-11-15,16,11,39,535,9365,1245,16,834,0
2017-11-16,24,13,43,165,5759,1258,18,824,0
2017-11-17,22,22,45,131,3491,1306,11,871,0
2017-11-18,26,9,30,103,4238,976,7,1331,0
2017-11-19,14,17,45,88,3193,1001,8,2515,1
2017-11-20,28,8,38,109,2748,1313,11,1004,0
2017-11-21,23,9,43,113,2327,1956,7,945,0
2017-11-22,16,14,45,97,2374,1472,13,827,0
2017-11-23,20,14,33,108,1918,1127,17,816,0
2017-11-24,20,12,40,81,1679,1072,6,798,0
2017-11-25,23,13,34,101,2235,1003,20,1257,0
2017-11-26,17,10,42,91,2313,1109,8,1088,0
2017-11-27,20,15,55,123,1920,1410,15,899,0
2017-11-28,54,22,50,143,2088,1309,11,836,0
2017-11-29,20,8,57,92,1911,1137,11,811,1
2017-11-30,24,14,38,140,2168,1184,11,758,0
2017-12-01,33,15,42,141,17289,1009,16,713,1
2017-12-02,18,12,21,77,10469,1400,8,821,0
2017-12-03,15,8,35,100,5117,1229,5,961,0
2017-12-04,20,12,43,126,3895,1478,9,1017,0
2017-12-05,27,9,44,128,3340,1396,8,714,0
2017-12-06,15,9,36,133,2736,1207,11,694,0
2017-12-07,24,9,37,147,2342,1182,6,882,0
2017-12-08,17,7,277,113,2078,1194,8,772,1
2017-12-09,21,14,35,82,2301,974,18,1249,0
2017-12-10,27,15,41,93,3644,946,14,1101,1
2017-12-11,22,17,43,125,2277,1310,15,984,0
2017-12-12,26,19,42,120,2277,1556,11,769,2
2017-12-13,20,14,42,110,2124,1516,14,758,0
2017-12-14,29,14,53,122,1857,1473,13,758,0
2017-12-15,15,18,25,212,1668,1361,23,819,1
2017-12-16,24,14,33,93,2906,913,13,786,0
2017-12-17,25,18,39,98,2922,955,22,1000,0
2017-12-18,24,12,30,113,2144,1250,16,782,2
2017-12-19,29,17,44,94,1961,1121,14,807,0
2017-12-20,21,14,36,105,1667,1017,16,778,0
2017-12-21,27,8,177,99,1716,949,9,712,0
2017-12-22,7,9,27,102,1796,737,5,838,0
2017-12-23,15,8,21,63,2594,753,9,733,1
2017-12-24,9,14,16,70,1808,758,6,964,1
2017-12-25,17,8,32,81,1599,754,11,864,2
2017-12-26,9,8,20,106,2416,891,14,1422,0
2017-12-27,20,11,26,80,2495,935,13,1104,0
2017-12-28,18,12,36,81,2236,1142,20,1010,0
2017-12-29,15,13,29,87,1917,885,7,1596,1
2017-12-30,21,10,23,84,1968,813,4,1093,0
2017-12-31,14,9,37,79,1832,805,14,1010,0
2018-01-01,14,31,30,86,1840,834,10,1067,0
2018-01-02,20,17,31,113,2125,1168,17,1021,0
2018-01-03,18,31,29,112,2845,1070,12,885,0
2018-01-04,26,15,42,108,2397,1046,10,869,0
2018-01-05,22,14,28,130,2201,1054,8,836,0
2018-01-06,21,22,38,94,2122,980,17,978,0
2018-01-07,23,20,33,242,2233,989,11,1112,0
2018-01-08,13,10,45,197,1981,1097,9,1112,0
2018-01-09,11,17,52,110,2106,1624,6,980,0
2018-01-10,10,5,39,128,2169,1270,3,947,1
2018-01-11,22,14,115,122,2043,1275,19,1244,0
2018-01-12,16,6,72,147,1893,1241,10,859,0
2018-01-13,18,12,35,80,1983,1200,12,897,0
2018-01-14,27,16,68,101,2413,984,14,1026,0
2018-01-15,15,13,60,128,2289,1162,10,866,0
2018-01-16,11,23,47,112,2718,1285,9,882,1
2018-01-17,21,16,58,117,2293,1208,14,829,0
2018-01-18,16,14,63,129,1918,1140,8,1152,0
2018-01-19,16,11,35,189,1844,1222,11,887,0
2018-01-20,13,9,44,96,2554,864,14,946,0
2018-01-21,15,9,29,97,2319,953,7,1099,0
2018-01-22,17,8,30,127,2202,1137,9,1254,0
2018-01-23,16,11,34,135,2086,1231,12,1056,1
2018-01-24,17,8,34,149,2607,1196,7,1023,0
2018-01-25,13,7,37,127,1962,1232,11,876,1
2018-01-26,11,8,42,126,1773,954,13,1043,0
2018-01-27,6,10,31,75,1647,860,2,1036,0
2018-01-28,20,10,37,121,2493,1067,7,1158,0
2018-01-29,21,11,42,184,2139,1368,7,1325,0
2018-01-30,9,13,50,192,2050,1482,8,994,1
2018-01-31,15,8,39,152,2502,1600,9,951,0
2018-02-01,15,8,49,145,2018,1334,5,911,0
2018-02-02,15,16,44,112,1976,1133,17,906,0
2018-02-03,12,14,46,84,2434,830,8,994,0
2018-02-04,19,11,37,111,2226,1274,10,1095,0
2018-02-05,10,12,40,123,2108,1357,12,967,0
2018-02-06,12,10,40,137,2044,1396,12,855,0
2018-02-07,12,10,40,134,1762,1829,9,764,0
2018-02-08,20,10,40,151,1916,1733,10,926,0
2018-02-09,15,15,30,113,1624,2316,11,868,0
2018-02-10,26,11,31,92,2582,2528,9,912,0
2018-02-11,13,13,32,108,2395,2270,8,1782,0
2018-02-12,7,12,33,106,3134,2438,4,875,0
2018-02-13,11,6,32,129,3379,1613,6,810,0
2018-02-14,7,8,34,144,3001,1570,8,819,0
2018-02-15,15,11,45,133,2546,1272,9,810,0
2018-02-16,12,6,25,131,2573,1180,8,800,0
2018-02-17,13,17,29,75,2398,1664,13,837,0
2018-02-18,6,11,42,106,2375,1772,17,1216,1
2018-02-19,12,12,39,161,5591,1363,6,930,0
2018-02-20,12,14,55,152,3293,1643,7,867,1
2018-02-21,21,13,32,129,2850,1369,25,765,0
2018-02-22,26,18,51,153,2479,1175,20,805,1
2018-02-23,13,13,47,100,2301,1130,8,822,0
2018-02-24,31,14,42,112,2011,965,6,907,0
2018-02-25,46,28,49,128,4640,1044,18,1031,0
2018-02-26,19,14,33,143,4539,1191,9,975,1
2018-02-27,13,15,48,136,3380,1236,9,902,0
2018-02-28,22,10,52,116,2756,1334,7,869,0
2018-03-01,8,12,45,136,2904,1647,13,812,0
2018-03-02,24,11,43,146,2603,1220,12,1289,0
2018-03-03,25,14,95,96,2866,956,18,1205,0
2018-03-04,21,13,65,117,4246,1051,18,1740,4
2018-03-05,12,6,40,117,3134,1165,11,1581,0
2018-03-06,22,17,289,133,3251,1294,12,1043,0
2018-03-07,7,10,36,132,3286,1145,6,903,0
2018-03-08,20,10,52,106,2738,1342,11,846,0
2018-03-09,23,12,46,117,2417,1185,15,799,0
2018-03-10,12,6,28,94,2889,925,8,911,0
2018-03-11,12,8,48,99,3091,984,3,1145,0
2018-03-12,13,12,34,117,3084,1213,23,1007,2
2018-03-13,9,11,48,270,3303,1377,6,841,0
2018-03-14,13,16,37,186,4021,1246,14,798,0
2018-03-15,13,14,44,133,3738,1133,9,742,1
2018-03-16,15,8,45,130,4468,1048,14,817,0
2018-03-17,19,9,43,101,4009,959,7,804,0
2018-03-18,11,4,42,112,3985,1089,7,930,0
2018-03-19,12,9,45,144,3617,1537,9,855,0
2018-03-20,14,12,45,145,4461,1128,8,758,0
2018-03-21,19,17,43,101,4055,1270,13,787,0
2018-03-22,12,10,42,115,4317,1340,12,758,0
2018-03-23,15,11,46,108,5346,1041,12,739,1
2018-03-24,14,13,30,90,4978,885,12,963,0
2018-03-25,13,11,35,112,5432,935,10,893,1
2018-03-26,20,20,36,113,5096,1116,7,979,0
2018-03-27,15,14,54,151,7602,1141,16,755,0
2018-03-28,16,12,179,121,8010,1218,12,841,0
2018-03-29,6,2,26,110,4354,968,7,728,0
2018-03-30,13,12,23,99,3334,898,5,852,0
2018-03-31,13,9,21,94,3942,799,8,895,0
2018-04-01,13,11,31,100,4536,850,11,977,0
2018-04-02,13,16,43,122,2811,1026,13,1162,0
2018-04-03,20,11,40,133,2708,1112,17,886,0
2018-04-04,11,8,32,121,2930,1121,4,721,0
2018-04-05,14,16,47,113,2424,1043,18,618,0
2018-04-06,15,13,55,118,1925,1058,13,717,0
2018-04-07,9,10,55,107,2936,838,7,806,0
2018-04-08,8,7,43,92,2357,879,15,1008,0
2018-04-09,10,13,36,135,2139,1043,8,908,0
2018-04-10,15,13,57,132,2736,1030,7,859,0
2018-04-11,13,17,51,144,2523,1184,13,764,0
2018-04-12,27,20,44,120,2337,1349,13,877,0
