Date,"Thomas C. Hindman","Titchwell Marsh","Crescent honeyeater","Hasan al-Kharrat","Love, Inc. (TV series)","Suillus salmonicolor","Sexuality after spinal cord injury","Allen Walker","Courageous-class aircraft carrier"
2017-01-02,41,7,11,8,136,5,96,162,75
2017-01-03,43,8,17,13,117,10,106,154,53
2017-01-04,40,7,11,9,155,4,67,123,74
2017-01-05,51,12,20,20,162,19,88,144,67
2017-01-06,46,10,17,14,143,10,74,141,55
2017-01-07,49,4,13,10,152,5,96,132,60
2017-01-08,68,17,22,26,144,8,87,156,71
2017-01-09,45,10,7,7,147,4,81,145,39
2017-01-10,28,9,14,12,147,7,120,130,63
2017-01-11,36,7,9,10,127,8,114,120,59
2017-01-12,54,12,14,20,192,11,101,133,62
2017-01-13,46,9,11,4,121,6,79,105,50
2017-01-14,54,17,13,10,108,7,101,135,80
2017-01-15,55,20,14,5,126,6,87,148,62
2017-01-16,58,24,26,27,140,15,107,149,80
2017-01-17,66,23,27,26,125,16,127,166,101
2017-01-18,61,8,14,21,69,4,127,131,66
2017-01-19,63,17,17,17,57,11,139,193,55
2017-01-20,45,20,18,18,56,9,110,223,83
2017-01-21,48,10,14,32,58,11,113,164,67
2017-01-22,43,17,15,13,77,14,123,161,125
2017-01-23,82,37,25,26,55,11,125,138,73
2017-01-24,47,11,16,15,54,7,105,116,63
2017-01-25,46,20,30,20,41,10,107,122,96
2017-01-26,58,16,14,14,63,9,70,148,53
2017-01-27,264,29,11,14,55,9,115,111,61
2017-01-28,40776,212,19,20,46,9,93,145,62
2017-01-29,4167,21340,282,13,61,6,96,163,54
2017-01-30,3173,4268,21339,222,53,7,106,154,83
2017-01-31,1947,2481,4695,30023,321,10,121,139,90
2017-02-01,313,1763,2740,4782,27562,237,129,183,99
2017-02-02,230,230,1849,2586,6419,23308,388,158,119
2017-02-03,190,161,361,1954,4109,4010,64038,366,92
2017-02-04,158,139,238,310,3488,2119,18262,24576,455
2017-02-05,150,125,161,234,485,1493,8637,4288,50130
2017-02-06,113,107,163,160,273,301,7054,3338,14474
2017-02-07,107,78,145,120,218,211,817,1968,7744
2017-02-08,99,69,106,98,158,166,733,380,5209
2017-02-09,105,61,83,113,174,126,715,331,859
2017-02-10,93,41,78,72,114,107,523,235,389
2017-02-11,75,58,92,78,122,89,528,271,428
2017-02-12,71,58,87,69,159,106,522,251,319
2017-02-13,86,44,91,62,125,87,451,209,237
2017-02-14,99,50,61,51,102,68,339,190,197
2017-02-15,83,42,64,50,104,70,389,165,208
2017-02-16,63,67,51,39,85,47,329,167,151
2017-02-17,59,29,56,34,81,49,295,191,178
2017-02-18,75,37,43,39,118,41,330,208,193
2017-02-19,60,35,28,32,119,48,261,147,161
2017-02-20,69,29,38,34,121,35,232,148,119
2017-02-21,79,15,37,31,88,31,190,240,136
2017-02-22,63,33,37,39,86,35,208,197,110
2017-02-23,60,29,35,30,99,42,184,171,164
2017-02-24,105,28,34,37,108,37,158,159,114
2017-02-25,80,22,35,30,100,27,181,151,143
2017-02-26,64,30,38,32,96,47,214,198,112
2017-02-27,70,28,29,29,108,27,195,161,96
2017-02-28,59,30,33,21,97,34,197,173,115
2017-03-01,58,22,24,17,79,32,166,148,96
2017-03-02,53,13,27,32,74,17,156,153,111
2017-03-03,65,13,19,10,60,12,154,133,84
2017-03-04,56,17,42,20,81,22,169,175,75
2017-03-05,63,18,30,19,70,17,189,152,92
2017-03-06,49,18,21,15,59,14,122,170,77
2017-03-07,70,23,24,22,47,24,158,125,94
2017-03-08,60,14,29,28,70,38,124,122,77
2017-03-09,70,22,24,19,73,18,141,110,75
2017-03-10,72,19,29,19,75,23,199,156,64
2017-03-11,61,17,33,24,67,18,194,142,87
2017-03-12,61,22,30,28,53,14,204,160,78
2017-03-13,95,14,22,26,68,11,175,148,70
2017-03-14,58,17,33,22,60,19,196,125,81
2017-03-15,74,19,24,39,53,15,148,117,76
2017-03-16,71,14,10,21,56,8,138,125,62
2017-03-17,54,22,18,16,55,17,125,121,68
2017-03-18,51,20,19,17,57,21,160,117,74
2017-03-19,56,25,24,24,79,14,144,123,63
2017-03-20,54,20,17,11,66,10,129,116,88
2017-03-21,47,26,15,25,57,19,141,131,72
2017-03-22,48,18,21,20,49,22,152,110,86
2017-03-23,68,28,24,23,58,26,187,117,77
2017-03-24,50,25,20,27,63,15,169,102,76
2017-03-25,49,35,27,19,60,24,160,110,69
2017-03-26,37,14,19,15,65,11,175,143,69
2017-03-27,53,20,27,25,61,14,175,158,69
2017-03-28,71,14,12,12,44,8,157,140,52
2017-03-29,51,23,26,15,50,15,155,139,67
2017-03-30,57,28,22,29,58,15,113,125,66
2017-03-31,55,16,16,9,47,14,132,100,58
2017-04-01,50,20,13,15,36,15,137,152,64
2017-04-02,42,17,22,20,63,17,136,152,71
2017-04-03,40,19,16,10,72,7,135,182,52
2017-04-04,52,11,15,6,49,13,121,135,49
2017-04-05,48,15,14,9,50,9,128,125,45
2017-04-06,40,19,24,60,53,12,136,119,43
2017-04-07,56,24,24,13,47,15,130,135,42
2017-04-08,44,23,18,17,64,18,84,137,52
2017-04-09,43,17,22,10,74,22,112,138,83
2017-04-10,66,31,18,23,91,37,106,107,65
2017-04-11,48,37,9,10,53,9,132,103,60
2017-04-12,71,30,21,25,60,13,162,124,74
2017-04-13,56,21,20,14,58,12,132,125,81
2017-04-14,41,18,14,20,57,12,130,132,59
2017-04-15,41,23,25,10,52,10,142,125,78
2017-04-16,50,27,20,16,46,13,137,142,70
2017-04-17,51,22,25,15,59,19,138,141,81
2017-04-18,50,22,29,21,73,17,120,129,64
2017-04-19,36,18,19,23,46,7,127,130,66
2017-04-20,51,22,16,15,59,20,104,143,60
2017-04-21,43,13,11,12,57,10,101,114,83
2017-04-22,45,25,19,25,56,18,108,127,76
2017-04-23,38,19,15,16,65,9,111,138,59
2017-04-24,48,17,13,17,64,15,100,113,68
2017-04-25,49,25,24,18,57,13,133,116,73
2017-04-26,47,13,15,3,65,6,123,113,93
2017-04-27,46,19,24,14,35,18,154,124,77
2017-04-28,50,9,16,11,33,10,125,124,65
2017-04-29,33,12,12,8,52,7,110,132,74
2017-04-30,36,8,17,17,72,8,140,125,48
2017-05-01,60,14,16,9,38,13,157,111,90
2017-05-02,57,20,29,16,56,16,166,121,72
2017-05-03,48,18,21,16,49,19,139,128,81
2017-05-04,40,15,14,18,45,14,140,119,113
2017-05-05,47,14,18,7,48,15,157,115,73
2017-05-06,55,24,27,17,46,15,144,103,56
2017-05-07,43,8,5,8,55,8,127,106,63
2017-05-08,55,21,17,21,66,17,151,120,102
2017-05-09,36,13,12,6,43,3,122,112,60
2017-05-10,41,14,10,10,46,3,146,137,65
2017-05-11,70,9,12,9,58,9,147,121,55
2017-05-12,42,16,17,11,42,16,111,96,54
2017-05-13,42,12,14,12,57,11,102,110,59
2017-05-14,39,31,10,11,45,9,130,117,59
2017-05-15,64,18,37,12,62,21,145,108,53
2017-05-16,57,16,18,15,62,18,127,104,63
2017-05-17,58,18,14,18,45,9,137,130,54
2017-05-18,65,19,16,71,55,14,142,117,46
2017-05-19,58,16,29,11,53,14,130,169,60
2017-05-20,51,18,13,20,59,13,122,128,67
2017-05-21,48,17,26,22,78,18,122,143,67
2017-05-22,61,13,13,15,52,11,120,113,93
2017-05-23,69,20,19,13,62,10,107,122,68
2017-05-24,43,18,10,17,39,5,120,113,48
2017-05-25,42,11,14,15,34,10,140,117,49
2017-05-26,40,18,12,11,65,14,112,94,77
2017-05-27,32,8,14,14,51,8,95,109,50
2017-05-28,39,13,7,8,42,5,93,130,59
2017-05-29,48,15,10,13,53,6,111,126,57
2017-05-30,57,26,15,17,42,18,98,119,56
2017-05-31,52,15,13,11,47,12,92,91,53
2017-06-01,50,20,16,17,50,12,88,96,56
2017-06-02,29,15,14,15,43,12,95,100,57
2017-06-03,37,14,9,12,39,10,93,82,47
2017-06-04,29,14,9,13,47,5,110,91,65
2017-06-05,59,17,13,12,39,4,85,97,55
2017-06-06,41,19,14,13,42,9,131,104,66
2017-06-07,47,23,20,15,45,18,125,110,74
2017-06-08,39,15,17,18,61,10,139,94,60
2017-06-09,49,16,21,13,44,9,142,112,64
2017-06-10,23,9,16,7,34,9,135,111,41
2017-06-11,47,15,16,15,59,10,134,98,56
2017-06-12,42,9,13,14,41,9,158,86,58
2017-06-13,50,27,22,14,57,22,140,116,53
2017-06-14,55,15,21,12,46,12,156,105,46
2017-06-15,65,15,15,14,48,15,158,112,48
2017-06-16,32,11,13,8,32,6,132,92,35
2017-06-17,50,21,30,28,50,13,105,109,65
2017-06-18,41,17,28,18,30,9,96,107,40
2017-06-19,56,6,16,17,40,3,88,103,47
2017-06-20,33,13,16,8,53,10,93,148,57
2017-06-21,34,9,11,8,39,5,95,119,41
2017-06-22,43,19,19,14,56,13,136,114,68
2017-06-23,57,11,12,18,28,10,127,118,54
2017-06-24,37,8,10,8,31,4,120,110,49
2017-06-25,52,16,12,10,46,10,110,108,56
2017-06-26,35,12,5,14,48,6,96,102,69
2017-06-27,46,12,11,8,41,6,107,99,63
2017-06-28,40,14,19,12,55,9,108,104,74
2017-06-29,40,9,12,11,29,9,86,82,67
2017-06-30,41,16,15,11,46,9,91,91,44
2017-07-01,43,9,12,12,35,8,106,95,51
2017-07-02,36,10,10,11,36,10,94,98,63
2017-07-03,46,7,11,6,59,10,90,109,63
2017-07-04,45,8,9,9,42,5,103,105,47
2017-07-05,37,13,15,8,30,4,82,93,50
2017-07-06,39,15,13,11,58,8,110,106,58
2017-07-07,48,11,24,10,43,11,109,87,50
2017-07-08,35,5,8,8,46,9,102,118,55
2017-07-09,40,10,9,5,47,8,103,140,55
2017-07-10,41,10,8,10,54,11,118,121,65
2017-07-11,41,9,19,7,37,10,111,105,68
2017-07-12,50,14,20,10,42,8,92,104,54
2017-07-13,43,15,7,5,50,4,124,117,54
2017-07-14,38,4,19,8,42,2,107,159,55
2017-07-15,39,16,22,12,59,15,109,176,74
2017-07-16,50,16,15,10,35,6,95,156,50
2017-07-17,39,10,6,10,47,6,121,161,62
2017-07-18,44,13,8,9,40,9,85,157,36
2017-07-19,44,12,12,15,49,13,121,114,50
2017-07-20,46,10,7,13,37,6,93,101,51
2017-07-21,40,8,13,9,49,10,74,100,62
2017-07-22,37,13,12,5,38,5,93,106,44
2017-07-23,50,14,7,8,52,7,106,100,61
2017-07-24,51,12,14,10,46,3,88,106,155
2017-07-25,37,13,13,9,36,9,92,106,102
2017-07-26,37,20,16,16,48,9,107,117,95
2017-07-27,34,11,10,14,38,11,143,107,56
2017-07-28,40,13,10,7,52,8,87,89,63
2017-07-29,28,10,4,16,31,5,79,96,61
2017-07-30,24,12,9,8,47,7,97,96,62
2017-07-31,48,11,8,9,60,7,96,88,42
2017-08-01,58,25,25,14,70,15,103,95,60
2017-08-02,42,17,10,14,61,9,93,97,52
2017-08-03,57,10,12,21,62,10,109,108,58
2017-08-04,59,23,17,12,52,16,108,75,52
2017-08-05,44,23,18,14,52,17,113,96,67
2017-08-06,44,18,10,10,44,10,104,121,69
2017-08-07,35,15,8,11,45,8,107,100,74
2017-08-08,44,10,17,11,41,10,114,124,47
2017-08-09,52,18,12,9,37,25,104,136,46
2017-08-10,36,17,18,12,53,22,84,124,62
2017-08-11,40,24,20,15,59,21,90,105,65
2017-08-12,27,14,14,15,37,13,104,103,45
2017-08-13,46,16,17,11,48,10,104,114,56
2017-08-14,49,21,19,10,42,15,83,165,58
2017-08-15,94,31,32,27,81,34,124,190,98
2017-08-16,72,17,14,16,51,11,99,130,64
2017-08-17,63,9,12,6,44,10,111,138,48
2017-08-18,56,20,15,13,53,23,114,118,76
2017-08-19,38,13,15,8,40,9,104,157,58
2017-08-20,42,10,15,11,47,10,105,132,61
2017-08-21,55,8,7,11,46,7,195,114,53
2017-08-22,51,9,9,10,38,5,75,91,59
2017-08-23,53,10,13,15,38,7,108,108,59
2017-08-24,58,19,18,21,54,16,99,152,55
2017-08-25,47,13,10,9,41,6,106,107,43
2017-08-26,28,8,4,4,50,6,92,122,54
2017-08-27,61,18,9,9,49,10,103,113,50
2017-08-28,52,17,9,7,35,8,120,114,60
2017-08-29,38,3,6,1,42,0,106,94,51
2017-08-30,42,7,6,7,64,9,115,114,48
2017-08-31,60,12,10,14,41,7,98,110,68
2017-09-01,36,17,11,11,44,7,104,114,63
2017-09-02,43,13,14,10,53,17,111,104,52
2017-09-03,38,12,10,5,60,12,104,102,51
2017-09-04,33,15,9,9,107,9,119,99,66
2017-09-05,52,11,11,9,68,8,143,83,41
2017-09-06,44,13,8,9,67,10,109,83,42
2017-09-07,53,10,11,7,43,8,125,99,30
2017-09-08,37,4,9,5,54,7,133,81,45
2017-09-09,40,12,9,6,44,13,105,79,56
2017-09-10,35,14,8,6,39,13,129,106,35
2017-09-11,37,19,9,6,85,10,128,83,40
2017-09-12,41,8,10,6,47,4,98,98,54
2017-09-13,39,8,10,6,62,8,164,304,40
2017-09-14,36,21,21,11,55,21,103,81,48
2017-09-15,45,15,14,12,115,11,103,97,49
2017-09-16,29,10,7,8,52,11,98,99,47
2017-09-17,33,8,7,6,65,7,93,95,63
2017-09-18,44,12,21,9,73,12,99,113,68
2017-09-19,52,23,13,13,66,23,126,117,53
2017-09-20,48,11,8,12,47,5,87,90,54
2017-09-21,28,15,10,6,56,13,108,101,50
2017-09-22,42,14,18,10,51,17,101,92,88
2017-09-23,21,18,11,12,46,12,106,111,66
2017-09-24,29,17,12,8,62,13,124,122,30
2017-09-25,31,20,15,9,83,11,128,97,39
2017-09-26,34,16,14,11,87,9,104,94,39
2017-09-27,53,9,12,9,48,8,95,89,46
2017-09-28,32,9,12,5,52,5,734,95,40
2017-09-29,45,19,14,6,48,10,97,98,57
2017-09-30,42,11,12,6,51,7,140,73,39
2017-10-01,35,10,9,6,72,10,131,85,51
2017-10-02,40,13,16,14,43,14,106,92,48
2017-10-03,42,16,11,9,52,7,113,91,43
2017-10-04,48,20,17,8,49,11,115,92,44
2017-10-05,49,15,15,14,43,10,131,84,48
2017-10-06,33,17,10,14,38,12,97,69,57
2017-10-07,44,20,13,9,53,16,107,94,58
2017-10-08,36,17,11,10,38,8,127,84,44
2017-10-09,56,14,16,12,110,15,137,102,51
2017-10-10,34,6,5,10,80,9,100,76,28
2017-10-11,33,13,12,12,55,10,122,98,56
2017-10-12,40,19,13,10,49,16,113,112,49
2017-10-13,49,42,21,14,41,20,104,115,52
2017-10-14,32,12,10,11,54,17,127,85,40
2017-10-15,47,17,18,13,49,24,152,111,54
2017-10-16,40,9,7,9,44,7,145,94,58
2017-10-17,70,15,17,12,50,20,118,156,62
2017-10-18,60,16,14,13,43,12,117,140,38
2017-10-19,49,17,20,8,45,18,96,116,61
2017-10-20,42,10,14,12,42,15,100,98,68
2017-10-21,39,17,19,11,42,16,114,92,63
2017-10-22,34,17,8,10,51,12,130,99,67
2017-10-23,47,21,13,9,58,6,148,98,52
2017-10-24,48,29,12,11,49,14,113,102,52
2017-10-25,58,15,13,8,48,12,111,109,50
2017-10-26,49,34,18,8,32,13,85,87,47
2017-10-27,44,14,9,9,30,8,107,103,66
2017-10-28,32,20,12,10,43,15,115,109,61
2017-10-29,34,34,11,9,53,21,115,113,55
2017-10-30,36,18,16,48,59,18,123,153,37
2017-10-31,63,22,12,10,33,12,114,111,41
2017-11-01,43,14,13,10,43,13,98,116,47
2017-11-02,31,24,11,8,39,7,107,123,43
2017-11-03,45,14,10,8,40,8,96,115,45
2017-11-04,49,22,6,9,38,19,118,147,36
2017-11-05,49,17,17,10,40,11,114,150,51
2017-11-06,41,12,11,12,63,9,116,113,48
2017-11-07,66,16,16,12,34,12,120,97,74
2017-11-08,51,15,10,204,43,7,116,203,56
2017-11-09,50,10,12,14,49,6,161,106,81
2017-11-10,44,13,10,6,40,3,128,126,36
2017-11-11,35,13,11,10,42,15,124,121,64
2017-11-12,40,7,20,9,46,7,124,133,46
2017-11-13,46,15,17,11,44,18,129,124,64
2017-11-14,43,12,12,11,42,10,104,111,133
2017-11-15,34,9,12,10,51,9,117,96,57
2017-11-16,45,23,12,12,38,12,131,106,47
2017-11-17,56,18,14,9,47,13,97,137,39
2017-11-18,40,12,12,11,44,8,113,121,33
2017-11-19,42,13,12,7,45,10,133,118,46
2017-11-20,38,14,9,13,43,8,113,123,49
2017-11-21,35,9,12,86,93,15,96,290,49
2017-11-22,43,11,13,14,61,8,99,135,55
2017-11-23,37,11,15,18,57,10,93,108,53
2017-11-24,32,8,13,19,73,10,92,123,39
2017-11-25,53,16,15,17,61,14,106,116,59
2017-11-26,37,12,9,10,69,6,121,115,44
2017-11-27,62,11,13,15,667,11,138,105,60
2017-11-28,68,14,28,13,517,17,102,122,60
2017-11-29,35,59,11,11,259,7,110,101,28
2017-11-30,48,19,8,23,165,9,105,113,40
2017-12-01,61,16,17,213,126,11,121,215,59
2017-12-02,32,10,10,9,127,7,112,115,35
2017-12-03,46,13,5,7,121,9,119,110,47
2017-12-04,45,6,10,5,70,13,116,137,34
2017-12-05,52,13,8,9,70,5,145,121,38
2017-12-06,37,16,10,10,65,9,129,107,49
2017-12-07,61,6,6,13,43,7,120,98,43
2017-12-08,44,17,8,8,45,9,111,93,59
2017-12-09,47,15,15,17,90,13,140,112,61
2017-12-10,43,17,21,19,59,16,102,96,42
2017-12-11,42,16,17,21,55,16,132,97,47
2017-12-12,49,12,11,14,66,13,133,123,48
2017-12-13,59,14,14,16,52,14,105,127,53
2017-12-14,55,21,21,14,67,14,131,105,42
2017-12-15,42,11,19,18,58,8,125,105,44
2017-12-16,47,13,14,15,50,15,97,102,52
2017-12-17,45,14,20,41,68,13,111,249,57
2017-12-18,40,27,16,12,48,21,133,105,51
2017-12-19,47,16,16,14,61,11,106,101,67
2017-12-20,38,15,19,15,48,10,125,92,63
2017-12-21,34,10,5,14,65,7,99,83,49
2017-12-22,46,9,7,8,56,1,107,105,60
2017-12-23,31,18,11,8,60,18,94,93,50
2017-12-24,37,7,12,7,49,10,88,100,49
2017-12-25,32,14,11,9,63,5,97,141,43
2017-12-26,29,8,10,7,87,9,109,109,58
2017-12-27,33,18,15,43,56,9,110,119,62
2017-12-28,28,8,6,10,70,6,107,107,59
2017-12-29,43,11,18,9,72,8,142,131,63
2017-12-30,37,6,9,6,40,2,117,118,44
2017-12-31,42,12,11,8,48,217,104,87,59
2018-01-01,48,10,16,12,45,8,96,94,51
2018-01-02,41,18,14,15,48,6,159,93,57
2018-01-03,46,12,16,11,60,6,125,98,52
2018-01-04,36,12,19,6,64,9,157,115,60
2018-01-05,31,10,11,16,49,5,117,109,47
2018-01-06,37,17,19,12,65,11,120,110,84
2018-01-07,43,17,19,12,66,7,144,131,69
2018-01-08,49,14,12,12,64,6,144,125,59
2018-01-09,39,7,11,8,55,8,115,119,43
2018-01-10,39,3,8,6,53,4,126,107,73
2018-01-11,45,17,15,11,44,2,128,116,60
2018-01-12,34,7,10,16,52,5,115,113,50
2018-01-13,38,8,18,10,65,6,107,126,59
2018-01-14,49,17,13,17,67,15,132,117,71
2018-01-15,42,11,10,9,70,6,111,86,67
2018-01-16,45,8,14,7,54,4,134,124,48
2018-01-17,43,14,19,13,53,13,175,108,45
2018-01-18,46,12,5,15,53,3,132,104,52
2018-01-19,37,14,13,11,50,11,128,102,72
2018-01-20,32,6,7,19,57,6,119,102,59
2018-01-21,38,13,12,8,59,10,155,112,49
2018-01-22,38,9,11,16,47,8,130,108,61
2018-01-23,45,9,15,9,66,6,120,146,63
2018-01-24,133,11,8,15,35,6,121,196,56
2018-01-25,34,5,10,117,45,6,133,191,64
2018-01-26,37,11,10,9,51,6,134,130,68
2018-01-27,67,8,11,3,48,4,116,125,38
2018-01-28,109,10,7,6,59,7,125,123,52
2018-01-29,124,10,9,9,45,5,141,119,74
2018-01-30,61,15,13,5,53,6,130,84,54
2018-01-31,39,7,7,6,49,4,95,140,62
2018-02-01,51,7,11,10,50,6,129,124,40
2018-02-02,57,13,16,14,56,8,113,114,59
2018-02-03,51,11,13,11,40,6,97,112,60
2018-02-04,46,11,13,13,64,5,98,119,50
2018-02-05,49,8,18,8,43,7,99,120,57
2018-02-06,66,11,10,9,56,7,120,98,53
2018-02-07,52,13,11,9,60,7,118,153,43
2018-02-08,42,16,13,13,58,11,129,117,48
2018-02-09,50,10,19,14,40,9,101,86,58
2018-02-10,52,19,10,16,49,7,98,115,46
2018-02-11,44,16,11,9,55,8,109,95,59
2018-02-12,57,14,4,5,56,6,105,86,58
2018-02-13,52,9,9,10,37,1,120,101,54
2018-02-14,48,13,13,5,40,8,113,106,49
2018-02-15,45,15,15,10,37,10,122,89,54
2018-02-16,35,5,9,7,34,4,91,101,56
2018-02-17,49,16,26,10,34,9,93,108,49
2018-02-18,48,20,8,202,52,3,110,206,56
2018-02-19,51,6,6,5,50,4,136,118,61
2018-02-20,33,12,18,13,39,10,146,100,60
2018-02-21,61,13,17,19,41,10,111,74,52
2018-02-22,76,21,23,17,39,19,116,100,67
2018-02-23,53,12,18,14,48,10,92,106,44
2018-02-24,47,12,23,10,42,12,101,98,57
2018-02-25,60,31,33,18,57,26,137,131,69
2018-02-26,55,14,9,17,60,6,113,127,60
2018-02-27,42,9,9,11,50,7,121,79,78
2018-02-28,48,5,11,10,31,7,85,95,45
2018-03-01,59,17,12,9,47,8,117,107,53
2018-03-02,59,13,9,12,52,9,116,98,57
2018-03-03,43,16,11,13,45,10,121,118,77
2018-03-04,54,12,12,12,50,7,135,160,63
2018-03-05,102,7,7,15,60,5,119,109,75
2018-03-06,53,8,9,16,47,6,108,96,112
2018-03-07,55,12,11,12,65,4,141,97,78
2018-03-08,69,13,14,19,50,11,121,89,90
2018-03-09,69,13,13,19,32,8,131,93,71
2018-03-10,50,19,8,12,44,6,130,129,71
2018-03-11,40,12,6,14,54,3,156,142,59
2018-03-12,59,24,11,11,64,11,93,104,72
2018-03-13,61,25,13,5,55,5,104,110,72
2018-03-14,46,13,17,8,39,8,116,139,68
2018-03-15,48,11,11,10,31,6,142,100,46
2018-03-16,50,7,9,12,44,7,126,120,64
2018-03-17,36,8,12,17,57,7,93,117,54
2018-03-18,40,9,2,12,49,3,126,119,48
2018-03-19,52,8,8,10,44,8,110,118,64
2018-03-20,44,12,10,12,42,5,132,130,77
2018-03-21,64,15,13,19,40,11,157,102,59
2018-03-22,54,6,9,35,33,8,133,267,59
2018-03-23,32,8,15,13,44,7,106,124,55
2018-03-24,39,8,12,9,49,7,133,127,46
2018-03-25,41,8,5,5,52,7,141,121,65
2018-03-26,43,10,17,9,64,7,164,149,60
2018-03-27,49,11,7,8,43,8,132,116,44
2018-03-28,42,11,15,10,79,10,126,127,56
2018-03-29,59,8,5,6,56,3,111,106,52
2018-03-30,43,10,19,6,48,6,105,112,54
2018-03-31,37,17,13,8,63,3,108,115,56
2018-04-01,31,14,10,13,52,5,115,136,56
2018-04-02,82,18,8,17,48,6,139,145,69
2018-04-03,50,15,17,18,69,10,117,131,56
2018-04-04,110,12,12,16,64,6,109,131,55
2018-04-05,53,11,12,16,73,6,99,139,70
2018-04-06,52,18,10,12,54,12,133,141,52
2018-04-07,42,11,8,18,42,6,102,156,39
2018-04-08,33,11,10,6,45,4,119,172,47
2018-04-09,31,11,8,8,61,4,115,139,57
2018-04-10,62,11,13,11,78,6,114,123,59
2018-04-11,57,12,16,18,93,7,117,183,70
2018-04-12,58,22,23,20,75,15,113,147,59
2018-04-13,42,13,7,16,59,6,129,155,40
2018-04-14,44,18,22,25,62,28,109,142,59
2018-04-15,40,21,17,8,73,11,172,140,46
2018-04-16,40,6,21,17,69,8,126,137,41
2018-04-17,58,22,18,19,48,18,140,137,62
2018-04-18,35,9,9,11,57,8,92,131,35
2018-04-19,38,9,12,9,47,8,106,111,55
2018-04-20,44,4,15,6,78,7,123,135,37
2018-04-21,39,10,4,13,78,1,116,162,29
2018-04-22,44,14,10,7,53,5,103,155,37
2018-04-23,40,10,12,7,54,6,94,132,44
2018-04-24,52,8,9,6,54,4,144,117,53
2018-04-25,50,14,9,16,125,9,129,121,57
2018-04-26,35,11,16,7,57,9,105,123,50
2018-04-27,30,7,7,13,54,4,114,110,50
2018-04-28,41,8,13,8,58,8,81,123,53
2018-04-29,29,11,11,9,62,5,107,119,58
2018-04-30,45,13,5,11,63,3,115,120,60
2018-05-01,35,12,18,8,69,7,116,131,41
2018-05-02,30,8,5,12,77,2,105,193,42
2018-05-03,47,14,13,14,70,8,117,175,52
2018-05-04,46,8,7,10,75,2,110,148,58
2018-05-05,44,9,15,5,77,4,115,141,51
2018-05-06,41,9,10,14,66,4,114,119,41
2018-05-07,35,16,12,16,87,9,115,120,49
2018-05-08,46,5,13,11,77,4,93,86,41
2018-05-09,31,5,6,22,89,7,90,126,31
2018-05-10,45,12,14,21,80,8,138,117,41
2018-05-11,25,10,13,5,83,6,107,92,54
2018-05-12,31,2,1,6,103,3,92,99,59
2018-05-13,53,13,8,12,90,13,123,102,73
2018-05-14,49,9,14,8,93,3,121,123,52
2018-05-15,59,7,13,7,144,7,108,101,38
2018-05-16,43,10,11,12,137,8,99,94,48
2018-05-17,39,6,8,7,189,8,116,97,45
2018-05-18,36,7,12,19,243,6,81,102,48
2018-05-19,51,14,17,9,1127,10,102,107,50
2018-05-20,29,7,9,8,725,6,86,118,62
2018-05-21,38,10,17,8,660,8,108,113,64
2018-05-22,42,7,9,8,306,7,105,138,54
2018-05-23,46,22,20,21,193,13,106,131,62
2018-05-24,44,8,18,12,125,8,111,117,46
2018-05-25,53,6,5,10,99,1,93,116,40
2018-05-26,35,13,15,10,109,6,80,97,47
2018-05-27,45,7,14,15,79,5,134,105,47
2018-05-28,48,19,9,14,82,3,115,104,32
2018-05-29,40,5,9,2,75,6,114,91,43
2018-05-30,47,18,12,14,88,11,118,106,61
2018-05-31,52,9,10,13,48,7,106,115,50
2018-06-01,44,12,12,7,48,7,109,102,37
2018-06-02,56,9,13,8,63,5,118,88,42
2018-06-03,54,14,13,12,59,8,99,101,41
2018-06-04,49,9,11,10,70,6,107,124,48
2018-06-05,60,8,10,7,48,4,109,98,58
2018-06-06,46,15,9,10,52,6,101,96,64
2018-06-07,38,10,17,6,54,8,98,116,38
2018-06-08,45,12,15,9,45,8,116,103,52
2018-06-09,40,9,11,10,68,5,125,98,46
2018-06-10,32,6,16,6,45,4,110,125,56
2018-06-11,43,8,21,10,75,13,113,141,29
2018-06-12,52,14,17,9,221,8,110,128,43
2018-06-13,49,12,5,8,56,11,113,134,49
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,39,12,10,9,63,8,95,125,38
2018-06-16,35,10,12,8,37,3,95,106,34
2018-06-17,59,19,12,11,42,5,81,116,37
