Date,"Ram Narayan","Tidus","June 1941 uprising in eastern Herzegovina","4 (Beyoncé album)","Ukiyo-e","Japanese aircraft carrier Jun'yō","The Well of Loneliness","White-naped xenopsaris","Tropical Storm Bill (2003)"
2016-12-23,59,277,20,624,681,83,128,1,14
2016-12-24,62,311,9,1133,474,43,128,6,12
2016-12-25,78,261,17,735,594,56,99,0,11
2016-12-26,44,472,394,711,1206,73,107,1,248
2016-12-27,492,308,14,807,662,90,660,3,9
2016-12-28,69,300,14,745,728,80,161,1,12
2016-12-29,51,351,19,729,718,66,130,4,11
2016-12-30,52,296,6,705,661,77,135,0,5
2016-12-31,33,268,16,642,566,75,142,2,6
2017-01-01,40,253,16,638,693,47,117,0,5
2017-01-02,48,339,9,720,747,61,139,0,6
2017-01-03,59,278,13,727,844,70,159,1,9
2017-01-04,69,254,12,928,846,67,158,2,5
2017-01-05,65,316,22,812,947,74,160,2,12
2017-01-06,58,268,16,704,773,70,157,0,11
2017-01-07,44,290,12,761,753,91,112,0,9
2017-01-08,68,254,18,836,893,58,164,2,11
2017-01-09,57,252,7,682,965,72,166,3,6
2017-01-10,58,272,29,736,1025,81,188,0,7
2017-01-11,71,285,15,680,1031,83,160,0,4
2017-01-12,54,291,16,665,991,70,413,0,9
2017-01-13,45,360,19,660,884,74,153,3,7
2017-01-14,37,230,8,710,1079,66,131,5,10
2017-01-15,63,273,13,726,887,69,143,2,8
2017-01-16,62,257,26,765,917,78,180,1,18
2017-01-17,56,260,10,666,950,65,167,2,7
2017-01-18,50,242,8,605,990,66,167,0,4
2017-01-19,57,254,17,674,1589,60,156,0,15
2017-01-20,54,241,12,655,865,68,145,0,7
2017-01-21,42,235,13,652,713,71,154,1,14
2017-01-22,52,227,14,748,919,65,155,0,15
2017-01-23,62,268,18,664,1055,63,161,0,15
2017-01-24,45,246,17,674,905,90,152,0,17
2017-01-25,47,226,18,653,954,55,211,3,6
2017-01-26,52,218,27,626,1001,53,253,2,12
2017-01-27,41,239,19,685,909,115,155,0,14
2017-01-28,48,198,17,685,728,79,148,1,15
2017-01-29,46,223,11,673,807,98,168,4,6
2017-01-30,59,206,11,603,925,74,181,2,9
2017-01-31,50,229,8,575,979,76,236,0,12
2017-02-01,45,218,19,1081,1028,93,185,0,17
2017-02-02,42,225,11,1303,911,90,187,0,6
2017-02-03,53,188,22,969,916,67,199,1,8
2017-02-04,57,181,19,1001,786,78,153,3,11
2017-02-05,55,207,13,900,4479,95,167,0,10
2017-02-06,48,173,16,833,1126,76,198,2,13
2017-02-07,52,150,17,851,1088,91,229,1,9
2017-02-08,51,129,23,1107,1077,86,256,0,15
2017-02-09,55,134,23,809,1065,82,201,3,13
2017-02-10,55,144,14,762,906,76,176,24,10
2017-02-11,58,118,20,924,1666,59,125,82,15
2017-02-12,140,132,10,993,933,74,244,72,6
2017-02-13,104,174,14,3975,1140,69,193,3,9
2017-02-14,66,140,13,2403,980,88,477,19,13
2017-02-15,81,169,25,1838,1093,73,248,4,17
2017-02-16,61,142,17,1518,1014,65,184,4,13
2017-02-17,42,144,9,1251,1006,66,181,2,7
2017-02-18,50,143,11,1254,895,70,147,50,7
2017-02-19,48,187,17,1288,878,74,133,54,6
2017-02-20,50,156,10,1183,1071,77,186,9,8
2017-02-21,64,174,11,1016,1135,88,178,1,9
2017-02-22,42,151,9,942,1136,122,181,1,7
2017-02-23,53,143,17,946,1154,179,220,2,12
2017-02-24,44,127,16,885,1039,168,153,0,14
2017-02-25,57,133,16,894,872,123,161,82,10
2017-02-26,65,168,22,983,1001,160,164,26,17
2017-02-27,55,114,15,797,1203,142,248,15,8
2017-02-28,74,144,14,768,1228,176,217,5,9
2017-03-01,51,126,13,822,1041,200,162,1,12
2017-03-02,41,116,14,825,1039,184,198,7,13
2017-03-03,49,116,15,791,907,171,157,3,11
2017-03-04,53,113,14,808,800,136,152,65,9
2017-03-05,53,120,10,874,999,147,148,26,9
2017-03-06,55,118,10,798,1158,190,196,16,12
2017-03-07,70,111,23,775,1098,170,195,77,15
2017-03-08,65,121,19,761,1014,157,281,52,13
2017-03-09,53,103,14,787,1109,167,268,42,13
2017-03-10,77,136,27,747,916,165,199,31,19
2017-03-11,43,119,30,775,834,77,163,15,8
2017-03-12,46,109,11,761,989,68,163,18,6
2017-03-13,75,134,18,771,1105,74,181,5,5
2017-03-14,91,136,14,722,1089,86,176,5,12
2017-03-15,65,132,14,730,978,65,174,40,11
2017-03-16,64,124,4,780,926,63,134,7,11
2017-03-17,83,113,14,677,886,85,168,14,6
2017-03-18,61,117,21,756,789,68,147,6,12
2017-03-19,65,124,12,782,899,93,173,6,22
2017-03-20,55,93,5,809,1197,78,172,5,9
2017-03-21,69,126,11,713,1113,99,211,5,11
2017-03-22,53,115,16,670,1103,82,170,4,14
2017-03-23,71,131,25,709,989,72,216,2,19
2017-03-24,52,123,15,722,855,62,156,3,9
2017-03-25,46,127,25,706,642,77,155,5,17
2017-03-26,49,109,9,725,906,54,153,5,11
2017-03-27,49,107,11,662,1101,67,191,44,9
2017-03-28,49,122,13,667,1033,77,173,75,10
2017-03-29,54,132,17,627,1028,77,155,80,8
2017-03-30,64,134,11,605,1289,80,182,95,18
2017-03-31,50,121,13,600,1022,74,165,79,6
2017-04-01,41,158,10,656,770,80,137,85,12
2017-04-02,42,147,14,666,1019,65,155,101,12
2017-04-03,39,95,13,591,1304,268,159,72,6
2017-04-04,41,118,24,764,1098,84,170,77,8
2017-04-05,50,107,16,712,1059,70,192,92,10
2017-04-06,38,79,23,720,1017,102,192,108,12
2017-04-07,58,106,13,686,885,92,144,109,8
2017-04-08,55,97,8,756,777,77,140,90,10
2017-04-09,60,110,17,693,904,71,139,84,6
2017-04-10,63,132,25,644,1127,87,180,23,14
2017-04-11,34,108,6,690,979,82,175,6,11
2017-04-12,37,108,16,669,958,67,170,10,15
2017-04-13,51,101,12,709,1018,62,164,11,15
2017-04-14,58,111,13,750,911,79,155,5,12
2017-04-15,65,131,21,755,844,67,152,6,10
2017-04-16,53,132,10,752,874,56,149,11,10
2017-04-17,39,125,12,706,1130,78,207,4,18
2017-04-18,66,123,20,733,1212,76,178,18,16
2017-04-19,60,100,11,752,1026,65,192,4,15
2017-04-20,65,100,15,766,984,56,157,9,16
2017-04-21,49,114,7,807,897,65,142,6,22
2017-04-22,67,144,23,759,771,92,136,13,15
2017-04-23,47,103,18,756,944,82,143,6,11
2017-04-24,76,109,8,747,1100,90,173,7,7
2017-04-25,50,107,21,797,1059,78,182,12,13
2017-04-26,51,90,16,718,1062,71,196,5,3
2017-04-27,55,139,19,806,1092,64,186,14,15
2017-04-28,49,117,26,742,819,64,121,10,8
2017-04-29,52,90,18,687,809,60,163,4,11
2017-04-30,40,108,14,714,869,69,156,6,6
2017-05-01,42,122,20,781,1185,99,193,10,14
2017-05-02,37,111,16,722,1199,84,176,12,16
2017-05-03,41,112,15,1173,1127,82,217,13,18
2017-05-04,31,99,16,823,1051,156,179,7,10
2017-05-05,55,114,14,690,858,90,149,10,18
2017-05-06,54,127,20,664,843,84,163,13,13
2017-05-07,48,148,19,732,922,76,161,5,7
2017-05-08,52,145,27,642,1093,66,177,10,15
2017-05-09,34,92,20,685,1022,67,195,3,14
2017-05-10,45,106,11,686,1055,73,155,5,10
2017-05-11,46,119,11,638,1030,85,176,6,9
2017-05-12,53,116,8,614,912,85,168,11,9
2017-05-13,47,104,42,642,768,63,138,6,8
2017-05-14,44,119,9,625,912,60,142,7,9
2017-05-15,44,106,17,610,1143,84,207,8,9
2017-05-16,67,124,18,585,1050,61,177,10,12
2017-05-17,58,110,17,644,1010,54,186,8,12
2017-05-18,56,114,35,615,891,68,136,9,15
2017-05-19,78,98,19,698,866,69,156,17,27
2017-05-20,52,140,20,658,794,84,184,14,21
2017-05-21,57,139,20,669,811,79,193,13,21
2017-05-22,54,103,20,704,1000,67,175,7,11
2017-05-23,53,110,22,680,914,72,181,11,18
2017-05-24,51,86,23,604,901,64,148,4,14
2017-05-25,50,121,12,666,849,75,152,19,12
2017-05-26,57,125,18,669,749,69,179,19,29
2017-05-27,52,105,11,694,719,43,126,13,14
2017-05-28,52,112,16,705,985,73,151,25,16
2017-05-29,34,112,21,759,1113,97,175,7,17
2017-05-30,65,126,25,703,959,104,177,15,19
2017-05-31,58,109,37,774,922,130,246,18,33
2017-06-01,55,111,28,682,885,91,176,12,21
2017-06-02,52,91,30,755,793,112,167,9,9
2017-06-03,59,95,21,742,689,296,140,11,23
2017-06-04,43,106,16,662,803,139,202,5,10
2017-06-05,56,95,20,678,811,134,164,7,18
2017-06-06,40,85,18,666,819,128,158,16,20
2017-06-07,59,173,29,720,815,128,187,18,19
2017-06-08,52,111,22,697,739,108,141,10,16
2017-06-09,54,102,15,768,768,88,116,15,10
2017-06-10,52,95,26,748,721,68,122,6,13
2017-06-11,63,120,28,869,794,78,162,10,10
2017-06-12,70,131,21,768,903,104,168,14,14
2017-06-13,65,142,30,789,874,102,138,26,26
2017-06-14,46,175,25,754,832,78,122,16,22
2017-06-15,51,120,28,774,1060,85,172,13,18
2017-06-16,44,132,22,737,848,69,120,10,13
2017-06-17,56,117,74,730,747,76,113,13,21
2017-06-18,65,113,16,966,764,73,124,11,28
2017-06-19,66,191,22,944,1069,111,183,23,76
2017-06-20,211,270,14,871,1027,101,190,14,42
2017-06-21,23189,339,24,746,954,98,211,9,42
2017-06-22,3942,29624,226,748,943,94,180,17,44
2017-06-23,2157,5018,37954,934,802,79,151,15,27
2017-06-24,1433,2437,7770,20157,1045,73,164,5,16
2017-06-25,572,1908,4713,5266,32410,334,153,11,21
2017-06-26,225,505,3757,3664,7990,50278,431,6,20
2017-06-27,150,349,579,3747,5199,13164,47199,165,16
2017-06-28,164,300,393,1048,3239,7227,10036,22902,198
2017-06-29,169,298,281,841,1352,5176,5353,4900,18409
2017-06-30,115,271,220,1116,1201,814,3393,3037,3970
2017-07-01,90,236,185,1141,1039,558,747,2072,1973
2017-07-02,103,201,177,1038,1052,427,620,273,1453
2017-07-03,105,198,153,977,1071,320,465,195,233
2017-07-04,81,229,108,1042,994,272,423,165,179
2017-07-05,105,208,109,918,936,264,386,148,179
2017-07-06,91,235,127,949,1053,488,350,403,121
2017-07-07,73,197,98,896,852,950,323,831,88
2017-07-08,57,165,84,866,903,703,318,609,78
2017-07-09,71,197,95,897,838,184,301,89,92
2017-07-10,88,212,62,843,819,167,245,61,85
2017-07-11,83,180,67,828,862,152,264,57,69
2017-07-12,79,166,69,701,901,161,232,75,60
2017-07-13,60,211,62,704,746,139,204,44,58
2017-07-14,65,153,56,1002,742,127,259,43,39
2017-07-15,47,153,53,837,699,131,252,47,47
2017-07-16,55,168,57,768,804,133,221,61,55
2017-07-17,102,195,42,807,803,108,258,33,37
2017-07-18,50,188,43,734,796,97,179,34,37
2017-07-19,56,166,47,788,930,153,223,32,39
2017-07-20,70,170,34,721,900,120,233,30,29
2017-07-21,68,151,63,721,847,118,209,39,32
2017-07-22,69,139,46,695,855,110,185,19,30
2017-07-23,44,164,46,640,833,97,339,30,38
2017-07-24,57,146,47,680,827,117,200,28,33
2017-07-25,53,174,22,692,836,108,205,34,22
2017-07-26,57,128,34,743,755,119,245,57,32
2017-07-27,55,111,32,669,786,90,393,20,32
2017-07-28,65,115,32,758,714,96,372,30,27
2017-07-29,73,108,23,701,633,79,259,21,10
2017-07-30,44,120,28,698,742,90,207,20,20
2017-07-31,49,108,21,759,681,91,184,18,15
2017-08-01,58,112,31,646,697,79,202,32,30
2017-08-02,69,124,27,628,754,67,182,22,19
2017-08-03,58,120,32,606,751,85,365,23,21
2017-08-04,64,113,31,710,692,82,283,26,24
2017-08-05,62,130,41,685,676,67,210,27,31
2017-08-06,62,134,24,668,746,90,203,15,22
2017-08-07,44,136,28,725,907,80,203,17,19
2017-08-08,51,170,27,650,800,76,192,20,23
2017-08-09,54,131,23,669,754,61,273,16,19
2017-08-10,41,143,27,642,733,83,168,12,14
2017-08-11,54,429,30,597,727,80,183,25,28
2017-08-12,46,143,16,616,743,53,225,16,16
2017-08-13,46,128,18,698,769,68,182,13,14
2017-08-14,47,134,27,613,733,65,181,22,20
2017-08-15,36,136,25,590,721,75,161,18,13
2017-08-16,56,109,28,557,814,83,184,20,18
2017-08-17,38,126,20,614,738,68,123,6,15
2017-08-18,50,166,26,631,684,62,142,21,21
2017-08-19,58,120,17,565,724,61,155,9,12
2017-08-20,78,124,21,551,643,102,222,11,14
2017-08-21,45,98,16,546,732,82,197,12,13
2017-08-22,43,119,15,693,732,74,173,9,14
2017-08-23,34,115,23,679,995,64,168,11,22
2017-08-24,45,120,26,621,796,185,170,19,50
2017-08-25,37,118,17,659,680,98,138,10,72
2017-08-26,49,164,17,625,688,71,174,8,67
2017-08-27,57,134,29,633,705,64,449,13,39
2017-08-28,35,125,15,594,799,79,343,8,37
2017-08-29,65,114,6,627,743,61,202,12,31
2017-08-30,49,100,16,669,872,52,220,10,58
2017-08-31,50,120,18,667,803,75,177,12,55
2017-09-01,53,99,22,639,715,66,170,13,36
2017-09-02,34,98,16,638,652,66,197,16,31
2017-09-03,36,119,29,618,699,62,167,8,35
2017-09-04,51,102,37,1087,806,68,203,12,39
2017-09-05,47,102,16,858,865,61,175,16,85
2017-09-06,39,97,18,587,961,75,168,15,97
2017-09-07,35,88,18,608,915,78,164,9,102
2017-09-08,44,88,12,614,688,56,140,6,124
2017-09-09,46,102,16,607,688,61,124,10,126
2017-09-10,57,105,15,660,794,47,176,11,134
2017-09-11,56,93,18,567,969,62,150,8,93
2017-09-12,46,99,10,548,956,70,190,10,41
2017-09-13,49,97,16,512,966,60,163,4,20
2017-09-14,58,100,25,539,1005,78,198,19,30
2017-09-15,65,89,15,540,887,76,195,16,32
2017-09-16,40,97,14,650,682,66,138,9,29
2017-09-17,48,72,7,557,892,53,167,8,14
2017-09-18,59,82,21,560,1028,73,207,24,26
2017-09-19,36,111,22,527,997,63,200,16,33
2017-09-20,40,100,25,482,912,73,202,6,21
2017-09-21,45,121,13,506,950,71,212,4,21
2017-09-22,49,108,13,524,796,56,176,13,25
2017-09-23,61,115,24,564,760,78,177,10,17
2017-09-24,42,100,17,575,858,48,229,8,16
2017-09-25,48,119,14,615,1006,56,208,10,13
2017-09-26,40,98,22,593,948,65,258,14,17
2017-09-27,23,99,29,591,966,68,222,10,15
2017-09-28,41,112,14,489,1064,97,252,11,15
2017-09-29,52,88,19,520,912,52,212,13,19
2017-09-30,35,95,10,547,740,63,163,4,6
2017-10-01,27,185,4,531,850,43,159,6,10
2017-10-02,47,124,14,494,1017,62,208,11,14
2017-10-03,57,107,21,514,1024,64,196,9,19
2017-10-04,42,92,16,481,935,75,178,11,76
2017-10-05,40,112,19,532,958,53,239,9,76
2017-10-06,39,103,14,503,850,66,188,17,36
2017-10-07,43,109,19,520,775,58,150,16,44
2017-10-08,54,83,13,526,950,58,188,6,26
2017-10-09,41,99,22,475,1106,66,202,8,17
2017-10-10,55,102,10,480,1062,51,211,4,20
2017-10-11,108,108,21,510,1071,71,237,10,12
2017-10-12,105,91,16,504,997,65,214,12,18
2017-10-13,70,109,17,495,908,60,186,15,18
2017-10-14,55,93,12,465,826,68,167,8,15
2017-10-15,63,121,20,595,1002,61,225,15,20
2017-10-16,55,116,13,493,1102,47,180,4,11
2017-10-17,67,143,21,540,1111,78,226,14,21
2017-10-18,68,123,16,488,1213,51,232,9,13
2017-10-19,35,109,25,467,1104,68,187,20,16
2017-10-20,47,91,16,410,977,52,154,14,16
2017-10-21,57,94,20,450,865,68,120,14,12
2017-10-22,66,87,13,502,1003,56,173,11,11
2017-10-23,43,103,8,556,1163,66,188,8,17
2017-10-24,54,95,16,477,1044,81,241,10,25
2017-10-25,52,98,13,475,1083,76,194,11,29
2017-10-26,39,117,13,466,1084,53,196,11,48
2017-10-27,35,131,12,519,919,253,160,6,102
2017-10-28,48,118,20,445,722,72,197,11,32
2017-10-29,46,105,22,492,918,77,151,8,19
2017-10-30,39,148,13,415,1103,70,250,11,8
2017-10-31,50,121,22,447,1036,62,282,9,12
2017-11-01,38,117,15,432,992,67,190,10,23
2017-11-02,66,78,19,485,1074,72,183,7,11
2017-11-03,56,96,17,483,873,79,186,5,12
2017-11-04,39,97,13,533,759,67,162,4,11
2017-11-05,48,109,15,454,1028,76,252,7,12
2017-11-06,48,111,12,478,2608,89,2335,10,11
2017-11-07,42,126,22,463,1105,86,276,11,21
2017-11-08,31,275,21,467,1022,67,400,12,11
2017-11-09,30,114,14,460,968,79,213,16,20
2017-11-10,38,93,11,594,843,75,193,7,35
2017-11-11,47,90,17,625,778,60,171,12,27
2017-11-12,49,100,19,622,976,50,268,5,20
2017-11-13,57,120,23,606,1121,69,224,13,35
2017-11-14,31,92,16,499,1137,52,221,10,19
2017-11-15,47,112,13,451,1137,57,227,6,8
2017-11-16,51,134,18,503,1080,76,216,12,12
2017-11-17,50,91,17,536,1050,45,257,8,10
2017-11-18,34,107,10,528,833,48,127,7,14
2017-11-19,43,89,11,572,1047,60,166,10,7
2017-11-20,44,107,13,509,1064,50,277,7,9
2017-11-21,31,198,20,550,996,65,469,8,13
2017-11-22,41,89,17,484,805,57,125,11,7
2017-11-23,38,97,23,524,801,48,173,14,16
2017-11-24,50,108,14,458,800,70,170,9,9
2017-11-25,43,86,16,563,738,70,161,11,11
2017-11-26,47,98,18,562,909,50,188,10,11
2017-11-27,45,94,17,486,1057,49,188,8,9
2017-11-28,41,96,26,605,1064,69,218,13,16
2017-11-29,43,93,13,531,1008,55,160,5,5
2017-11-30,67,103,15,608,964,59,168,5,9
2017-12-01,49,315,14,590,1000,69,341,15,20
2017-12-02,47,94,11,548,844,67,133,10,8
2017-12-03,65,124,20,558,918,69,165,3,10
2017-12-04,42,106,16,556,1251,74,183,11,11
2017-12-05,31,149,18,544,1133,67,172,8,10
2017-12-06,49,142,23,555,1124,62,192,8,8
2017-12-07,46,118,18,492,1148,73,211,6,11
2017-12-08,46,99,13,527,920,75,167,10,8
2017-12-09,33,100,17,582,846,49,134,12,13
2017-12-10,46,99,20,538,992,75,148,19,15
2017-12-11,38,118,27,535,1310,76,171,13,17
2017-12-12,48,119,16,554,1241,60,221,12,17
2017-12-13,40,118,18,555,1111,73,181,13,13
2017-12-14,62,91,25,525,1018,97,162,16,16
2017-12-15,42,99,25,485,932,68,162,13,13
2017-12-16,32,87,25,516,736,63,122,13,13
2017-12-17,46,157,27,535,786,66,472,15,17
2017-12-18,54,138,21,452,840,57,191,8,20
2017-12-19,49,152,24,524,961,90,165,13,15
2017-12-20,57,126,18,500,869,70,190,11,17
2017-12-21,34,123,11,468,721,58,200,6,5
2017-12-22,25,118,13,483,585,78,102,2,5
2017-12-23,48,122,15,478,565,65,200,9,15
2017-12-24,70,117,12,459,582,58,183,7,8
2017-12-25,230,100,18,400,606,63,159,5,10
2017-12-26,76,121,15,432,674,59,184,8,4
2017-12-27,41,132,22,472,653,101,164,12,11
2017-12-28,41,116,12,509,709,70,170,4,8
2017-12-29,39,134,19,443,632,87,142,12,15
2017-12-30,47,132,11,518,589,70,154,7,6
2017-12-31,61,166,16,499,705,66,121,5,5
2018-01-01,35,112,14,468,772,80,143,7,7
2018-01-02,38,142,23,496,892,68,162,9,9
2018-01-03,35,130,23,511,906,59,179,7,17
2018-01-04,42,118,11,555,948,75,168,9,10
2018-01-05,43,109,11,508,934,78,178,6,6
2018-01-06,49,145,28,532,885,76,158,86,14
2018-01-07,34,123,16,564,861,76,205,18,10
2018-01-08,28,147,14,526,956,74,165,8,9
2018-01-09,30,103,8,493,933,133,161,8,3
2018-01-10,54,128,15,457,956,74,174,4,7
2018-01-11,32,147,13,472,948,83,168,13,5
2018-01-12,46,161,19,505,819,73,138,10,9
2018-01-13,42,161,13,502,820,81,137,10,7
2018-01-14,44,179,26,528,948,65,172,17,22
2018-01-15,39,150,24,484,879,46,184,8,13
2018-01-16,47,181,14,466,928,58,172,12,9
2018-01-17,43,161,14,483,879,88,169,11,14
2018-01-18,34,168,13,499,972,58,170,9,17
2018-01-19,41,146,12,486,1084,59,141,13,7
2018-01-20,39,148,14,559,783,64,164,7,8
2018-01-21,53,139,9,511,843,93,192,5,7
2018-01-22,43,161,15,429,991,69,175,34,11
2018-01-23,38,130,25,514,955,76,180,5,10
2018-01-24,47,145,10,477,903,91,181,6,13
2018-01-25,38,150,19,480,883,70,381,5,18
2018-01-26,53,241,21,491,881,60,247,10,7
2018-01-27,31,130,11,595,729,51,155,4,5
2018-01-28,42,134,17,537,852,66,223,6,11
2018-01-29,53,170,15,708,900,88,179,10,8
2018-01-30,41,169,15,576,874,72,212,8,4
2018-01-31,35,160,13,619,876,62,169,3,9
2018-02-01,37,132,12,573,858,60,221,6,10
2018-02-02,33,157,13,538,790,60,163,9,9
2018-02-03,44,135,12,670,686,60,160,11,10
2018-02-04,54,126,24,630,832,66,193,6,12
2018-02-05,33,149,14,651,937,62,207,11,12
2018-02-06,35,137,12,645,991,56,209,7,12
2018-02-07,40,159,9,666,903,77,215,11,9
2018-02-08,54,149,22,548,940,48,188,7,7
2018-02-09,46,165,14,614,832,64,162,12,13
2018-02-10,38,161,16,587,678,57,160,10,10
2018-02-11,43,158,15,636,844,55,177,9,13
2018-02-12,49,196,7,551,856,78,202,4,7
2018-02-13,42,152,15,522,877,66,172,9,9
2018-02-14,32,135,13,502,860,61,193,5,7
2018-02-15,47,128,21,486,856,61,211,9,10
2018-02-16,49,128,11,537,922,73,158,12,10
2018-02-17,56,126,22,541,712,57,176,8,8
2018-02-18,36,135,18,564,841,69,174,5,7
2018-02-19,34,336,16,510,968,74,367,2,8
2018-02-20,45,108,15,548,921,55,187,7,12
2018-02-21,44,120,26,486,960,96,170,10,15
2018-02-22,50,102,33,470,1047,83,201,16,21
2018-02-23,40,123,19,528,857,59,175,11,9
2018-02-24,42,108,18,505,751,55,119,12,6
2018-02-25,58,130,33,496,980,73,190,25,23
2018-02-26,52,112,23,480,1159,75,187,10,7
2018-02-27,38,131,17,509,1090,72,192,6,7
2018-02-28,30,107,17,431,1042,57,185,4,4
2018-03-01,43,119,13,450,1007,95,201,6,5
2018-03-02,32,139,17,503,904,71,177,7,10
2018-03-03,44,133,19,698,810,76,162,12,11
2018-03-04,52,119,15,672,937,59,177,8,12
2018-03-05,38,131,14,459,1098,90,206,6,6
2018-03-06,60,120,15,443,1173,98,210,9,18
2018-03-07,27,110,8,450,1008,115,170,10,8
2018-03-08,42,149,18,506,1032,82,193,10,20
2018-03-09,47,116,16,505,964,88,149,10,12
2018-03-10,30,156,14,462,816,76,149,4,8
2018-03-11,29,139,12,483,965,74,184,6,2
2018-03-12,43,150,8,610,1032,76,196,10,12
2018-03-13,32,155,10,577,1147,94,189,3,7
2018-03-14,47,148,12,537,1020,69,156,9,12
2018-03-15,51,123,15,812,1720,68,173,9,13
2018-03-16,49,108,16,525,905,83,169,14,11
2018-03-17,25,135,11,531,779,78,163,6,14
2018-03-18,34,142,16,499,912,87,158,5,6
2018-03-19,48,163,11,651,1074,87,202,14,15
2018-03-20,44,134,16,589,1131,74,156,11,10
2018-03-21,49,130,12,513,1008,75,173,11,16
2018-03-22,37,174,19,518,1079,56,450,7,10
2018-03-23,49,125,18,549,925,76,182,10,9
2018-03-24,66,121,9,518,843,55,157,13,5
2018-03-25,30,129,15,507,869,82,159,4,7
2018-03-26,39,122,13,544,1010,80,197,9,9
2018-03-27,43,142,19,561,1027,85,197,11,10
2018-03-28,47,125,15,625,1064,71,186,12,8
2018-03-29,24,107,13,518,959,77,147,5,8
2018-03-30,30,116,7,549,844,86,156,12,3
2018-03-31,32,125,10,477,848,60,148,4,4
2018-04-01,39,247,9,558,801,77,147,11,7
2018-04-02,42,141,21,470,1010,57,175,10,9
2018-04-03,56,122,14,535,1021,75,203,9,17
2018-04-04,42,114,16,545,1053,67,196,7,17
2018-04-05,56,89,17,513,1015,83,169,7,10
2018-04-06,50,136,13,542,877,62,172,11,75
2018-04-07,31,169,7,502,889,52,126,5,9
2018-04-08,31,135,15,575,1005,50,132,10,19
2018-04-09,29,160,10,489,1056,57,179,5,12
2018-04-10,43,112,15,442,1061,61,204,6,10
2018-04-11,41,117,21,500,1168,60,205,10,11
2018-04-12,37,120,23,463,1235,65,201,16,20
2018-04-13,43,108,15,474,991,78,185,8,8
2018-04-14,40,121,21,550,837,63,144,15,12
2018-04-15,39,105,16,2139,993,54,184,14,24
2018-04-16,41,111,13,1807,1154,54,175,2,14
2018-04-17,47,163,19,1343,1104,55,194,17,11
2018-04-18,27,121,9,1106,1075,43,173,9,4
2018-04-19,44,124,16,932,1199,62,172,8,9
2018-04-20,36,102,15,739,904,51,178,8,3
2018-04-21,28,103,12,739,746,57,143,3,7
2018-04-22,35,117,13,950,858,56,178,5,14
2018-04-23,39,111,12,910,1105,91,165,4,10
2018-04-24,42,111,11,750,1034,66,197,5,3
2018-04-25,57,106,20,683,1157,84,207,8,11
2018-04-26,43,80,18,668,959,83,153,8,4
2018-04-27,21,88,8,608,803,47,207,5,3
2018-04-28,38,87,14,636,681,45,146,4,6
2018-04-29,35,110,13,674,865,60,190,3,8
2018-04-30,30,122,8,603,974,66,200,3,6
2018-05-01,41,122,8,624,990,59,203,13,14
2018-05-02,53,110,16,580,1055,70,168,4,6
2018-05-03,30,85,18,617,1019,66,157,16,11
2018-05-04,31,104,11,532,852,81,127,3,9
2018-05-05,33,99,8,553,931,62,125,7,5
2018-05-06,34,100,14,558,1035,62,169,4,5
2018-05-07,41,117,15,522,1073,79,176,7,11
2018-05-08,29,98,12,456,1013,83,196,7,9
2018-05-09,42,97,9,509,999,69,186,5,9
2018-05-10,30,104,13,511,1026,56,156,10,8
2018-05-11,29,111,8,485,852,68,147,9,9
2018-05-12,42,81,19,508,670,55,125,4,4
2018-05-13,38,122,21,528,829,57,162,6,10
2018-05-14,45,111,15,530,1003,64,192,6,8
2018-05-15,30,105,15,490,1005,65,171,4,7
2018-05-16,39,99,19,525,907,77,188,10,8
2018-05-17,36,104,15,451,933,68,178,9,11
2018-05-18,38,84,12,469,763,63,162,4,9
2018-05-19,34,107,13,458,675,55,147,8,9
2018-05-20,44,108,14,464,790,46,129,8,10
2018-05-21,50,110,17,495,907,55,153,6,11
2018-05-22,32,104,19,443,881,59,179,5,8
2018-05-23,52,111,18,472,908,71,200,16,19
2018-05-24,41,108,15,425,827,44,171,10,16
2018-05-25,39,87,8,428,801,48,143,4,7
2018-05-26,38,106,6,473,603,54,147,7,9
2018-05-27,29,121,13,438,777,73,126,7,13
2018-05-28,53,98,10,448,865,110,157,4,23
2018-05-29,48,93,14,474,840,86,153,6,16
2018-05-30,58,75,17,451,865,84,135,10,17
2018-05-31,46,97,8,444,857,62,154,3,10
2018-06-01,40,110,17,472,657,61,140,10,13
2018-06-02,43,101,13,455,729,51,129,7,11
2018-06-03,53,112,12,525,754,66,157,9,15
2018-06-04,50,115,8,519,873,75,190,5,10
2018-06-05,49,94,15,483,928,76,145,7,10
2018-06-06,40,102,10,507,897,75,160,8,8
2018-06-07,56,107,15,523,1276,73,165,11,12
2018-06-08,43,118,17,458,686,60,137,9,15
2018-06-09,47,98,13,415,639,37,130,4,4
2018-06-10,48,101,17,475,753,49,147,3,8
2018-06-11,68,156,20,578,850,67,144,5,7
2018-06-12,50,120,27,429,840,61,202,4,10
2018-06-13,50,99,15,472,886,47,168,5,7
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,52,118,8,469,675,57,142,8,10
2018-06-16,102,102,9,639,657,47,136,3,5
2018-06-17,86,90,15,1484,697,52,144,6,13
