Date,"Name-letter effect","The Chase (U.S. game show)","Disneyland Railroad","Quehanna Wild Area","Leningrad première of Shostakovich's Symphony No. 7","Lynx (constellation)","Elfin woods warbler","Falaise Pocket","Bert T. Combs"
2016-12-29,0,1399,131,23,28,118,18,287,24
2016-12-30,0,1351,136,9,37,66,12,274,25
2016-12-31,0,1176,126,12,76,88,13,250,14
2017-01-01,0,726,136,22,71,86,9,257,18
2017-01-02,0,1409,147,27,40,82,13,264,15
2017-01-03,0,2302,151,47,43,114,17,291,19
2017-01-04,0,1301,137,24,24,169,11,297,23
2017-01-05,0,1256,134,26,25,159,23,281,137
2017-01-06,0,1173,129,30,47,140,16,314,27
2017-01-07,0,695,134,19,39,120,19,380,24
2017-01-08,0,1502,147,24,44,151,21,402,33
2017-01-09,0,1214,197,23,35,153,16,327,16
2017-01-10,0,1673,188,27,34,213,11,336,23
2017-01-11,0,1118,194,20,54,204,27,289,32
2017-01-12,0,1221,226,36,38,208,25,239,17
2017-01-13,0,1110,188,25,33,151,16,300,25
2017-01-14,0,596,197,31,37,134,14,249,33
2017-01-15,0,1191,179,24,24,173,11,328,20
2017-01-16,0,1007,204,35,35,214,22,296,31
2017-01-17,0,1636,261,25,35,216,16,286,32
2017-01-18,0,943,304,20,31,169,13,322,21
2017-01-19,0,847,273,25,58,179,23,264,46
2017-01-20,0,761,141,20,27,141,10,295,25
2017-01-21,0,563,159,19,47,78,14,251,34
2017-01-22,0,1446,127,22,69,116,26,235,30
2017-01-23,0,1051,172,42,64,133,24,319,30
2017-01-24,0,1638,169,19,49,130,28,281,30
2017-01-25,1,1001,290,18,32,138,19,270,32
2017-01-26,0,888,234,35,29,114,18,261,35
2017-01-27,0,941,965,21,39,93,19,234,21
2017-01-28,3,505,504,28,39,101,20,338,18
2017-01-29,0,1112,307,34,35,110,10,264,20
2017-01-30,0,781,243,19,37,125,10,298,15
2017-01-31,0,1622,286,33,42,115,16,264,21
2017-02-01,0,941,228,28,41,129,21,312,32
2017-02-02,0,840,241,25,33,99,36,396,20
2017-02-03,0,1022,213,35,68,205,15,283,23
2017-02-04,0,571,241,21,61,85,19,246,17
2017-02-05,0,1314,201,43,46,85,16,260,24
2017-02-06,0,728,177,32,46,115,19,293,17
2017-02-07,0,1706,197,21,39,118,23,249,25
2017-02-08,0,909,219,29,49,147,26,284,36
2017-02-09,0,929,224,22,42,140,19,273,24
2017-02-10,0,925,217,20,35,100,16,258,21
2017-02-11,0,490,261,27,47,102,17,289,20
2017-02-12,0,1213,183,28,38,104,10,281,16
2017-02-13,0,818,147,24,36,144,20,269,30
2017-02-14,0,1080,152,31,45,156,20,404,26
2017-02-15,0,890,134,32,57,143,26,257,26
2017-02-16,0,847,167,31,46,119,30,251,27
2017-02-17,0,886,175,20,37,100,18,241,25
2017-02-18,0,554,151,22,39,90,9,234,18
2017-02-19,0,400,159,18,28,95,17,317,16
2017-02-20,0,809,203,22,34,105,12,301,25
2017-02-21,0,899,153,12,39,119,10,270,21
2017-02-22,0,810,135,60,43,133,18,267,20
2017-02-23,0,738,155,66,38,149,20,285,31
2017-02-24,0,777,150,31,58,114,30,297,21
2017-02-25,0,550,127,32,34,86,12,292,25
2017-02-26,0,445,165,28,56,115,19,331,26
2017-02-27,0,690,162,30,32,116,23,260,18
2017-02-28,0,780,161,34,42,102,19,323,23
2017-03-01,0,831,135,35,54,103,21,307,68
2017-03-02,0,785,177,28,49,136,23,329,22
2017-03-03,0,717,157,31,48,86,24,289,17
2017-03-04,0,438,168,16,30,86,14,258,25
2017-03-05,1,435,132,18,38,93,13,285,21
2017-03-06,0,941,163,28,35,145,23,298,16
2017-03-07,0,1117,129,33,50,101,20,296,27
2017-03-08,0,863,132,45,67,103,22,317,27
2017-03-09,0,860,132,28,126,108,19,284,28
2017-03-10,0,1029,139,31,55,81,24,278,33
2017-03-11,0,605,124,25,28,77,14,281,26
2017-03-12,0,653,134,14,37,141,14,291,25
2017-03-13,1,1008,180,17,39,112,20,308,21
2017-03-14,0,1193,140,23,45,139,22,397,25
2017-03-15,0,1059,148,25,25,99,11,324,23
2017-03-16,0,1150,168,31,34,103,19,253,13
2017-03-17,0,985,152,30,53,84,20,272,18
2017-03-18,2,533,171,26,33,69,11,253,34
2017-03-19,1,543,171,18,51,97,10,399,24
2017-03-20,0,1106,144,29,43,108,12,358,16
2017-03-21,0,1105,235,18,36,100,27,334,28
2017-03-22,0,873,173,24,37,98,18,275,28
2017-03-23,0,1155,154,38,48,123,24,311,38
2017-03-24,0,938,155,35,31,93,13,304,17
2017-03-25,0,541,155,41,30,102,20,263,27
2017-03-26,0,563,147,28,33,87,12,267,13
2017-03-27,0,841,155,34,36,108,22,326,28
2017-03-28,0,784,145,30,33,90,22,333,26
2017-03-29,1,860,147,23,28,103,16,335,14
2017-03-30,0,812,159,25,44,106,16,298,25
2017-03-31,0,871,135,30,36,106,24,296,19
2017-04-01,0,541,115,24,23,75,16,348,31
2017-04-02,2,427,170,21,27,71,19,270,14
2017-04-03,0,828,137,28,48,97,21,326,22
2017-04-04,1,770,150,34,35,88,12,285,24
2017-04-05,0,824,119,31,32,90,16,309,17
2017-04-06,1,944,144,30,45,79,21,308,32
2017-04-07,1,820,156,28,40,69,16,290,18
2017-04-08,8,399,130,28,38,75,13,233,27
2017-04-09,25,376,132,14,25,85,8,300,30
2017-04-10,27,694,143,43,33,90,25,388,33
2017-04-11,29,792,167,14,27,96,12,308,19
2017-04-12,32,777,132,27,48,96,23,347,34
2017-04-13,43,808,136,32,40,102,25,285,29
2017-04-14,31,1033,118,26,42,64,8,280,22
2017-04-15,15,470,133,8,33,94,17,265,29
2017-04-16,46,450,144,29,53,88,16,266,24
2017-04-17,45,756,185,32,55,91,21,368,24
2017-04-18,51,829,165,27,31,99,21,324,25
2017-04-19,49,836,142,18,38,109,26,332,23
2017-04-20,48,798,135,25,48,70,14,267,28
2017-04-21,33,762,141,22,38,83,12,321,23
2017-04-22,31,531,136,38,42,67,21,363,25
2017-04-23,40,505,131,27,33,64,16,341,25
2017-04-24,34,769,168,33,55,78,19,357,28
2017-04-25,36,882,154,41,66,88,26,391,17
2017-04-26,44,919,132,21,43,93,16,386,16
2017-04-27,44,824,173,23,54,83,22,386,21
2017-04-28,34,865,156,21,46,96,21,370,26
2017-04-29,28,412,140,19,41,61,9,295,16
2017-04-30,41,395,173,18,23,71,15,378,18
2017-05-01,62,662,188,30,70,98,14,444,19
2017-05-02,55,749,144,24,74,110,26,403,39
2017-05-03,28,754,136,38,37,111,20,347,30
2017-05-04,30,547,193,24,35,101,19,344,21
2017-05-05,42,607,169,30,37,100,25,339,29
2017-05-06,27,291,118,28,38,62,16,338,38
2017-05-07,22,298,205,19,52,49,15,354,25
2017-05-08,41,561,158,34,42,92,23,425,28
2017-05-09,23,618,137,34,41,96,12,378,22
2017-05-10,42,569,194,18,45,83,16,297,12
2017-05-11,42,613,208,24,45,83,11,345,23
2017-05-12,34,661,154,22,40,86,16,341,18
2017-05-13,28,303,116,22,25,55,18,276,15
2017-05-14,14,230,149,24,26,54,15,275,15
2017-05-15,23,655,149,34,33,83,24,360,22
2017-05-16,34,625,168,20,45,75,28,297,17
2017-05-17,29,644,133,25,44,89,19,339,14
2017-05-18,37,544,167,23,39,88,20,312,23
2017-05-19,44,549,146,36,54,91,35,299,15
2017-05-20,24,290,141,25,55,97,23,283,28
2017-05-21,67,241,150,38,43,64,27,301,24
2017-05-22,36,438,162,29,35,81,14,301,24
2017-05-23,41,496,162,37,42,87,26,319,19
2017-05-24,31,523,177,27,29,75,16,332,22
2017-05-25,63,495,181,22,32,93,12,345,32
2017-05-26,36,572,202,21,33,79,19,342,40
2017-05-27,30,265,175,17,15,53,18,255,20
2017-05-28,38,247,170,19,20,50,13,386,41
2017-05-29,37,606,170,33,27,59,17,481,40
2017-05-30,41,764,166,48,38,83,27,471,32
2017-05-31,42,721,155,36,41,89,26,328,33
2017-06-01,67,579,113,26,43,73,17,318,33
2017-06-02,41,782,141,19,46,91,13,323,33
2017-06-03,35,264,171,12,35,64,14,291,38
2017-06-04,28,243,122,21,38,76,12,318,27
2017-06-05,34,598,280,24,38,75,16,421,21
2017-06-06,40,634,190,17,43,89,13,892,24
2017-06-07,36,621,160,23,156,70,19,598,38
2017-06-08,31,583,174,29,82,78,20,396,42
2017-06-09,30,647,175,23,39,70,21,357,29
2017-06-10,32,313,123,24,21,59,15,299,26
2017-06-11,47,270,147,20,31,57,14,352,70
2017-06-12,40,590,171,32,35,85,18,392,33
2017-06-13,46,692,158,36,38,100,25,517,36
2017-06-14,47,634,153,19,25,80,13,560,30
2017-06-15,46,705,199,28,53,84,21,334,34
2017-06-16,39,846,219,27,32,66,10,286,22
2017-06-17,39,334,180,24,29,58,19,265,27
2017-06-18,48,252,170,22,35,59,14,297,34
2017-06-19,168,626,264,27,31,63,9,324,25
2017-06-20,183,631,241,26,36,71,17,302,29
2017-06-21,162,645,152,16,41,54,8,334,15
2017-06-22,152,702,143,31,39,62,18,331,43
2017-06-23,159,694,163,21,26,48,16,282,23
2017-06-24,101,299,239,28,24,65,8,236,21
2017-06-25,83,282,361,34,33,90,12,290,27
2017-06-26,44,642,322,35,47,96,10,329,23
2017-06-27,36,699,255,24,37,73,14,298,24
2017-06-28,49,662,230,41,29,53,24,283,29
2017-06-29,21,645,238,28,43,62,13,290,26
2017-06-30,32,650,144,36,45,57,13,270,19
2017-07-01,28,305,189,22,36,52,11,342,16
2017-07-02,27,293,320,28,37,83,11,417,19
2017-07-03,59,522,284,23,29,56,14,343,30
2017-07-04,31,640,155,22,26,73,10,329,24
2017-07-05,36,623,239,26,28,87,7,288,40
2017-07-06,37,845,244,33,32,52,14,361,25
2017-07-07,27,640,131,31,29,68,23,316,21
2017-07-08,28,310,231,33,28,60,7,242,16
2017-07-09,23,297,243,35,23,62,12,289,16
2017-07-10,152,496,292,37,23,190,17,333,32
2017-07-11,221,514,296,19,43,86,15,320,32
2017-07-12,56,559,313,24,29,95,15,406,30
2017-07-13,44,621,294,15,29,65,12,295,26
2017-07-14,34,561,301,17,32,72,12,326,16
2017-07-15,22,294,233,16,32,90,16,285,29
2017-07-16,48,238,370,22,31,84,13,280,30
2017-07-17,49,488,7254,45,34,84,11,316,22
2017-07-18,41,530,587,72,31,77,8,337,19
2017-07-19,56,585,361,29,24,90,20,309,22
2017-07-20,38,552,274,36,25,70,8,359,19
2017-07-21,35,589,315,36,57,82,19,310,33
2017-07-22,26,263,248,33,39,83,12,272,24
2017-07-23,35,235,263,25,73,136,34,373,63
2017-07-24,37,508,328,23,62,65,21,417,70
2017-07-25,33,600,319,33,40,77,11,366,42
2017-07-26,49,577,273,38,53,81,22,385,30
2017-07-27,46,647,239,31,54,83,17,314,22
2017-07-28,42,633,389,20,33,82,19,295,32
2017-07-29,27,275,779,20,35,67,20,309,15
2017-07-30,33,250,565,17,38,70,10,371,25
2017-07-31,59,473,505,30,35,89,13,346,34
2017-08-01,80,475,463,36,47,113,25,390,26
2017-08-02,65,539,305,34,54,89,16,407,29
2017-08-03,78,630,295,33,53,104,20,371,25
2017-08-04,311,518,402,41,51,86,24,311,40
2017-08-05,52744,479,272,43,43,93,21,339,44
2017-08-06,22027,22029,500,35,53,91,24,335,24
2017-08-07,8260,6502,42638,193,72,81,19,463,58
2017-08-08,4553,3964,8090,34593,244,89,24,479,25
2017-08-09,906,3316,5112,5023,50478,226,20,673,68
2017-08-10,682,908,3453,2960,7514,22045,176,446,59
2017-08-11,913,694,776,1659,4147,4361,20722,647,44
2017-08-12,614,396,1867,368,2463,2082,3280,60476,237
2017-08-13,518,336,1248,296,615,1679,2037,12108,25842
2017-08-14,386,694,409,225,380,395,1634,7207,4073
2017-08-15,331,643,353,155,316,238,346,4860,1876
2017-08-16,271,557,285,140,255,196,225,1235,1541
2017-08-17,238,552,264,114,189,165,146,996,126
2017-08-18,177,478,254,98,189,179,133,737,103
2017-08-19,149,266,310,101,192,125,129,802,56
2017-08-20,160,254,301,123,138,150,127,735,62
2017-08-21,160,564,281,75,147,119,91,841,53
2017-08-22,145,624,225,71,128,109,87,673,39
2017-08-23,129,596,252,84,126,142,77,552,37
2017-08-24,145,549,296,78,135,127,84,489,46
2017-08-25,112,553,235,56,87,92,61,519,44
2017-08-26,132,247,183,64,108,102,37,398,27
2017-08-27,168,254,235,58,100,116,66,447,27
2017-08-28,184,544,183,222,87,150,44,472,29
2017-08-29,102,461,193,70,70,103,30,416,22
2017-08-30,108,576,174,68,76,119,60,384,26
2017-08-31,97,549,192,49,86,95,30,411,26
2017-09-01,80,479,171,41,107,85,25,367,21
2017-09-02,76,289,170,40,88,92,39,393,30
2017-09-03,91,232,195,76,64,102,23,324,21
2017-09-04,105,518,191,101,71,118,36,332,26
2017-09-05,91,487,174,71,82,135,22,383,24
2017-09-06,78,393,196,63,70,115,28,333,29
2017-09-07,65,445,144,39,61,124,14,280,14
2017-09-08,48,452,135,44,63,97,29,258,18
2017-09-09,59,240,153,44,52,84,26,299,19
2017-09-10,53,196,173,45,65,77,35,291,15
2017-09-11,43,330,139,61,34,99,20,450,14
2017-09-12,56,374,159,34,52,88,16,357,22
2017-09-13,58,415,163,39,83,109,15,340,9
2017-09-14,82,504,163,44,50,113,29,315,23
2017-09-15,67,534,145,41,57,103,17,282,21
2017-09-16,51,254,158,37,44,81,12,299,15
2017-09-17,59,193,142,46,47,62,9,296,9
2017-09-18,74,413,175,52,44,96,14,330,18
2017-09-19,71,430,129,44,57,105,31,339,15
2017-09-20,64,432,117,49,70,83,26,287,22
2017-09-21,64,458,116,34,54,99,28,298,10
2017-09-22,66,437,135,47,39,131,27,271,19
2017-09-23,58,235,150,47,43,86,15,386,10
2017-09-24,78,191,124,40,48,74,12,312,14
2017-09-25,65,386,131,45,58,83,19,390,13
2017-09-26,75,368,136,37,59,103,29,332,15
2017-09-27,60,471,177,33,45,103,30,322,14
2017-09-28,65,422,157,34,51,87,22,309,19
2017-09-29,52,451,148,33,52,109,18,261,13
2017-09-30,39,233,145,32,40,63,30,287,9
2017-10-01,50,224,182,48,43,79,14,272,5
2017-10-02,72,283,152,41,48,111,18,298,24
2017-10-03,48,381,140,36,48,92,24,253,19
2017-10-04,54,327,156,33,60,105,18,255,15
2017-10-05,46,358,175,24,64,135,25,235,16
2017-10-06,52,447,124,47,45,99,16,256,13
2017-10-07,47,253,140,41,83,63,17,224,16
2017-10-08,44,220,175,34,39,84,14,248,9
2017-10-09,119,639,177,37,97,89,13,264,16
2017-10-10,72,464,135,44,54,97,11,259,18
2017-10-11,45,521,133,35,54,101,25,250,14
2017-10-12,47,428,167,27,57,78,19,228,14
2017-10-13,64,577,158,53,50,116,25,193,20
2017-10-14,56,350,133,22,52,65,18,237,11
2017-10-15,88,251,154,34,56,94,24,254,20
2017-10-16,46,517,159,38,58,118,14,279,11
2017-10-17,59,615,139,33,64,111,27,271,21
2017-10-18,60,543,147,29,65,112,16,274,16
2017-10-19,73,554,165,40,58,94,28,276,15
2017-10-20,66,632,127,44,54,99,18,219,11
2017-10-21,51,443,131,25,38,83,13,263,15
2017-10-22,52,1232,137,30,48,59,12,297,13
2017-10-23,53,1521,151,36,48,113,17,301,9
2017-10-24,72,861,158,47,57,111,20,291,11
2017-10-25,76,819,145,33,54,87,30,263,13
2017-10-26,64,812,122,26,50,82,28,271,11
2017-10-27,50,995,123,31,50,83,8,232,6
2017-10-28,77,733,97,24,50,102,23,221,14
2017-10-29,83,1354,150,26,49,83,21,238,15
2017-10-30,62,1606,162,24,58,101,15,327,10
2017-10-31,79,1055,116,26,41,87,14,251,16
2017-11-01,70,959,158,26,39,89,18,240,17
2017-11-02,105,966,149,22,38,90,23,279,10
2017-11-03,62,1049,141,42,56,94,14,346,17
2017-11-04,36,856,112,19,48,66,10,335,10
2017-11-05,57,1657,142,30,53,88,11,358,9
2017-11-06,51,1924,117,51,51,92,19,371,16
2017-11-07,54,1015,140,35,71,85,18,373,16
2017-11-08,69,1014,156,26,78,93,13,537,11
2017-11-09,67,1108,138,29,73,99,17,364,11
2017-11-10,48,1153,138,27,59,98,10,362,7
2017-11-11,44,817,149,30,49,80,14,458,15
2017-11-12,44,1833,157,26,188,77,14,500,15
2017-11-13,74,1961,186,41,63,118,18,350,16
2017-11-14,65,1030,165,24,57,107,17,338,14
2017-11-15,51,916,129,17,54,105,26,372,13
2017-11-16,56,899,118,26,54,101,28,420,11
2017-11-17,84,983,123,25,41,85,15,326,10
2017-11-18,40,572,126,28,28,79,13,320,8
2017-11-19,49,1774,116,44,44,99,8,313,14
2017-11-20,48,1645,127,24,25,91,16,384,11
2017-11-21,46,787,187,39,38,106,16,320,14
2017-11-22,47,891,135,21,29,101,14,278,9
2017-11-23,51,2176,122,39,61,100,11,284,16
2017-11-24,40,891,124,27,48,66,15,253,8
2017-11-25,56,667,140,35,29,84,19,319,14
2017-11-26,53,2601,106,36,42,87,8,356,10
2017-11-27,66,1773,149,34,38,95,19,377,19
2017-11-28,89,954,138,48,45,106,20,350,13
2017-11-29,44,847,134,51,29,127,16,281,9
2017-11-30,36,799,113,33,51,113,17,231,9
2017-12-01,52,736,117,42,69,111,23,262,14
2017-12-02,42,542,132,22,73,68,13,315,11
2017-12-03,138,1329,126,18,49,70,9,290,6
2017-12-04,55,1462,142,34,58,127,15,315,12
2017-12-05,50,780,147,23,53,142,17,365,11
2017-12-06,75,746,153,24,41,116,11,317,12
2017-12-07,59,773,136,33,44,108,11,335,14
2017-12-08,48,1028,140,23,205,110,13,384,10
2017-12-09,44,501,170,53,47,74,19,326,17
2017-12-10,77,1387,160,33,43,107,17,367,18
2017-12-11,52,1639,161,32,34,94,18,356,22
2017-12-12,66,751,144,20,51,130,16,427,18
2017-12-13,61,777,123,37,52,120,17,412,16
2017-12-14,47,731,137,29,60,122,16,305,17
2017-12-15,45,753,130,24,45,90,11,325,10
2017-12-16,43,504,152,19,44,73,14,281,18
2017-12-17,55,1096,170,24,44,99,15,242,16
2017-12-18,638,1750,130,29,45,118,15,355,14
2017-12-19,895,843,135,27,43,98,23,272,15
2017-12-20,114,848,163,30,52,94,12,289,12
2017-12-21,63,1008,167,18,62,110,12,261,10
2017-12-22,51,1043,118,21,33,94,4,272,2
2017-12-23,40,568,83,18,47,57,11,264,14
2017-12-24,40,694,118,22,28,82,13,267,11
2017-12-25,51,512,113,31,37,83,10,253,35
2017-12-26,40,578,151,15,48,74,10,326,14
2017-12-27,42,831,149,33,45,62,15,404,15
2017-12-28,33,978,172,28,49,82,9,395,12
2017-12-29,60,1011,137,25,45,75,8,315,17
2017-12-30,67,607,145,15,41,71,5,294,10
2017-12-31,3483,571,139,23,43,79,9,312,15
2018-01-01,328,594,144,131,37,77,8,333,11
2018-01-02,211,841,158,121,35,128,12,381,81
2018-01-03,172,863,162,35,30,140,14,326,9
2018-01-04,72,921,162,32,39,173,8,307,16
2018-01-05,56,846,131,28,36,106,7,298,16
2018-01-06,75,589,193,30,36,126,14,337,18
2018-01-07,72,539,174,42,44,144,14,313,14
2018-01-08,56,763,178,51,39,204,9,305,15
2018-01-09,74,742,151,19,37,185,9,289,11
2018-01-10,48,807,124,13,45,183,9,310,7
2018-01-11,177,834,128,27,46,150,25,279,9
2018-01-12,94,956,127,21,46,128,13,266,18
2018-01-13,2802,595,131,19,35,106,11,267,11
2018-01-14,2372,466,171,22,51,136,20,368,18
2018-01-15,474,763,178,23,52,127,10,342,12
2018-01-16,269,739,386,27,51,146,13,297,10
2018-01-17,191,709,198,27,58,136,17,343,18
2018-01-18,134,667,134,21,68,140,14,296,10
2018-01-19,118,722,113,18,41,135,19,322,9
2018-01-20,91,427,142,22,40,80,8,273,10
2018-01-21,63,381,170,22,37,90,10,290,10
2018-01-22,84,598,161,33,53,137,13,266,12
2018-01-23,91,682,178,25,44,96,16,354,14
2018-01-24,119,708,124,17,45,158,9,323,16
2018-01-25,61,733,452,13,49,122,14,299,11
2018-01-26,69,782,96,24,41,98,12,273,11
2018-01-27,54,439,152,16,41,81,12,255,7
2018-01-28,55,430,152,23,57,99,10,271,8
2018-01-29,59,612,121,13,59,98,14,348,12
2018-01-30,50,744,179,20,43,99,8,306,5
2018-01-31,60,661,142,16,52,108,16,303,11
2018-02-01,43,746,113,17,54,115,14,280,13
2018-02-02,48,687,129,25,56,244,23,282,12
2018-02-03,42,437,135,22,53,90,11,267,8
2018-02-04,39,434,127,27,66,81,10,259,10
2018-02-05,45,636,133,29,69,121,14,271,7
2018-02-06,90,784,131,23,49,122,14,301,11
2018-02-07,72,803,159,21,47,118,9,258,10
2018-02-08,70,580,154,43,63,96,17,263,15
2018-02-09,55,630,116,42,48,96,14,292,14
2018-02-10,40,422,147,23,43,80,15,246,13
2018-02-11,60,423,19001,21,46,86,12,281,17
2018-02-12,53,480,3185,14,36,113,9,288,9
2018-02-13,42,546,278,13,34,125,18,278,11
2018-02-14,63,508,141,11,50,92,5,396,5
2018-02-15,77,544,165,23,54,105,14,254,14
2018-02-16,53,673,204,12,54,87,6,259,12
2018-02-17,41,355,200,22,57,80,13,246,13
2018-02-18,41,352,191,30,48,82,9,301,11
2018-02-19,49,580,186,38,44,94,11,300,5
2018-02-20,49,603,170,47,39,104,19,292,15
2018-02-21,61,569,164,26,49,119,12,275,11
2018-02-22,52,603,192,33,52,110,21,312,21
2018-02-23,41,620,147,32,45,79,15,286,12
2018-02-24,40,387,146,23,52,94,16,300,17
2018-02-25,59,403,122,36,62,119,29,295,26
2018-02-26,45,687,157,33,72,109,9,303,11
2018-02-27,41,718,129,19,77,131,20,261,11
2018-02-28,43,587,133,23,81,111,11,337,8
2018-03-01,48,555,141,36,62,105,12,312,8
2018-03-02,52,622,168,32,60,102,15,251,13
2018-03-03,46,371,137,27,77,72,17,376,9
2018-03-04,56,405,150,32,67,100,13,311,12
2018-03-05,52,536,163,29,50,116,17,284,9
2018-03-06,46,873,170,27,204,130,22,335,12
2018-03-07,48,730,140,24,43,94,25,316,10
2018-03-08,46,792,144,28,63,115,21,295,10
2018-03-09,46,676,151,26,50,100,19,286,8
2018-03-10,44,347,132,27,44,72,6,308,10
2018-03-11,39,347,141,24,34,83,11,292,6
2018-03-12,71,642,136,38,42,119,19,331,6
2018-03-13,58,611,166,19,48,106,13,322,9
2018-03-14,52,548,133,28,45,131,15,320,11
2018-03-15,62,568,127,28,60,96,15,364,10
2018-03-16,41,646,137,19,59,80,25,240,14
2018-03-17,53,414,121,33,37,91,7,272,8
2018-03-18,42,363,146,35,42,65,6,326,12
2018-03-19,66,667,159,44,52,96,20,353,11
2018-03-20,72,608,176,36,46,85,14,349,16
2018-03-21,88,711,151,37,58,100,15,396,14
2018-03-22,53,596,253,18,43,59,8,336,16
2018-03-23,56,663,119,41,44,91,17,311,17
2018-03-24,67,354,201,36,37,86,11,215,9
2018-03-25,54,412,1130,30,43,70,9,284,6
2018-03-26,46,645,501,26,46,113,14,340,7
2018-03-27,63,706,283,26,47,96,10,330,16
2018-03-28,58,962,276,39,71,74,19,305,13
2018-03-29,36,624,173,11,45,87,14,320,6
2018-03-30,39,644,132,18,56,58,17,355,9
2018-03-31,48,403,126,7,36,48,11,290,9
2018-04-01,50,418,196,24,39,58,8,326,8
2018-04-02,71,633,320,20,52,94,15,319,9
2018-04-03,69,567,167,24,43,56,14,338,12
2018-04-04,28,597,155,25,56,108,15,336,12
2018-04-05,50,631,142,41,56,109,14,312,13
2018-04-06,88,677,170,36,58,124,18,363,12
2018-04-07,66,412,152,26,56,73,8,318,10
2018-04-08,49,399,125,38,55,87,13,310,9
2018-04-09,75,556,139,23,57,91,12,332,6
2018-04-10,66,676,120,30,60,63,14,309,10
2018-04-11,67,593,114,41,52,97,27,318,17
2018-04-12,79,601,130,32,60,101,24,316,14
2018-04-13,54,694,114,18,62,79,13,316,6
2018-04-14,54,686,124,29,61,81,26,274,12
2018-04-15,38,424,134,33,66,77,14,314,14
2018-04-16,49,621,115,32,61,92,17,355,14
2018-04-17,60,589,150,53,56,116,27,400,20
2018-04-18,60,506,114,28,42,77,27,357,11
2018-04-19,54,609,132,70,57,76,14,282,4
2018-04-20,36,555,130,55,51,70,15,263,8
2018-04-21,37,295,132,19,60,66,6,387,5
2018-04-22,40,374,154,31,49,61,7,346,8
2018-04-23,72,483,151,47,48,68,17,361,8
2018-04-24,57,458,131,34,36,83,9,310,8
2018-04-25,55,763,150,25,41,114,12,353,11
2018-04-26,98,602,146,20,51,81,7,336,4
2018-04-27,37,544,95,26,52,81,9,296,7
2018-04-28,39,279,120,39,40,73,13,272,7
2018-04-29,27,272,130,25,48,64,5,260,8
2018-04-30,37,442,139,17,44,126,7,327,11
2018-05-01,42,480,137,23,49,102,12,355,12
2018-05-02,30,477,135,30,65,83,9,327,9
2018-05-03,50,528,113,21,55,74,15,341,12
2018-05-04,53,456,133,25,50,77,16,337,6
2018-05-05,46,281,119,27,53,81,12,235,12
2018-05-06,72,308,139,22,59,78,4,319,6
2018-05-07,51,486,162,40,53,86,26,351,17
2018-05-08,52,495,116,27,37,123,11,317,10
2018-05-09,41,504,131,14,55,86,10,296,10
2018-05-10,46,479,120,31,51,114,14,315,9
2018-05-11,45,719,116,26,47,78,9,280,7
2018-05-12,31,373,122,40,47,62,6,318,4
2018-05-13,26,325,162,28,48,68,13,285,12
2018-05-14,43,530,184,19,61,107,10,350,6
2018-05-15,60,485,130,20,40,81,9,250,10
2018-05-16,49,510,133,24,52,71,15,327,14
2018-05-17,39,604,133,38,57,127,6,328,12
2018-05-18,37,637,124,27,43,91,16,241,7
2018-05-19,39,308,136,27,46,59,16,264,9
2018-05-20,46,376,128,23,59,75,14,259,8
2018-05-21,35,566,157,25,50,73,14,339,4
2018-05-22,49,499,133,20,44,85,11,361,7
2018-05-23,50,464,151,23,40,106,18,369,15
2018-05-24,58,479,165,25,51,97,9,341,12
2018-05-25,50,550,132,13,41,65,5,342,10
2018-05-26,53,323,105,20,42,58,4,451,12
2018-05-27,51,317,150,16,46,67,6,373,8
2018-05-28,66,766,157,40,37,80,6,513,9
2018-05-29,65,568,147,35,60,70,11,412,11
2018-05-30,49,562,140,29,49,57,14,355,15
2018-05-31,52,584,138,23,39,66,9,391,8
2018-06-01,59,598,125,17,49,54,12,336,13
2018-06-02,45,321,106,18,32,54,13,300,7
2018-06-03,44,309,135,19,53,67,7,442,4
2018-06-04,53,750,122,33,39,56,8,426,8
2018-06-05,68,812,138,17,43,82,9,509,6
2018-06-06,58,659,160,21,36,79,10,700,13
2018-06-07,74,576,146,29,35,64,9,563,12
2018-06-08,49,464,146,30,25,72,11,505,9
2018-06-09,38,274,177,11,23,39,4,335,8
2018-06-10,41,244,128,22,31,59,5,355,6
2018-06-11,58,441,208,53,99,56,24,350,6
2018-06-12,61,431,134,44,29,78,23,409,11
2018-06-13,32,402,151,22,42,336,9,403,9
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,42,327,127,23,39,50,15,285,40
2018-06-16,35,232,109,21,24,49,8,291,17
2018-06-17,39,254,144,28,62,64,8,293,16
