Date,Oran fatwa,Piano Concerto No. 24 (Mozart),Jean Bellette,Interstate 8,Mayabazar,Military service of Ian Smith,Boise National Forest,Juan Manuel de Rosas,Cincinnati Musical Center half dollar,Nominative determinism,Courtney Love,Camas pocket gopher,The Heart of a Woman,Shackleton–Rowett Expedition,7th Army (Kingdom of Yugoslavia),Gabriel Pleydell,Yesterday's Enterprise,Canadian National Vimy Memorial
2016-05-04,13,50,14,163,177,19,50,215,12,466,3375,19,203,41,114,0,84,188
2016-05-05,20,60,9,155,201,13,31,155,9,188,3586,20,140,37,123,0,120,155
2016-05-06,16,64,6,160,690,17,47,154,13,503,3548,15,136,31,113,0,93,150
2016-05-07,6,35,9,140,284,9,110,123,11,2085,3963,19,94,28,96,0,93,166
2016-05-08,22,52,8,131,212,10,80,135,9,287,4059,15,85,32,65,1,78,186
2016-05-09,9,58,16,208,197,16,95,148,15,185,3890,18,96,42,86,0,87,173
2016-05-10,22,64,14,162,247,15,93,163,10,175,3296,22,96,28,106,1,99,170
2016-05-11,13,70,19,171,195,12,93,192,16,138,3461,20,99,37,89,0,133,150
2016-05-12,12,64,5,169,220,16,83,185,5,165,3627,9,59,38,93,3,115,184
2016-05-13,13,55,12,191,204,14,86,131,7,331,3547,13,64,44,99,2,96,161
2016-05-14,17,74,10,169,209,14,80,100,9,197,3644,16,42,43,95,0,122,135
2016-05-15,6,52,13,139,205,21,99,129,12,186,4076,15,51,66,96,0,142,193
2016-05-16,19,53,4,149,186,16,94,139,10,261,3800,29,74,54,97,0,129,178
2016-05-17,12,69,11,149,150,30,129,157,9,240,3576,12,60,55,26,0,103,170
2016-05-18,15,71,9,140,193,12,110,122,7,199,3962,13,61,60,10,0,101,232
2016-05-19,6,52,10,177,184,17,120,149,16,226,4468,25,77,75,12,2,123,248
2016-05-20,9,49,9,140,150,20,120,143,14,192,4057,14,54,59,4,0,116,161
2016-05-21,17,36,17,138,198,18,127,91,15,127,3679,18,62,164,10,0,135,160
2016-05-22,11,70,7,157,190,24,100,132,6,196,4303,21,46,75,5,0,158,262
2016-05-23,13,60,11,182,221,19,121,166,12,253,3678,19,65,52,9,0,2081,219
2016-05-24,12,60,9,152,194,16,113,131,9,255,3376,15,63,45,17,1,412,638
2016-05-25,7,45,12,167,258,19,93,179,12,242,3347,29,60,66,17,0,155,199
2016-05-26,15,59,21,152,227,22,114,157,21,190,3463,27,66,53,15,0,153,199
2016-05-27,7,41,12,162,207,15,108,114,12,259,3279,14,55,32,8,1,132,179
2016-05-28,14,43,8,125,228,21,80,84,8,149,3333,14,47,156,9,1,113,164
2016-05-29,18,58,8,170,243,24,285,100,6,174,3613,13,65,69,7,0,111,220
2016-05-30,18,50,14,215,279,22,36,126,14,167,3730,26,71,61,17,0,139,227
2016-05-31,19,57,9,181,223,12,37,125,13,180,3418,27,60,53,10,2,113,272
2016-06-01,14,52,13,194,200,14,31,124,10,149,3228,18,71,49,9,0,90,183
2016-06-02,15,52,15,167,209,29,34,169,15,25526,3664,32,57,36,16,0,293,213
2016-06-03,11,51,10,170,204,28,36,524,21,589,3614,12,48,28,14,2,233,237
2016-06-04,11,54,14,191,303,19,27,89,15,218,3727,16,35,31,11,1,140,166
2016-06-05,20,48,12,203,244,16,39,133,11,248,4356,22,38,29,9,0,163,185
2016-06-06,34,46,7,192,171,10,33,134,7,235,3952,24,58,24,11,0,113,301
2016-06-07,26,64,18,150,207,14,36,136,11,240,4096,18,49,38,10,4,126,234
2016-06-08,15,49,11,175,717,18,26,134,8,218,3825,20,63,26,11,0,100,253
2016-06-09,8,36,9,179,224,10,18,127,7,229,3637,12,37,33,3,0,133,226
2016-06-10,6,48,10,175,208,8,31,107,6,209,3568,12,34,27,2,0,116,188
2016-06-11,10,43,9,156,177,9,34,81,11,159,3579,11,51,26,12,0,109,209
2016-06-12,25,33,7,155,230,13,36,94,9,152,4016,16,35,41,12,0,119,171
2016-06-13,17,40,18,190,226,13,39,106,18,164,3838,23,46,42,11,1,171,171
2016-06-14,10,55,16,163,233,22,37,143,16,159,3613,26,63,40,12,0,114,362
2016-06-15,12,54,15,142,234,11,36,117,15,290,3763,20,47,42,8,0,124,313
2016-06-16,12,45,14,167,239,14,37,128,22,180,3837,19,64,42,16,0,146,286
2016-06-17,11,39,13,166,230,10,37,98,14,164,3839,21,38,46,16,0,110,319
2016-06-18,14,58,21,236,215,18,25,87,20,314,3968,17,47,33,14,1,134,206
2016-06-19,27,37,18,179,231,15,42,93,18,244,4207,21,52,41,11,0,146,220
2016-06-20,7,46,11,212,246,13,29,101,7,150,3768,16,42,33,9,0,148,254
2016-06-21,17,36,14,219,251,12,33,120,12,212,3844,27,52,45,9,0,114,284
2016-06-22,17,44,5,158,219,7,30,108,6,224,3812,17,46,37,3,1,117,250
2016-06-23,29,41,6,133,291,7,35,125,11,191,3982,12,61,41,15,0,112,205
2016-06-24,14,47,8,174,228,13,25,84,9,185,3632,11,63,38,10,0,97,165
2016-06-25,6,33,15,163,303,9,45,83,17,207,3728,20,40,34,9,1,129,151
2016-06-26,20,41,5,130,332,12,32,110,10,132,3792,15,43,33,6,0,303,170
2016-06-27,19,38,17,181,368,13,29,92,17,199,3309,25,60,38,14,0,149,221
2016-06-28,9,59,6,155,221,11,27,102,10,186,3672,12,49,49,10,1,172,211
2016-06-29,14,38,10,166,282,11,32,119,12,221,5340,24,43,35,8,0,130,415
2016-06-30,11,37,9,203,244,14,29,101,10,183,3489,12,43,32,8,1,152,377
2016-07-01,13,39,5,207,273,9,29,92,12,192,3446,19,59,30,6,1,138,959
2016-07-02,19,59,16,185,254,10,39,88,10,204,3474,16,48,21,7,0,162,575
2016-07-03,21,50,7,183,303,10,31,67,12,309,3977,15,41,35,11,2,204,278
2016-07-04,11,44,17,201,258,11,40,98,28,161,4790,18,43,27,17,1,191,258
2016-07-05,17,49,4,182,271,13,38,113,6,162,4106,13,45,41,2,0,266,240
2016-07-06,17,57,13,163,312,11,54,91,9,189,4440,15,47,31,10,0,236,188
2016-07-07,8,41,6,134,327,15,27,111,5,215,4220,15,39,107,10,0,210,177
2016-07-08,13,41,8,139,233,9,29,104,12,192,3742,9,54,67,11,0,493,187
2016-07-09,10,32,20,153,240,15,33,128,12,129,6028,20,54,41,6,0,218,162
2016-07-10,14,38,8,135,291,20,21,110,10,145,4874,14,40,34,8,90,201,175
2016-07-11,14,37,10,187,213,9,33,107,14,189,3910,14,47,41,12,13,210,199
2016-07-12,20,57,18,139,244,24,30,108,20,153,3775,31,44,46,15,24,220,157
2016-07-13,11,41,8,139,235,11,32,111,14,186,3509,10,55,37,7,1,349,187
2016-07-14,27,37,8,155,218,14,33,100,9,217,3459,12,43,22,11,4,213,150
2016-07-15,27,47,8,177,237,16,35,73,9,237,3552,17,44,28,8,9,352,158
2016-07-16,18,30,5,156,254,6,23,95,9,159,3488,8,37,23,15,6,709,140
2016-07-17,19,42,13,180,336,12,49,109,15,128,3840,18,41,86,9,7,395,139
2016-07-18,18,32,6,381,283,9,39,110,18,181,3758,14,51,30,9,2,363,201
2016-07-19,13,49,6,142,249,17,34,116,11,203,3257,10,53,30,8,4,266,200
2016-07-20,12,54,2,155,238,9,29,85,7,151,3473,13,41,22,4,3,324,157
2016-07-21,10,58,8,193,214,5,35,85,9,165,3322,13,48,27,6,2,287,150
2016-07-22,17,33,7,155,213,16,34,99,15,203,3431,12,53,26,11,6,260,344
2016-07-23,15,45,8,158,273,13,24,85,7,113,3901,14,43,20,10,3,357,139
2016-07-24,14,50,10,139,333,15,29,91,13,112,3803,14,52,29,12,1,323,220
2016-07-25,17,51,13,171,259,16,37,88,13,155,4765,15,60,42,14,0,371,326
2016-07-26,29,42,15,172,241,17,39,112,19,143,3541,21,59,36,14,23,270,11208
2016-07-27,22,44,8,154,258,18,38,102,11,140,3751,11,48,30,8,3,303,371
2016-07-28,17,35,10,162,239,19,40,131,8,174,3869,13,37,35,15,4,280,184
2016-07-29,6,45,14,155,719,14,24,104,19,145,3821,17,52,41,22,2,273,160
2016-07-30,12,42,9,173,334,22,47,82,13,127,3722,15,43,21,31,1,275,153
2016-07-31,21,42,13,207,263,20,38,96,11,116,3797,19,53,39,24,2,271,172
2016-08-01,13,47,10,170,264,9,32,95,16,144,4080,12,47,53,6,2,258,167
2016-08-02,9,53,11,239,281,18,39,118,15,150,4122,19,164,41,19,2,281,218
2016-08-03,24,45,13,187,222,11,46,136,19,188,3359,24,57,42,13,2,270,154
2016-08-04,15,35,6,147,193,6,36,109,10,274,3447,10,59,55,8,3,243,162
2016-08-05,14,56,11,176,295,17,50,80,17,187,3607,22,38,44,14,1,265,140
2016-08-06,7,30,10,139,318,15,46,105,15,140,3983,15,54,30,19,1,290,128
2016-08-07,12,42,9,178,301,22,21,74,17,151,4175,9,42,39,14,40,536,136
2016-08-08,19,30,6,142,234,13,42,98,17,153,4133,10,61,24,5,40,315,149
2016-08-09,17,50,10,153,241,18,28,83,13,226,4459,21,81,29,17,64,247,126
2016-08-10,11,35,8,151,225,14,28,73,15,245,3620,9,51,27,6,53,255,138
2016-08-11,12,43,8,135,216,9,29,89,16,172,3572,12,45,24,6,36,243,138
2016-08-12,13,47,9,101,247,24,28,92,6,241,3435,11,65,29,9,32,271,121
2016-08-13,12,55,6,143,284,15,30,73,9,166,3380,14,51,18,2,34,276,109
2016-08-14,11,41,11,137,521,16,48,94,14,177,3752,15,59,38,17,25,213,164
2016-08-15,46,46,13,167,327,12,28,103,10,610,4301,16,53,27,17,21,339,140
2016-08-16,35,48,8,113,288,10,35,101,8,248,3691,14,47,27,11,16,269,187
2016-08-17,24,43,5,153,251,9,34,111,9,195,3819,7,55,34,6,30,256,149
2016-08-18,16,37,8,191,258,51,28,236,13,260,4405,16,47,28,15,2098,238,148
2016-08-19,13,38,11,201,282,16,29,110,13,242,5021,13,46,26,10,15,212,126
2016-08-20,18,58,16,181,261,18,32,87,12,207,4606,11,64,26,11,28,213,104
2016-08-21,11,32,23,134,282,30,41,117,19,153,5306,24,76,38,20,15,225,151
2016-08-22,66,53,9,159,225,19,26,99,17,182,4344,11,56,45,10,11,251,217
2016-08-23,35,54,13,154,248,14,38,99,23,172,4558,14,71,37,14,11,251,229
2016-08-24,29,63,15,136,254,16,38,122,7,180,4649,21,63,42,9,11,236,186
2016-08-25,10,52,8,152,389,11,52,118,12,196,4882,8,84,45,8,10,258,132
2016-08-26,15,58,13,158,304,13,41,115,22,161,4506,17,57,33,11,8,231,180
2016-08-27,6,50,12,121,279,11,42,103,15,105,4320,14,61,33,9,13,232,241
2016-08-28,22,63,10,145,398,13,36,96,12,113,5046,14,54,34,11,5,298,270
2016-08-29,28,63,13,159,257,25,38,158,19,415,4542,17,66,60,11,70,266,244
2016-08-30,29,56,9,172,269,8,30,132,18,416,4039,17,66,42,13,32,251,249
2016-08-31,17,43,5,128,318,12,30,136,18,214,3750,8,60,40,8,14,202,232
2016-09-01,12,71,13,158,287,21,30,138,15,195,3637,19,68,34,9,15,209,285
2016-09-02,10,44,10,166,253,17,51,94,22,194,3814,18,46,47,10,7,210,448
2016-09-03,12,56,9,152,272,24,37,86,11,210,3781,16,56,33,15,4,186,225
2016-09-04,17,64,13,115,266,18,27,102,11,185,4598,6,50,25,10,1,339,228
2016-09-05,12,210,18,215,326,24,26,132,23,159,4631,16,64,63,8,3,256,240
2016-09-06,17,70,12,173,298,23,44,145,16,136,3651,17,58,46,5,8,226,256
2016-09-07,12,56,7,151,256,9,20,147,8,211,3444,10,59,34,7,8,266,256
2016-09-08,8,61,12,158,223,14,43,143,11,213,3673,18,60,35,8,9,533,307
2016-09-09,4,56,17,142,258,12,32,143,20,187,3942,18,67,43,13,12,440,282
2016-09-10,11,62,13,127,269,8,32,108,11,152,4473,11,44,52,8,4,350,220
2016-09-11,19,68,6,153,332,12,28,157,6,17006,4493,9,53,28,5,7,368,280
2016-09-12,10,45,12,136,258,11,37,226,12,1798,3683,16,62,53,19,7,315,304
2016-09-13,16,45,16,140,288,16,45,176,16,306,4789,21,80,66,18,3,272,272
2016-09-14,11,35,17,140,261,18,22,126,22,226,5313,20,46,55,15,1,244,319
2016-09-15,11,60,13,103,245,47,25,138,7,217,4627,14,52,56,9,7,200,287
2016-09-16,8,42,13,116,282,14,30,151,15,148,3776,21,59,55,10,1,242,280
2016-09-17,14,62,14,117,252,15,22,101,13,842,3949,13,44,136,13,15,216,212
2016-09-18,15,60,15,135,343,19,38,147,15,199,4540,19,50,62,17,3,257,242
2016-09-19,16,57,11,117,273,15,37,187,11,192,4070,11,64,85,5,9,239,316
2016-09-20,16,50,13,121,240,15,36,152,14,189,4046,8,60,76,9,1,201,321
2016-09-21,13,52,10,137,274,12,26,157,12,182,3693,18,53,87,10,2,191,325
2016-09-22,10,59,175,149,497,14,272,390,108,335,3512,313,249,398,9,2,518,824
2016-09-23,10,48,6,587,226,221,19,319,17,286,3593,14,47,125,238,11,413,308
2016-09-24,10,45,8,107,227,10,27,126,11,183,4771,10,61,119,12,5,190,197
2016-09-25,11,41,10,115,250,10,17,122,6,153,5314,12,56,97,11,9,220,258
2016-09-26,16,49,13,140,259,19,37,165,12,172,4444,19,71,87,12,4,185,376
2016-09-27,16,42,7,168,207,12,32,164,8,217,3596,13,62,73,8,6,178,342
2016-09-28,20,37,12,172,225,14,21,205,16,352,3460,21,67,59,18,4,221,366
2016-09-29,17,45,21,168,212,16,39,226,14,246,4262,22,61,72,18,3,202,277
2016-09-30,14,39,6,163,208,12,19,191,15,163,4304,11,57,71,14,6,200,233
2016-10-01,25,26,11,157,291,10,15,82,15,586,3722,13,44,74,10,3,175,207
2016-10-02,9,47,7,135,336,16,23,123,10,290,3648,12,54,66,13,1,181,285
2016-10-03,15,54,16,128,996,12,16,211,10,2158,3706,13,64,61,9,6,209,272
2016-10-04,29,74,11,106,413,15,32,173,15,677,3949,18,58,50,11,3,432,231
2016-10-05,14,67,9,160,346,9,18,211,5,185,3268,11,59,49,10,2,298,228
2016-10-06,21,56,8,151,326,10,28,213,7,401,3423,6,52,66,12,4,171,187
2016-10-07,14,57,13,152,326,13,22,150,11,257,3245,21,53,56,7,2,180,191
2016-10-08,9,53,12,119,365,15,30,127,14,172,3550,21,45,71,15,6,159,173
2016-10-09,12,71,8,143,543,12,26,140,11,148,3917,10,52,77,12,0,171,178
2016-10-10,5,54,12,170,382,10,32,185,13,192,3566,23,68,67,10,10,154,219
2016-10-11,14,77,10,144,358,13,31,185,12,140,3332,17,61,78,8,5,167,238
2016-10-12,15,73,12,127,446,10,29,255,12,167,3584,31,44,55,10,4,173,239
2016-10-13,6,48,7,124,307,16,18,216,12,197,3568,14,71,37,10,7,128,210
2016-10-14,18,56,18,153,337,16,35,126,19,158,3787,14,62,48,9,6,141,193
2016-10-15,13,51,11,151,315,16,30,115,18,124,3328,14,37,41,16,5,133,139
2016-10-16,9,71,8,150,323,9,38,122,17,1478,3677,18,54,51,10,2,171,186
2016-10-17,12,60,11,140,261,13,29,198,11,666,3771,18,49,34,20,7,190,285
2016-10-18,15,70,11,124,253,18,34,221,20,251,3169,19,74,40,16,6,187,237
2016-10-19,16,61,5,129,270,11,24,179,17,226,3613,12,70,37,8,2,191,231
2016-10-20,12,57,11,122,302,14,34,175,11,163,3576,17,48,105,9,5,152,207
2016-10-21,17,75,15,132,259,10,23,114,11,168,3513,11,58,53,12,0,187,233
2016-10-22,14,37,4,129,290,14,13,87,7,246,3497,12,56,45,14,3,158,199
2016-10-23,71,62,12,172,304,13,27,125,8,145,4557,15,52,80,9,1,166,229
2016-10-24,27,62,8,174,255,24,23,196,13,190,3455,16,56,49,6,3,147,269
2016-10-25,14,76,17,162,263,15,30,207,13,173,3403,16,69,58,13,3,161,260
2016-10-26,9,67,12,151,277,12,33,166,11,210,3363,10,84,61,12,3,155,293
2016-10-27,15,66,13,165,267,9,15,178,22,180,3812,12,79,44,9,3,140,307
2016-10-28,7,90,21,125,242,18,24,149,26,440,3643,47,63,59,16,8,170,205
2016-10-29,11,101,6,144,252,12,22,113,7,525,3613,12,34,53,8,11,148,208
2016-10-30,14,87,8,131,217,16,23,121,17,350,4444,13,73,38,32,32,169,256
2016-10-31,17,79,15,169,224,15,18,163,10,282,3934,9,80,40,18,4,153,274
2016-11-01,13,79,18,117,287,14,21,182,17,286,3873,14,99,57,14,15,155,370
2016-11-02,8,67,10,108,260,9,21,179,15,707,3800,15,101,87,12,6,180,493
2016-11-03,10,88,18,118,267,19,22,180,14,207,3708,17,118,55,9,4,178,490
2016-11-04,18,93,10,140,271,10,21,143,16,187,3873,15,76,66,7,13,152,482
2016-11-05,15,49,3,138,263,17,22,91,7,118,4065,3,78,50,9,19,140,269
2016-11-06,16,66,7,144,351,9,21,122,8,155,4387,12,62,33,6,19,146,422
2016-11-07,7,66,12,183,229,11,31,208,14,242,4159,13,64,44,8,40,166,545
2016-11-08,9,67,20,129,218,24,24,216,19,195,3712,24,78,85,17,6,145,660
2016-11-09,21,41,10,91,242,10,27,173,19,127,2587,16,94,36,11,4,124,571
2016-11-10,42,75,11,126,234,15,22,174,18,169,3388,8,132,34,10,7,151,798
2016-11-11,8,66,9,132,242,13,23,131,13,126,4450,11,85,28,12,2,138,1877
2016-11-12,11,63,2,162,237,10,15,85,19,1351,4627,10,75,56,11,16,180,855
2016-11-13,15,69,11,135,320,16,22,107,13,1018,4117,12,74,44,10,18,140,503
2016-11-14,12,73,12,159,298,18,38,190,18,252,3961,13,97,64,19,15,152,417
2016-11-15,8,59,11,130,250,15,23,209,26,194,3564,22,116,43,11,5,157,293
2016-11-16,23,78,11,132,279,10,14,191,22,706,3855,19,74,48,8,6,139,274
2016-11-17,22,57,8,132,277,9,13,174,11,357,3947,8,102,47,14,4,160,330
2016-11-18,12,69,10,139,279,11,16,183,15,238,3842,14,47,50,17,4,142,316
2016-11-19,21,41,12,147,276,15,25,116,26,2057,4125,15,63,38,15,6,147,1443
2016-11-20,28,57,8,149,296,19,18,394,18,230,4322,11,59,54,8,3,177,271
2016-11-21,10,59,9,153,326,13,17,186,21,194,3717,9,66,46,6,8,176,268
2016-11-22,17,58,7,166,285,16,19,165,16,195,3845,12,58,50,7,7,250,237
2016-11-23,8,58,8,173,222,6,11,167,16,224,4369,5,44,56,5,18,178,165
2016-11-24,12,59,13,207,263,15,15,124,23,170,3801,12,59,83,11,5,175,235
2016-11-25,24,54,12,187,265,9,25,122,15,194,4307,8,46,48,10,4,173,213
2016-11-26,12,71,15,191,337,14,30,184,18,134,4068,12,63,55,15,8,214,144
2016-11-27,10,53,12,248,344,18,24,214,12,226,4235,14,53,55,18,5,957,226
2016-11-28,17,67,32,176,340,19,18,193,11,384,3973,14,70,53,8,2,219,222
2016-11-29,20,66,11,162,300,14,21,187,16,229,3530,14,88,61,16,2,353,221
2016-11-30,19,55,8,162,269,14,16,193,15,173,3698,8,58,67,10,4,235,238
2016-12-01,11,63,11,141,254,9,18,298,12,173,3599,15,71,62,11,28,177,229
2016-12-02,16,54,12,138,989,17,18,127,16,218,4639,19,67,45,13,83,302,226
2016-12-03,12,65,10,147,325,10,43,132,16,147,4224,12,75,40,12,13,200,167
2016-12-04,12,74,19,159,317,22,32,152,24,141,5130,21,53,73,13,74,162,186
2016-12-05,15,83,13,168,439,17,31,171,20,140,4520,15,79,41,12,88,155,205
2016-12-06,13,71,12,154,730,14,18,239,21,196,4181,17,69,66,15,16,162,229
2016-12-07,13,75,7,179,505,11,30,175,7,183,3590,12,62,54,9,25,164,185
2016-12-08,13,84,11,164,388,12,17,202,22,196,3968,16,69,66,16,17,170,178
2016-12-09,14,63,18,213,269,22,27,186,27,160,4054,19,67,76,24,10,161,199
2016-12-10,15,53,11,199,294,12,24,124,14,133,4601,12,63,63,15,29,133,153
2016-12-11,15,58,11,156,351,12,42,160,16,154,3903,13,67,104,11,38,153,147
2016-12-12,14,76,17,158,356,19,30,198,23,427,3845,19,88,88,14,33,180,218
2016-12-13,18,56,10,126,280,9,19,266,13,222,3642,14,81,65,15,77,192,247
2016-12-14,22,64,14,130,260,18,13,183,14,336,3824,12,85,236,8,29,163,203
2016-12-15,13,45,9,191,304,14,13,174,12,338,3742,10,69,96,23,9,155,214
2016-12-16,6,51,15,225,286,28,27,143,19,216,3657,15,69,64,11,33,139,177
2016-12-17,14,48,15,197,328,20,21,128,12,275,4310,17,45,48,16,23,172,158
2016-12-18,15,58,9,219,324,19,22,112,13,194,4172,13,86,62,23,21,147,152
2016-12-19,19,62,9,180,262,9,22,162,12,214,3947,11,89,75,17,14,211,177
2016-12-20,12,59,7,194,267,9,21,104,10,224,3664,13,69,66,16,8,183,195
2016-12-21,15,50,9,197,293,20,15,131,14,237,3534,10,80,65,13,35,165,222
2016-12-22,10,56,12,241,305,17,25,114,22,233,3701,15,47,70,17,90,228,213
2016-12-23,14,93,11,235,286,12,21,83,19,314,3271,12,65,54,14,19,114,147
2016-12-24,11,50,5,255,308,15,22,82,6,229,3290,7,2087,40,362,16,129,127
2016-12-25,15,45,210,184,352,14,12,75,12,190,3339,469,126,43,15,8,105,174
2016-12-26,14,43,7,736,342,9,19,606,107,260,3648,6,405,542,7,33,133,193
2016-12-27,20,62,10,219,824,211,18,91,9,368,4226,12,89,51,10,13,168,309
2016-12-28,13,70,11,180,308,13,18,98,16,566,4318,19,75,50,12,57,190,226
2016-12-29,28,86,10,212,297,11,20,113,19,339,4249,18,141,58,19,19,210,211
2016-12-30,11,49,9,190,594,9,13,81,7,293,4170,12,62,38,6,36,293,238
2016-12-31,20,39,5,193,231,5,11,83,11,344,4726,8,63,35,21,14,173,171
2017-01-01,15,49,8,174,272,9,14,113,8,277,5106,8,46,32,7,12,159,188
2017-01-02,31,56,8,236,292,8,15,130,7,237,5496,12,68,47,10,26,187,274
2017-01-03,20,74,12,247,294,9,27,135,7,264,4366,13,75,67,5,21,184,329
2017-01-04,16,52,9,237,269,5,27,140,12,330,4202,13,66,56,11,21,181,336
2017-01-05,19,46,17,263,289,18,16,107,21,293,4131,17,66,63,12,59,173,268
2017-01-06,15,115,10,249,392,18,27,146,12,281,4629,16,68,71,12,28,146,235
2017-01-07,15,57,10,234,263,8,25,112,8,284,5207,8,50,70,6,23,153,199
2017-01-08,16,48,21,301,359,10,15,106,9,305,5569,12,65,66,12,13,213,240
2017-01-09,11,51,6,339,287,6,20,111,7,427,4288,12,61,179,4,7,197,225
2017-01-10,9,69,11,294,262,16,23,120,10,450,4266,16,67,63,11,11,174,257
2017-01-11,17,66,10,319,289,12,16,106,17,288,3980,10,72,54,7,13,566,306
2017-01-12,27,57,13,408,320,18,27,148,33,403,3994,18,62,69,15,11,541,298
2017-01-13,11,56,7,338,307,6,13,122,8,276,5543,15,76,34,6,14,176,309
2017-01-14,10,90,6,314,319,9,16,123,10,206,5287,7,71,49,13,5,178,321
2017-01-15,15,89,7,320,291,10,22,115,14,243,6028,10,61,53,15,7,248,322
2017-01-16,12,60,23,288,304,18,24,176,19,300,4584,14,65,61,19,11,179,255
2017-01-17,25,72,10,228,367,7,19,137,19,416,4541,19,65,82,9,10,231,316
2017-01-18,20,65,5,194,287,6,18,147,14,429,4947,5,53,73,9,6,169,308
2017-01-19,12,47,13,186,326,14,22,216,17,6038,4106,14,62,72,18,11,201,287
2017-01-20,15,43,72,174,288,12,16,157,9,1876,4142,11,59,80,14,28,119,251
2017-01-21,19,52,14,180,309,14,15,117,14,437,4650,10,61,52,9,24,144,217
2017-01-22,6,70,11,170,348,18,21,135,13,282,4282,17,86,56,14,5,213,247
2017-01-23,25,89,13,173,252,16,32,194,18,324,5124,17,80,77,13,6,187,278
2017-01-24,18,69,8,243,351,19,23,183,9,512,4244,23,73,70,16,48,191,261
2017-01-25,10,77,18,151,250,12,26,159,15,344,4215,11,79,63,11,59,177,222
2017-01-26,16,62,12,153,324,21,24,146,16,395,5122,14,84,55,10,19,245,249
2017-01-27,11,78,7,156,304,11,30,119,14,282,4895,11,46,81,12,18,221,230
2017-01-28,65,73,19,149,333,10,66,92,16,226,5154,15,55,46,12,46,148,204
2017-01-29,31,59,17,159,311,9,14,114,11,239,5267,10,59,71,8,23,173,242
2017-01-30,20,73,7,154,246,14,22,169,9,303,4689,10,67,49,8,70,174,262
2017-01-31,18,81,7,149,261,10,32,192,13,299,4217,10,77,47,10,45,147,293
2017-02-01,24,85,24,139,247,14,37,218,15,302,4762,26,84,73,17,18,156,272
2017-02-02,20,102,5,122,273,5,11,191,13,288,5190,7,78,44,8,42,186,334
2017-02-03,19,105,6,124,233,8,13,200,13,406,6521,6,93,52,12,55,175,253
2017-02-04,20,93,13,157,255,15,20,127,16,205,5332,14,61,32,10,61,178,210
2017-02-05,20,75,13,134,348,26,25,161,12,258,5632,20,65,46,15,32,238,272
2017-02-06,18,63,8,156,312,12,17,194,14,222,5037,16,83,47,11,43,239,233
2017-02-07,16,48,13,168,280,18,22,199,17,264,4677,15,73,36,12,54,537,292
2017-02-08,24,44,16,206,262,19,30,207,15,285,4607,25,91,54,13,38,296,263
2017-02-09,18,73,15,163,264,17,24,186,26,263,4858,18,85,69,16,34,275,260
2017-02-10,25,49,9,138,250,13,29,185,9,184,5509,14,74,52,7,26,250,215
2017-02-11,9,63,11,120,372,12,31,111,15,161,5984,17,71,30,9,24,254,279
2017-02-12,10,60,8,174,363,16,19,120,11,118,5754,10,58,38,7,15,228,282
2017-02-13,23,59,13,161,272,14,32,218,11,1018,4770,15,64,43,11,31,236,262
2017-02-14,21,68,19,132,282,13,23,194,17,538,4172,11,62,50,10,9,224,256
2017-02-15,17,55,17,172,283,21,42,214,23,305,4290,24,88,54,17,13,269,383
2017-02-16,11,86,17,162,279,18,24,225,21,254,4346,24,72,63,14,14,242,336
2017-02-17,12,78,10,173,287,13,15,224,16,217,4462,14,95,37,12,36,218,269
2017-02-18,14,72,14,236,307,11,23,104,20,262,5035,15,73,65,18,130,362,239
2017-02-19,10,68,8,215,312,13,32,122,15,158,8667,16,78,61,17,114,231,288
2017-02-20,25,55,10,193,284,10,31,194,8,229,21434,12,97,45,12,138,265,274
2017-02-21,61,142,6,152,302,8,28,259,9,214,23365,17,78,66,4,98,224,311
2017-02-22,63,183,13,152,276,10,18,288,15,195,7302,9,198,50,9,120,252,267
2017-02-23,35,155,10,193,304,16,24,271,19,178,6558,14,120,38,25,111,182,319
2017-02-24,19,135,8,145,417,22,34,267,12,190,5942,20,84,36,16,92,230,286
2017-02-25,25,134,10,136,1799,15,15,126,9,177,5910,21,87,51,11,69,197,253
2017-02-26,46,166,17,168,536,21,25,204,25,158,6030,27,100,50,20,86,229,272
2017-02-27,53,163,11,156,294,13,30,256,9,170,4679,21,109,53,13,85,209,304
2017-02-28,42,175,11,173,307,18,27,240,31,165,4560,13,101,34,15,80,157,308
2017-03-01,57,198,19,138,265,23,49,258,17,183,4450,24,134,48,18,93,176,297
2017-03-02,148,185,11,132,249,10,26,273,14,212,4454,10,96,50,10,92,138,303
2017-03-03,143,174,11,135,292,12,24,240,8,159,4389,15,113,65,7,89,135,281
2017-03-04,99,148,10,138,312,9,19,143,19,130,5306,14,74,30,12,67,143,236
2017-03-05,93,137,13,141,350,10,14,153,12,181,5794,16,84,56,14,73,190,339
2017-03-06,162,184,3,142,278,9,16,280,17,173,4996,18,93,73,5,124,166,366
2017-03-07,157,130,20,139,280,17,32,231,16,452,4364,19,118,47,10,97,164,424
2017-03-08,119,83,14,176,333,12,36,287,16,536,4361,17,142,48,12,105,166,417
2017-03-09,122,85,42,188,305,27,21,228,19,288,4429,17,97,44,11,104,155,482
2017-03-10,128,117,42,191,325,17,27,211,22,185,4099,29,97,52,16,97,149,459
2017-03-11,39,65,13,159,302,13,26,121,16,131,4574,15,77,34,10,82,130,448
2017-03-12,26,73,14,190,321,14,21,131,11,157,5112,16,77,57,11,83,195,287
