Date,"Ontario Highway 71","Steller's sea cow","Percy Chapman","Northern England","Oxygen","2014 Lamar Hunt U.S. Open Cup Final","Corvus (constellation)","Peter Martyr Vermigli","California Diamond Jubilee half dollar"
2016-12-11,10,1137,14,504,3502,53,86,30,19
2016-12-12,16,695,18,473,5426,27,157,41,33
2016-12-13,11,616,12,478,5785,18,148,30,16
2016-12-14,10,587,10,422,5680,15,123,26,19
2016-12-15,16,671,12,421,4920,12,125,45,11
2016-12-16,15,550,15,408,3899,13,106,40,21
2016-12-17,21,400,16,437,2449,14,89,40,14
2016-12-18,11,491,13,443,2883,7,99,34,17
2016-12-19,13,524,10,466,3921,10,116,29,11
2016-12-20,13,518,15,460,3658,14,105,26,17
2016-12-21,11,485,8,540,3453,9,107,23,16
2016-12-22,15,499,21,574,2999,13,84,26,20
2016-12-23,12,604,14,447,2512,8,90,28,19
2016-12-24,7,453,17,395,2051,170,87,22,9
2016-12-25,12,535,511,363,1988,13,240,29,97
2016-12-26,178,511,10,461,2722,14,88,19,13
2016-12-27,14,547,12,403,2455,7,94,28,15
2016-12-28,10,526,20,445,2650,9,111,31,23
2016-12-29,10,543,12,458,2816,10,108,42,20
2016-12-30,7,569,9,402,2532,3,94,28,10
2016-12-31,4,513,9,347,2204,4,104,23,16
2017-01-01,8,482,7,365,2125,10,84,28,14
2017-01-02,9,557,10,536,3036,7,120,27,9
2017-01-03,19,797,10,480,3998,6,123,40,10
2017-01-04,8,603,14,516,4489,10,130,36,18
2017-01-05,14,560,33,483,4846,12,150,31,21
2017-01-06,17,629,12,442,4384,13,151,29,14
2017-01-07,7,578,12,459,2833,7,137,20,15
2017-01-08,11,715,14,512,3282,9,123,28,12
2017-01-09,12,898,12,493,6066,5,149,25,11
2017-01-10,9,556,15,623,5504,10,172,25,19
2017-01-11,9,587,28,536,5539,8,206,27,14
2017-01-12,15,624,18,579,6001,14,191,24,20
2017-01-13,10,589,20,482,4868,9,1807,35,15
2017-01-14,9,581,9,484,3048,7,144,34,16
2017-01-15,12,666,19,481,3579,8,150,28,16
2017-01-16,11,571,23,543,4588,16,170,38,23
2017-01-17,13,604,26,538,6063,7,183,38,22
2017-01-18,6,680,18,535,8358,25,139,35,16
2017-01-19,18,666,30,490,6813,13,153,38,22
2017-01-20,6,691,26,452,5318,7,151,33,20
2017-01-21,10,562,11,369,3031,6,115,29,16
2017-01-22,14,680,30,466,3907,11,101,28,18
2017-01-23,19,634,23,590,6031,18,116,1216,31
2017-01-24,10,732,21,599,6114,7,154,47,14
2017-01-25,12,763,9,525,6036,10,163,44,19
2017-01-26,14,989,14,517,5998,11,157,43,18
2017-01-27,9,731,10,441,4906,8,116,43,17
2017-01-28,11,529,14,426,2998,15,109,35,14
2017-01-29,7,652,7,488,3646,6,185,26,14
2017-01-30,9,712,11,483,5865,11,148,44,7
2017-01-31,8,644,8,491,6062,7,153,33,15
2017-02-01,13,616,22,396,6245,11,166,45,24
2017-02-02,7,577,3,512,5899,1,137,43,14
2017-02-03,13,573,9,510,5099,7,120,29,11
2017-02-04,18,572,6,470,3119,6,92,29,15
2017-02-05,12,620,14,499,3759,13,134,28,21
2017-02-06,6,611,20,478,5569,6,126,31,20
2017-02-07,12,654,18,490,6229,14,134,52,27
2017-02-08,22,630,25,528,6183,21,144,47,19
2017-02-09,13,643,14,479,5894,17,161,33,21
2017-02-10,11,621,9,460,4859,8,178,36,13
2017-02-11,14,495,13,390,3027,9,107,38,17
2017-02-12,11,644,13,505,3637,4,132,34,15
2017-02-13,10,742,45,505,5540,9,137,27,16
2017-02-14,14,678,26,449,5730,6,155,41,14
2017-02-15,16,705,40,706,5885,14,137,50,21
2017-02-16,10,741,220,466,5756,15,147,51,26
2017-02-17,14,777,49,475,4795,9,133,39,22
2017-02-18,13,579,29,461,3085,9,118,40,27
2017-02-19,6,651,45,544,3492,8,209,33,27
2017-02-20,8,661,28,528,4922,11,224,33,15
2017-02-21,7,726,36,559,5686,7,238,18,13
2017-02-22,12,1410,27,533,5815,9,262,37,18
2017-02-23,19,3105,22,599,5682,11,232,34,23
2017-02-24,10,3988,14,549,5490,7,221,34,18
2017-02-25,11,4070,14,438,2873,8,199,24,15
2017-02-26,15,2214,19,591,3765,16,234,27,25
2017-02-27,9,1222,16,506,5644,5,224,29,12
2017-02-28,11,1099,12,549,5953,11,228,26,18
2017-03-01,15,905,16,489,5949,12,253,38,19
2017-03-02,10,819,13,574,6115,6,254,31,12
2017-03-03,16,788,11,576,4766,8,219,36,10
2017-03-04,9,701,8,508,3122,8,198,18,18
2017-03-05,9,714,13,588,3528,9,174,31,23
2017-03-06,9,844,3,617,5578,6,240,23,22
2017-03-07,13,723,18,619,5738,14,237,32,17
2017-03-08,20,680,19,621,5473,13,238,31,20
2017-03-09,14,681,23,666,5276,11,235,34,23
2017-03-10,14,662,20,622,4416,16,231,27,31
2017-03-11,10,580,16,460,2706,8,182,39,17
2017-03-12,11,639,12,598,3252,7,220,16,15
2017-03-13,15,716,18,714,4672,9,193,29,15
2017-03-14,12,647,82,701,4828,10,259,26,22
2017-03-15,14,636,49,569,5009,9,223,32,12
2017-03-16,8,686,23,617,5049,10,217,40,8
2017-03-17,9,643,17,669,4149,22,417,29,13
2017-03-18,10,570,12,544,2598,14,370,25,17
2017-03-19,4,714,15,543,3777,7,215,41,21
2017-03-20,5,902,10,597,4819,8,230,31,12
2017-03-21,6,722,19,601,5254,14,251,47,21
2017-03-22,14,676,18,556,5384,13,249,43,18
2017-03-23,21,625,26,584,4994,17,241,42,37
2017-03-24,10,631,15,528,3976,9,190,23,13
2017-03-25,20,610,17,461,2665,16,139,27,23
2017-03-26,18,699,9,546,3224,5,167,21,13
2017-03-27,7,534,33,620,4728,9,178,33,18
2017-03-28,7,554,11,564,4781,11,178,25,18
2017-03-29,10,699,16,557,4782,11,199,38,27
2017-03-30,20,780,21,622,4440,17,280,38,18
2017-03-31,8,898,5,454,3682,16,205,36,58
2017-04-01,13,720,11,420,2555,15,187,28,21
2017-04-02,14,688,16,472,2852,17,221,43,30
2017-04-03,6,787,12,470,4293,6,221,30,15
2017-04-04,4,617,11,483,4413,7,214,42,15
2017-04-05,9,648,13,487,5038,7,181,29,17
2017-04-06,15,731,13,501,4355,9,247,29,21
2017-04-07,18,548,9,396,3615,12,283,22,19
2017-04-08,13,554,15,373,3071,10,177,22,14
2017-04-09,12,781,10,445,2631,9,205,24,15
2017-04-10,18,657,20,500,3801,14,235,35,31
2017-04-11,5,617,15,451,3923,10,239,45,16
2017-04-12,13,1073,16,425,3801,13,204,51,23
2017-04-13,14,680,16,423,3449,13,225,35,22
2017-04-14,11,582,18,428,2797,12,177,21,16
2017-04-15,9,472,26,373,2251,8,206,23,16
2017-04-16,10,536,27,462,2533,15,168,26,17
2017-04-17,8,618,16,483,3609,5,241,32,12
2017-04-18,20,635,23,513,4118,10,244,40,28
2017-04-19,5,802,19,436,4001,7,300,30,22
2017-04-20,12,790,24,489,4334,9,207,34,14
2017-04-21,5,631,11,485,3558,11,215,21,16
2017-04-22,10,536,21,517,2582,19,198,26,27
2017-04-23,8,883,12,471,2893,11,204,23,14
2017-04-24,13,1038,14,603,4193,8,245,20,16
2017-04-25,8,780,17,603,4528,13,267,32,16
2017-04-26,15,699,15,575,4545,10,188,26,9
2017-04-27,14,670,20,488,4497,13,247,42,20
2017-04-28,10,599,12,451,3800,10,283,35,19
2017-04-29,11,470,12,405,2496,7,161,32,14
2017-04-30,10,587,11,447,2619,6,207,26,14
2017-05-01,12,667,13,511,3932,12,215,37,16
2017-05-02,19,632,23,502,5350,12,229,38,19
2017-05-03,15,542,17,503,4380,17,200,36,20
2017-05-04,12,615,7,436,4224,6,230,23,15
2017-05-05,13,579,12,478,3615,13,231,30,19
2017-05-06,16,463,17,422,2342,11,176,29,19
2017-05-07,4,481,5,397,2815,8,181,35,12
2017-05-08,14,609,14,479,4419,15,168,46,22
2017-05-09,8,664,11,626,4337,3,237,27,17
2017-05-10,11,547,15,490,4244,9,193,28,10
2017-05-11,14,567,13,652,4212,11,178,36,21
2017-05-12,14,803,13,451,3738,13,177,38,13
2017-05-13,8,464,9,404,2590,6,172,21,11
2017-05-14,11,521,12,477,2820,6,193,14,12
2017-05-15,17,722,19,561,4429,12,255,38,16
2017-05-16,10,652,15,529,4540,16,225,35,15
2017-05-17,19,620,21,515,4509,13,280,34,24
2017-05-18,13,620,15,536,4195,15,256,42,21
2017-05-19,12,582,18,486,3426,16,226,46,16
2017-05-20,21,468,19,467,3190,16,175,27,22
2017-05-21,29,530,19,472,3060,15,206,39,18
2017-05-22,9,2862,13,561,4847,22,444,39,16
2017-05-23,14,624,12,944,4312,11,460,28,27
2017-05-24,12,595,14,633,4136,13,237,45,13
2017-05-25,11,519,13,480,3923,9,189,35,23
2017-05-26,14,438,17,420,3111,19,204,39,19
2017-05-27,7,411,11,401,2406,7,172,17,15
2017-05-28,8,438,22,442,2741,6,178,30,45
2017-05-29,11,2450,13,521,3089,14,160,27,24
2017-05-30,14,697,23,491,3799,18,195,37,24
2017-05-31,11,648,16,592,4330,11,203,40,33
2017-06-01,19,657,29,502,3773,19,191,37,17
2017-06-02,10,516,23,400,4115,7,194,25,22
2017-06-03,8,424,11,422,3294,8,129,18,17
2017-06-04,4,489,15,427,2682,3,142,20,9
2017-06-05,8,659,19,716,3903,5,144,20,10
2017-06-06,10,519,24,785,3855,5,82,26,10
2017-06-07,32,867,19,631,4042,13,110,39,23
2017-06-08,17,720,17,522,3718,17,114,37,26
2017-06-09,11,578,14,512,2963,14,94,35,20
2017-06-10,6,470,12,462,2378,6,102,22,8
2017-06-11,10,3899,12,407,2652,13,82,22,12
2017-06-12,13,537,19,454,3491,10,120,32,15
2017-06-13,20,520,17,443,3828,16,110,34,19
2017-06-14,15,506,13,432,3685,20,103,21,16
2017-06-15,17,616,14,440,4362,32,121,31,13
2017-06-16,9,455,8,452,2845,8,98,17,12
2017-06-17,13,439,17,385,2488,11,88,25,18
2017-06-18,12,450,17,402,2509,12,93,24,16
2017-06-19,10,449,9,458,3453,7,96,17,11
2017-06-20,11,1549,12,400,3578,7,93,24,10
2017-06-21,13,664,8,411,3411,5,115,19,16
2017-06-22,18,594,18,467,3214,14,102,31,14
2017-06-23,13,502,18,385,2617,11,105,22,11
2017-06-24,6,439,6,330,2058,6,96,38,12
2017-06-25,12,473,16,430,2865,13,157,40,7
2017-06-26,10,566,6,412,3726,5,130,21,26
2017-06-27,9,605,6,453,3114,9,120,50,9
2017-06-28,13,561,18,513,3300,16,140,21,22
2017-06-29,7,502,14,429,3081,31,91,23,13
2017-06-30,15,433,20,420,2562,12,86,27,14
2017-07-01,9,468,9,432,2194,9,100,17,13
2017-07-02,13,423,8,526,2431,9,116,16,12
2017-07-03,4,577,9,478,3175,7,102,17,17
2017-07-04,16,485,16,605,3023,7,105,16,20
2017-07-05,12,529,10,527,3336,6,106,20,8
2017-07-06,13,555,25,466,3002,10,90,52,14
2017-07-07,20,455,14,428,2654,7,91,63,11
2017-07-08,16,511,12,421,2055,6,98,31,13
2017-07-09,10,475,10,440,2291,8,85,24,24
2017-07-10,19,563,15,509,3043,8,81,20,17
2017-07-11,10,486,19,529,2989,5,94,32,12
2017-07-12,15,606,18,494,3075,11,103,27,16
2017-07-13,11,810,7,472,3136,5,86,36,13
2017-07-14,6,494,12,398,2620,10,100,41,17
2017-07-15,61,429,14,416,2137,8,101,27,14
2017-07-16,13,527,17,448,2368,12,140,25,21
2017-07-17,7,724,7,573,3107,9,99,27,9
2017-07-18,17,642,8,596,3200,14,115,17,14
2017-07-19,12,551,13,710,3251,8,109,28,20
2017-07-20,9,634,18,571,3336,4,87,33,18
2017-07-21,15,496,13,1692,2820,10,107,51,17
2017-07-22,19,471,16,537,2456,8,96,16,12
2017-07-23,15,659,10,545,2719,13,107,31,19
2017-07-24,18,1240,7,553,2978,8,101,39,17
2017-07-25,13,752,11,586,2984,7,120,30,20
2017-07-26,12,830,20,558,3137,18,86,34,18
2017-07-27,18,646,9,1553,3134,14,103,22,50
2017-07-28,17,738,18,520,2724,16,109,24,14
2017-07-29,9,582,11,460,2161,10,88,23,9
2017-07-30,7,589,8,438,2589,3,82,16,16
2017-07-31,10,546,41,532,3224,9,97,26,13
2017-08-01,18,593,19,500,3380,13,102,25,21
2017-08-02,11,635,21,499,3307,11,94,25,19
2017-08-03,22,554,16,506,3203,17,91,29,12
2017-08-04,16,513,18,443,4327,16,100,37,15
2017-08-05,17,723,21,378,2433,17,98,21,22
2017-08-06,14,637,19,402,2532,13,88,27,15
2017-08-07,16,656,16,456,2935,9,102,39,18
2017-08-08,21,567,11,635,3056,12,116,87,18
2017-08-09,15,532,13,558,2989,15,97,39,20
2017-08-10,14,468,15,644,3046,19,148,36,17
2017-08-11,14,474,14,462,2616,24,88,71,22
2017-08-12,11,532,10,385,2441,10,84,18,18
2017-08-13,12,475,12,433,2771,6,121,31,9
2017-08-14,14,600,22,541,3958,11,112,33,22
2017-08-15,23,422,13,655,3237,11,109,31,21
2017-08-16,26,1308,20,534,3302,19,113,30,27
2017-08-17,6,17637,10,466,3606,11,111,23,10
2017-08-18,15,1211,18,481,2841,17,112,28,29
2017-08-19,49,580,40,414,2391,12,72,62,12
2017-08-20,16,535,29,500,3814,7,91,21,17
2017-08-21,23,495,26,502,3257,18,83,23,11
2017-08-22,18,541,12,597,3559,6,123,28,13
2017-08-23,8,424,47,525,3903,16,110,42,19
2017-08-24,19,482,21,480,3928,45,127,69,37
2017-08-25,14,410,10,461,2881,10,106,23,33
2017-08-26,7,399,6,422,2237,6,98,34,9
2017-08-27,16,420,15,463,2424,9,83,34,11
2017-08-28,14,465,36,529,3781,7,91,38,20
2017-08-29,5,407,16,495,4083,4,111,31,8
2017-08-30,9,413,17,494,3976,11,100,43,27
2017-08-31,145,551,23,563,4245,12,123,29,22
2017-09-01,23201,821,15,493,3617,11,110,29,11
2017-09-02,4332,54442,229,432,2360,13,96,49,27
2017-09-03,2666,9880,23153,796,2788,10,87,33,15
2017-09-04,1987,5539,4512,48287,3732,11,117,39,17
2017-09-05,317,4273,2426,10906,51060,118,123,33,27
2017-09-06,240,1294,1353,5194,13505,20557,319,38,21
2017-09-07,175,1016,259,3710,9192,3050,28817,214,18
2017-09-08,129,766,180,1283,7639,1738,3896,27797,206
2017-09-09,95,709,145,1073,3699,1348,1916,4744,26176
2017-09-10,105,770,129,1008,4027,187,1465,2385,5647
2017-09-11,85,1268,90,982,5579,107,422,1962,3201
2017-09-12,84,817,81,1017,5971,81,319,425,2554
2017-09-13,77,662,66,796,6138,83,289,326,342
2017-09-14,73,691,76,1640,7143,202,682,216,289
2017-09-15,66,717,61,664,5242,58,247,174,213
2017-09-16,68,574,66,658,3094,40,213,146,183
2017-09-17,49,528,52,641,4298,52,158,143,165
2017-09-18,58,599,48,704,6381,51,203,145,150
2017-09-19,63,485,40,616,6385,51,203,111,120
2017-09-20,42,574,36,607,6243,57,186,110,101
2017-09-21,51,545,47,583,6019,66,170,89,108
2017-09-22,41,695,35,597,5246,40,150,92,90
2017-09-23,61,562,34,548,2975,36,138,103,81
2017-09-24,52,494,37,569,3863,20,142,81,80
2017-09-25,39,505,37,650,6355,25,164,75,81
2017-09-26,44,469,41,609,6529,21,155,89,62
2017-09-27,34,531,27,495,6562,22,140,66,55
2017-09-28,49,501,32,563,6226,26,121,70,65
2017-09-29,40,458,25,502,5157,26,141,56,52
2017-09-30,30,402,34,495,2797,22,107,57,49
2017-10-01,23,420,18,553,3519,16,134,48,51
2017-10-02,28,488,19,560,6249,28,124,61,48
2017-10-03,16,469,28,557,6623,18,135,60,49
2017-10-04,19,521,29,599,6653,22,107,64,53
2017-10-05,22,449,29,507,6800,16,106,65,54
2017-10-06,27,409,23,518,5348,17,140,58,43
2017-10-07,26,425,36,483,2864,19,110,71,43
2017-10-08,17,409,20,509,3529,9,112,86,32
2017-10-09,17,518,28,513,5535,25,118,103,50
2017-10-10,7,880,22,505,6484,13,134,75,28
2017-10-11,18,527,19,535,6528,12,115,82,34
2017-10-12,18,540,12,527,6447,19,115,56,48
2017-10-13,19,503,21,535,5788,16,111,57,36
2017-10-14,13,484,17,459,3020,14,100,56,21
2017-10-15,23,465,25,588,3507,14,119,57,37
2017-10-16,13,490,11,810,6053,5,103,55,27
2017-10-17,25,544,30,740,6681,20,137,64,43
2017-10-18,13,581,13,540,6274,10,100,51,18
2017-10-19,17,472,23,544,5854,15,112,67,24
2017-10-20,14,481,15,638,5176,17,110,92,24
2017-10-21,26,449,17,497,2816,15,98,56,24
2017-10-22,16,451,15,609,3594,12,102,127,18
2017-10-23,22,526,20,638,6742,11,104,124,26
2017-10-24,14,595,16,604,6803,17,121,118,29
2017-10-25,16,570,19,543,6412,15,104,118,22
2017-10-26,20,514,10,533,6177,9,139,68,19
2017-10-27,19,406,16,608,4851,9,118,66,16
2017-10-28,29,429,20,505,2831,15,80,68,27
2017-10-29,15,596,18,522,3883,15,89,55,28
2017-10-30,24,555,16,608,5906,10,163,75,14
2017-10-31,14,539,12,524,5763,15,96,103,28
2017-11-01,17,589,15,561,6011,17,108,84,25
2017-11-02,12,518,13,520,6345,10,141,69,16
2017-11-03,13,533,18,535,5307,13,117,45,22
2017-11-04,17,487,12,503,2912,6,81,44,26
2017-11-05,14,542,20,547,3655,7,109,62,21
2017-11-06,12,904,17,525,6101,16,115,58,27
2017-11-07,14,739,7,563,6591,10,117,58,19
2017-11-08,17,554,15,595,6322,13,117,52,20
2017-11-09,11,846,15,598,6055,10,122,49,21
2017-11-10,7,577,8,507,4298,9,99,42,11
2017-11-11,16,479,10,455,2842,9,99,58,13
2017-11-12,10,560,16,650,3682,9,105,1828,124
2017-11-13,18,563,18,771,6018,14,97,98,27
2017-11-14,12,588,17,556,6545,17,105,67,22
2017-11-15,17,526,20,745,6671,15,140,54,15
2017-11-16,15,523,18,725,6303,17,135,52,35
2017-11-17,16,2197,23,551,5164,16,116,41,20
2017-11-18,14,3209,18,538,2848,9,94,39,18
2017-11-19,8,2336,18,645,3435,6,114,38,16
2017-11-20,11,7470,23,566,5285,9,121,61,16
2017-11-21,15,3513,22,590,5080,16,124,28,16
2017-11-22,15,2737,16,634,4082,9,112,32,22
2017-11-23,17,1261,27,599,3239,10,99,55,19
2017-11-24,14,1310,23,485,3088,9,101,41,23
2017-11-25,13,786,26,432,2684,9,107,31,21
2017-11-26,16,970,18,565,3390,11,110,33,18
2017-11-27,15,916,21,544,5651,15,126,43,22
2017-11-28,14,997,19,594,6070,25,147,58,30
2017-11-29,9,1122,8,513,5629,9,117,31,11
2017-11-30,15,757,15,518,5659,13,147,40,21
2017-12-01,16,707,22,518,4926,19,92,40,17
2017-12-02,11,441,16,502,2702,11,86,41,15
2017-12-03,7,525,15,553,3333,8,96,43,25
2017-12-04,19,679,17,544,5374,12,116,40,14
2017-12-05,20,608,18,573,5832,6,177,34,10
2017-12-06,11,549,15,591,5449,14,137,39,18
2017-12-07,12,596,12,567,5325,5,159,28,74
2017-12-08,10,543,21,547,4864,12,112,27,90
2017-12-09,15,634,18,594,2731,19,84,40,28
2017-12-10,19,1166,25,695,3488,25,83,63,25
2017-12-11,16,848,20,649,5498,17,111,50,24
2017-12-12,12,746,24,552,5402,14,125,42,16
2017-12-13,10,609,22,526,5074,9,145,40,25
2017-12-14,21,580,20,481,4872,13,134,33,16
2017-12-15,14,485,15,486,4391,17,98,34,13
2017-12-16,16,446,27,458,2490,13,102,41,22
2017-12-17,14,462,22,519,2779,18,113,40,28
2017-12-18,13,523,16,541,4155,12,110,43,21
2017-12-19,18,508,19,576,4013,15,87,40,18
2017-12-20,16,450,12,623,3557,18,97,34,39
2017-12-21,5,425,10,499,3033,5,118,22,17
2017-12-22,5,448,4,475,3117,4,73,30,11
2017-12-23,15,638,22,445,1933,14,67,19,17
2017-12-24,7,413,24,411,1799,5,96,29,17
2017-12-25,12,613,21,444,1857,6,97,36,11
2017-12-26,12,455,20,473,2109,11,881,36,15
2017-12-27,15,466,17,527,2380,15,117,37,19
2017-12-28,16,496,21,605,2956,8,88,26,21
2017-12-29,19,491,20,591,2547,15,105,31,10
2017-12-30,6,529,10,527,2192,4,114,38,13
2017-12-31,20,434,13,423,1869,8,102,37,16
2018-01-01,8,376,14,522,2046,8,82,27,17
2018-01-02,11,479,20,653,3216,9,123,46,14
2018-01-03,17,497,19,573,3523,12,133,37,17
2018-01-04,9,1035,19,3504,3890,7,168,31,15
2018-01-05,5,655,16,665,3485,7,108,31,27
2018-01-06,13,734,23,649,2729,14,121,39,23
2018-01-07,14,655,24,651,2967,13,135,50,22
2018-01-08,9,579,10,678,4571,7,206,54,11
2018-01-09,4,846,11,752,5093,6,199,38,9
2018-01-10,10,632,10,621,5433,7,150,27,12
2018-01-11,14,612,23,661,4954,12,137,41,15
2018-01-12,10,707,12,553,4780,7,98,36,18
2018-01-13,13,474,14,552,2755,7,100,26,16
2018-01-14,15,580,29,514,3041,20,125,47,22
2018-01-15,23,560,15,669,4099,8,127,41,25
2018-01-16,8,568,10,841,4975,9,135,58,81
2018-01-17,7,575,24,700,5195,12,162,46,38
2018-01-18,14,600,10,610,5391,10,153,49,23
2018-01-19,10,505,18,597,4808,10,155,35,19
2018-01-20,14,478,8,459,2872,10,111,29,12
2018-01-21,7,513,15,544,3477,8,106,29,19
2018-01-22,8,933,9,591,5297,5,136,33,13
2018-01-23,13,548,13,560,5603,11,166,27,12
2018-01-24,10,566,8,656,5697,18,130,34,10
2018-01-25,16,577,11,576,5415,9,140,38,15
2018-01-26,12,515,9,556,4935,7,135,31,11
2018-01-27,9,484,9,485,2967,5,102,23,4
2018-01-28,11,487,11,605,4442,10,123,34,17
2018-01-29,16,590,13,538,5461,10,118,48,19
2018-01-30,10,632,12,552,5735,13,141,37,15
2018-01-31,7,623,11,667,5680,10,160,23,14
2018-02-01,9,593,12,606,5491,4,170,36,15
2018-02-02,13,574,13,521,4690,9,115,36,16
2018-02-03,5,514,8,469,2869,12,98,38,19
2018-02-04,7,582,11,529,3450,10,109,32,12
2018-02-05,7,589,9,542,5414,7,123,29,14
2018-02-06,13,572,25,612,5797,11,136,41,14
2018-02-07,9,560,14,571,5493,10,126,29,16
2018-02-08,15,651,8,596,5379,15,124,33,19
2018-02-09,9,920,12,566,4334,14,98,34,17
2018-02-10,15,711,11,493,3180,11,99,41,11
2018-02-11,9,552,14,577,3451,11,125,31,14
2018-02-12,11,630,11,542,5128,7,103,43,19
2018-02-13,5,627,11,620,5425,5,130,31,4
2018-02-14,8,548,28,546,5143,5,97,34,25
2018-02-15,11,554,23,521,5192,14,113,37,26
2018-02-16,17,481,8,508,4191,5,107,30,15
2018-02-17,11,535,12,548,2802,15,97,36,12
2018-02-18,9,508339,11,535,3236,14,105,38,17
2018-02-19,14,43688,14,567,4495,13,128,42,18
2018-02-20,8,5135,16,587,5314,12,103,37,21
2018-02-21,14,2570,20,554,5588,12,132,32,23
2018-02-22,22,1901,19,640,5396,23,142,48,19
2018-02-23,19,1608,6,576,4452,10,119,41,14
2018-02-24,11,1126,11,474,2887,12,139,30,22
2018-02-25,22,968,21,558,3472,23,138,50,33
2018-02-26,19,943,18,618,5326,13,149,24,17
2018-02-27,11,803,11,696,5344,14,145,34,14
2018-02-28,11,859,10,772,5219,8,143,34,19
2018-03-01,12,740,13,767,5099,13,125,27,16
2018-03-02,13,708,10,622,4175,16,116,33,24
2018-03-03,10,773,19,578,2921,12,96,41,17
2018-03-04,9,786,13,555,3259,18,127,36,19
2018-03-05,4,695,13,654,5113,13,98,29,74
2018-03-06,6,722,11,594,5697,12,124,46,80
2018-03-07,11,594,5,589,5260,8,111,32,14
2018-03-08,18,680,16,597,5077,24,137,60,19
2018-03-09,12,640,10,518,4343,13,132,25,14
2018-03-10,13,576,10,500,2540,10,105,23,13
2018-03-11,5,640,9,528,3473,6,126,34,9
2018-03-12,10,649,8,623,4796,12,145,46,20
2018-03-13,9,680,13,640,4805,8,154,31,12
2018-03-14,19,546,9,660,4869,8,136,39,18
2018-03-15,8,607,14,581,4598,12,118,29,16
2018-03-16,7,1255,17,535,3900,9,117,24,10
2018-03-17,12,613,9,489,2727,5,132,35,17
2018-03-18,14,608,8,538,2941,9,106,34,8
2018-03-19,15,604,8,581,4735,10,173,37,14
2018-03-20,5,865,7,577,4855,11,131,29,21
2018-03-21,16,816,11,568,5387,16,156,62,22
2018-03-22,7,698,15,541,4390,16,119,38,25
2018-03-23,9,633,14,545,3909,13,305,20,17
2018-03-24,14,523,6,447,2481,8,110,20,11
2018-03-25,6,629,15,506,2999,4,110,57,19
2018-03-26,7,620,11,661,4105,7,106,36,15
2018-03-27,14,3885,12,600,4400,8,128,27,18
2018-03-28,16,1195,15,532,4046,16,104,29,35
2018-03-29,14,634,9,588,3577,6,136,32,22
2018-03-30,5,599,10,548,2675,8,105,33,11
2018-03-31,7,575,11,443,2299,5,67,53,17
2018-04-01,10,537,17,503,2381,11,109,32,18
2018-04-02,8,645,17,584,3355,11,112,46,19
2018-04-03,12,589,20,557,4300,15,96,50,16
2018-04-04,6,546,8,612,5400,12,503,45,20
2018-04-05,8,600,9,511,3955,158,134,34,11
2018-04-06,14,573,17,507,3315,16,150,39,21
2018-04-07,5,559,11,443,2228,10,111,28,11
2018-04-08,9,564,8,519,2586,5,99,28,15
2018-04-09,10,565,7,500,4013,11,151,35,15
2018-04-10,9,551,13,637,5126,10,149,48,16
2018-04-11,13,574,16,581,4144,7,142,31,28
2018-04-12,18,586,16,538,4583,9,136,42,27
2018-04-13,8,577,8,547,3758,5,107,34,17
2018-04-14,15,436,14,412,2437,10,105,49,19
2018-04-15,8,520,16,539,2935,7,110,26,19
2018-04-16,9,647,9,529,4652,2,123,30,11
2018-04-17,11,627,17,565,4385,10,143,45,16
2018-04-18,5,698,4,559,4423,4,145,36,18
2018-04-19,6,600,7,494,4113,5,131,26,13
2018-04-20,16,602,21,472,3503,4,127,30,14
2018-04-21,8,502,7,434,2531,3,104,22,8
2018-04-22,9,528,16,431,2935,7,107,33,17
2018-04-23,12,656,6,547,4120,5,103,48,16
2018-04-24,10,605,11,555,4244,3,120,35,9
2018-04-25,11,603,11,516,4829,9,129,52,11
2018-04-26,4,590,7,503,4170,2,124,38,12
2018-04-27,8,516,11,434,3874,6,94,32,11
2018-04-28,4,448,8,432,2312,8,99,36,18
2018-04-29,7,505,11,450,2610,8,85,38,8
2018-04-30,4,581,7,485,3859,3,132,28,14
2018-05-01,14,564,12,503,4359,6,154,40,32
2018-05-02,9,540,4,491,4075,5,136,394,18
2018-05-03,14,584,17,549,5010,7,134,34,26
2018-05-04,5,576,6,535,3716,4,131,21,18
2018-05-05,7,422,6,470,2374,2,110,21,12
2018-05-06,8,435,6,472,2640,3,93,24,12
2018-05-07,10,553,15,506,4067,8,117,45,25
2018-05-08,7,553,6,560,4356,5,131,30,16
2018-05-09,5,610,10,764,3980,6,140,30,10
2018-05-10,16,581,11,584,3991,9,152,37,20
2018-05-11,10,473,6,554,3517,5,139,51,11
2018-05-12,5,466,6,460,2304,3,119,38,6
2018-05-13,9,659,13,504,2668,10,97,39,19
2018-05-14,14,801,9,544,4587,4,147,36,8
2018-05-15,12,752,5,472,4414,9,139,25,9
2018-05-16,9,745,13,578,4273,8,159,37,9
2018-05-17,9,687,8,527,4963,9,140,97,17
2018-05-18,13,582,20,520,3605,9,98,42,22
2018-05-19,12,442,11,500,2409,8,102,36,15
2018-05-20,15,729,8,562,2620,9,118,45,11
2018-05-21,13,696,10,588,4677,5,132,41,24
2018-05-22,13,621,10,524,4158,6,124,25,16
2018-05-23,11,689,14,526,3925,13,131,34,24
2018-05-24,10,699,10,525,3834,8,126,42,22
2018-05-25,6,557,12,511,3217,1,99,32,10
