Date,"Myotis alcathoe","Death on the Rock","SMS Nassau","Bessie Braddock","Mothers of the Disappeared","Mangrove swallow","German–Yugoslav Partisan negotiations","Eta Carinae","God of War II"
2017-01-02,7,49,58,68,16,15,11,435,623
2017-01-03,16,42,44,78,39,43,6,467,558
2017-01-04,10,40,55,98,36,28,4,467,575
2017-01-05,19,59,70,73,51,14,13,506,543
2017-01-06,9,60,73,65,41,10,12,435,475
2017-01-07,6,57,73,55,30,54,6,440,595
2017-01-08,14,37,72,57,54,20,14,419,539
2017-01-09,7,45,61,35,392,3,7,510,513
2017-01-10,8,67,65,48,260,6,10,554,494
2017-01-11,14,34,62,57,210,13,8,574,466
2017-01-12,16,46,43,52,236,17,15,474,481
2017-01-13,10,39,41,63,211,24,10,469,499
2017-01-14,10,32,49,42,216,44,8,347,593
2017-01-15,8,53,51,60,155,13,13,567,514
2017-01-16,21,58,44,82,160,11,14,575,628
2017-01-17,13,50,50,73,165,117,5,485,562
2017-01-18,4,32,46,44,156,26,11,473,502
2017-01-19,11,44,36,60,126,6,13,415,535
2017-01-20,10,63,35,40,100,8,15,435,502
2017-01-21,11,36,54,58,85,23,13,341,579
2017-01-22,13,46,63,70,84,19,24,355,553
2017-01-23,15,61,54,62,96,120,14,439,540
2017-01-24,21,48,61,42,106,119,9,496,509
2017-01-25,14,40,53,49,76,104,13,419,434
2017-01-26,12,45,54,46,85,103,12,435,540
2017-01-27,8,53,50,54,83,98,11,472,526
2017-01-28,15,29,58,57,88,85,17,390,561
2017-01-29,7,63,35,48,92,82,21,396,581
2017-01-30,12,41,46,48,85,117,18,475,575
2017-01-31,10,39,54,48,61,102,9,559,486
2017-02-01,16,44,59,61,79,100,13,432,446
2017-02-02,13,41,58,48,53,84,7,442,503
2017-02-03,9,45,38,35,71,80,7,478,482
2017-02-04,17,55,62,41,59,71,10,370,532
2017-02-05,13,45,83,50,65,31,17,349,547
2017-02-06,19,64,48,53,57,64,9,527,469
2017-02-07,11,45,45,55,75,90,15,1366,467
2017-02-08,19,59,49,69,73,100,19,537,465
2017-02-09,17,61,49,63,59,115,15,426,434
2017-02-10,8,43,43,36,60,116,7,448,469
2017-02-11,15,48,48,40,82,99,6,350,468
2017-02-12,11,57,47,52,49,84,8,513,565
2017-02-13,20,42,47,52,37,94,16,546,453
2017-02-14,11,58,66,48,54,110,7,657,420
2017-02-15,19,54,51,54,79,127,11,613,450
2017-02-16,22,52,43,62,66,103,13,509,414
2017-02-17,13,33,44,64,57,104,7,428,420
2017-02-18,9,45,55,45,55,97,10,404,453
2017-02-19,34,71,64,72,42,110,9,413,529
2017-02-20,20,46,45,50,55,111,7,382,499
2017-02-21,15,58,55,59,42,117,4,412,455
2017-02-22,9,64,81,67,78,105,11,560,472
2017-02-23,17,52,56,57,56,119,24,2061,427
2017-02-24,14,41,68,40,84,90,20,930,502
2017-02-25,17,43,44,66,65,73,11,477,500
2017-02-26,17,39,64,70,72,86,20,458,532
2017-02-27,28,40,66,61,60,101,22,455,450
2017-02-28,9,49,77,68,44,26,25,632,499
2017-03-01,19,58,133,67,65,24,29,564,537
2017-03-02,35,54,81,70,54,20,17,479,468
2017-03-03,17,44,71,70,78,17,22,477,487
2017-03-04,240,81,67,62,52,28,22,513,521
2017-03-05,21265,382,61,60,69,21,23,428,540
2017-03-06,4323,41531,220,87,79,17,20,409,526
2017-03-07,1813,9255,47107,181,83,23,24,512,518
2017-03-08,1528,6026,7924,23309,275,23,26,439,485
2017-03-09,338,3565,4126,3703,25936,134,17,421,527
2017-03-10,220,647,3251,2097,7712,20332,206,394,476
2017-03-11,176,581,541,1512,4470,3581,37045,583,509
2017-03-12,160,539,373,266,3627,2255,7504,38370,695
2017-03-13,103,350,312,219,660,1930,5299,8883,30430
2017-03-14,84,236,276,158,412,276,4455,4902,7857
2017-03-15,90,203,195,106,303,199,536,2920,4435
2017-03-16,50,175,150,108,224,153,325,1087,3753
2017-03-17,73,191,135,113,224,123,232,800,866
2017-03-18,76,165,130,103,179,120,245,695,781
2017-03-19,63,153,118,136,158,101,191,749,687
2017-03-20,42,144,133,171,182,76,138,585,651
2017-03-21,54,256,133,117,152,100,111,952,1022
2017-03-22,48,169,195,86,127,66,89,669,997
2017-03-23,66,183,134,111,142,76,78,515,733
2017-03-24,50,155,104,63,99,87,104,536,692
2017-03-25,50,108,86,81,116,56,101,481,729
2017-03-26,48,115,89,67,101,63,83,471,711
2017-03-27,58,122,115,65,110,55,83,476,724
2017-03-28,51,83,66,85,102,54,66,504,636
2017-03-29,39,84,74,63,87,54,69,480,636
2017-03-30,35,102,112,102,79,57,45,471,615
2017-03-31,25,118,77,75,98,50,61,472,604
2017-04-01,35,139,51,84,78,51,54,431,535
2017-04-02,35,125,69,73,92,50,51,422,644
2017-04-03,28,167,56,64,84,35,43,474,558
2017-04-04,24,91,67,78,50,28,32,557,517
2017-04-05,21,87,70,78,76,28,37,502,520
2017-04-06,28,72,85,57,70,31,34,452,599
2017-04-07,26,87,58,70,73,40,39,453,516
2017-04-08,17,54,55,49,57,28,45,355,563
2017-04-09,35,75,60,57,67,28,31,400,593
2017-04-10,36,58,70,65,102,45,27,402,531
2017-04-11,22,75,59,46,60,32,29,389,545
2017-04-12,65,80,56,77,57,35,25,427,495
2017-04-13,35,59,64,68,65,27,33,379,544
2017-04-14,28,72,46,61,48,23,23,329,589
2017-04-15,18,67,54,62,42,26,32,420,554
2017-04-16,21,64,47,45,62,33,28,336,582
2017-04-17,29,63,64,67,46,28,41,392,572
2017-04-18,34,67,55,52,61,32,17,461,536
2017-04-19,58,158,52,51,55,17,20,437,529
2017-04-20,66,71,56,72,73,20,34,363,453
2017-04-21,37,48,158,51,69,22,17,342,496
2017-04-22,32,50,61,70,69,31,31,361,480
2017-04-23,34,64,55,56,70,18,24,358,564
2017-04-24,18,58,58,56,82,19,18,415,512
2017-04-25,24,45,59,58,81,32,22,377,535
2017-04-26,19,36,44,61,67,11,17,400,531
2017-04-27,31,52,62,68,131,21,26,336,522
2017-04-28,22,54,55,55,73,21,16,349,497
2017-04-29,16,34,42,51,66,16,17,350,513
2017-04-30,38,45,48,33,71,17,22,301,541
2017-05-01,15,47,56,48,78,27,19,324,547
2017-05-02,29,49,58,60,68,16,28,423,489
2017-05-03,32,59,53,41,79,21,21,432,495
2017-05-04,26,28,71,88,86,19,13,443,499
2017-05-05,28,39,43,63,109,22,15,403,472
2017-05-06,17,56,41,78,117,24,17,309,510
2017-05-07,17,51,42,566,112,31,13,335,540
2017-05-08,24,69,51,379,80,150,25,395,522
2017-05-09,12,33,37,71,92,27,13,431,520
2017-05-10,16,46,53,38,93,28,17,330,532
2017-05-11,33,41,38,54,120,36,14,324,550
2017-05-12,30,29,53,76,138,28,13,371,572
2017-05-13,18,52,44,40,293,24,12,304,592
2017-05-14,19,35,52,59,260,16,21,317,628
2017-05-15,38,47,46,56,768,28,17,427,556
2017-05-16,16,47,38,47,528,18,21,367,518
2017-05-17,22,45,63,40,267,17,18,306,578
2017-05-18,18,43,57,50,324,24,21,347,487
2017-05-19,29,46,48,49,228,22,11,356,519
2017-05-20,21,55,59,59,211,24,14,321,542
2017-05-21,29,66,56,50,309,29,20,371,544
2017-05-22,18,66,54,63,268,18,11,342,540
2017-05-23,22,99,52,51,182,24,17,343,491
2017-05-24,18,66,35,40,176,10,15,301,437
2017-05-25,21,47,67,48,230,23,9,316,449
2017-05-26,20,63,56,45,187,24,20,344,467
2017-05-27,13,45,35,39,222,13,14,336,416
2017-05-28,16,45,41,50,136,16,17,375,516
2017-05-29,16,70,50,43,117,17,14,439,594
2017-05-30,20,41,56,61,109,30,20,396,467
2017-05-31,18,58,53,49,107,24,11,377,499
2017-06-01,27,42,50,51,114,22,26,401,477
2017-06-02,18,52,28,42,143,18,19,304,488
2017-06-03,11,33,45,59,147,19,21,326,528
2017-06-04,13,99,50,57,285,17,17,338,536
2017-06-05,19,109,48,45,250,12,7,376,555
2017-06-06,14,67,60,65,208,23,15,365,592
2017-06-07,31,75,59,66,203,29,17,332,574
2017-06-08,21,47,34,87,221,15,14,355,630
2017-06-09,22,66,55,64,170,21,16,340,604
2017-06-10,20,50,38,83,140,12,10,255,530
2017-06-11,19,52,52,49,148,18,18,298,591
2017-06-12,12,43,54,62,188,14,23,370,619
2017-06-13,41,78,49,58,158,27,25,464,3524
2017-06-14,26,57,48,50,139,19,31,382,2242
2017-06-15,14,52,53,47,196,15,16,322,1507
2017-06-16,17,35,56,41,166,13,13,292,1312
2017-06-17,19,36,44,158,137,14,20,309,1181
2017-06-18,22,39,48,70,142,15,29,305,1170
2017-06-19,16,51,54,61,199,6,12,383,1106
2017-06-20,20,31,38,63,165,12,9,425,927
2017-06-21,8,34,40,51,215,9,15,339,920
2017-06-22,24,43,42,47,135,22,12,323,925
2017-06-23,17,43,40,57,153,21,14,353,942
2017-06-24,13,32,35,42,183,13,12,267,843
2017-06-25,20,44,54,46,147,20,14,256,950
2017-06-26,9,63,41,42,250,21,8,354,833
2017-06-27,18,51,46,45,139,19,13,347,829
2017-06-28,23,36,37,65,152,27,16,369,939
2017-06-29,15,49,46,82,221,14,9,319,771
2017-06-30,18,31,28,65,212,14,8,275,775
2017-07-01,8,98,35,59,140,18,11,289,898
2017-07-02,6,52,32,52,165,20,9,306,900
2017-07-03,18,57,58,55,112,22,22,306,749
2017-07-04,12,36,38,38,84,12,15,301,801
2017-07-05,15,41,59,48,76,12,11,363,723
2017-07-06,16,39,33,50,78,23,12,420,723
2017-07-07,12,39,42,71,81,18,14,348,690
2017-07-08,9,26,26,55,121,11,14,306,664
2017-07-09,13,39,36,54,180,23,12,291,771
2017-07-10,12,34,40,62,131,15,7,306,720
2017-07-11,21,45,50,62,98,18,8,303,690
2017-07-12,14,51,37,56,99,31,19,279,628
2017-07-13,8,48,39,59,115,22,15,340,698
2017-07-14,17,37,20,38,83,11,4,305,624
2017-07-15,12,47,47,186,90,18,14,300,1500
2017-07-16,10,60,47,195,119,10,10,284,808
2017-07-17,13,56,46,67,75,7,9,310,786
2017-07-18,13,39,42,41,92,17,13,298,671
2017-07-19,16,44,38,61,96,15,15,323,573
2017-07-20,13,41,116,45,81,9,9,291,609
2017-07-21,11,33,93,40,123,19,10,514,495
2017-07-22,11,36,44,48,119,14,5,273,522
2017-07-23,12,35,47,34,116,13,10,265,594
2017-07-24,7,40,47,33,107,7,5,282,594
2017-07-25,15,41,54,54,95,16,12,308,665
2017-07-26,30,37,48,52,129,23,12,292,1022
2017-07-27,18,29,42,43,152,15,11,291,779
2017-07-28,9,35,42,39,131,11,15,240,933
2017-07-29,6,43,34,42,123,12,10,313,817
2017-07-30,20,32,51,69,137,10,5,289,589
2017-07-31,11,43,34,47,97,12,15,508,507
2017-08-01,19,44,48,59,110,23,17,319,530
2017-08-02,20,38,46,50,126,13,11,309,450
2017-08-03,22,45,55,37,80,14,15,367,526
2017-08-04,14,45,43,92,73,16,14,309,521
2017-08-05,15,50,52,68,56,28,19,356,473
2017-08-06,22,45,47,57,61,28,12,284,548
2017-08-07,11,47,32,66,57,12,12,294,478
2017-08-08,14,49,52,44,56,23,9,337,443
2017-08-09,11,27,44,28,62,23,15,802,438
2017-08-10,15,32,49,49,52,24,10,370,411
2017-08-11,26,49,47,32,67,15,12,318,480
2017-08-12,12,45,46,38,53,25,12,282,518
2017-08-13,13,45,46,56,47,29,7,298,486
2017-08-14,20,46,44,34,56,15,11,324,503
2017-08-15,23,42,40,48,39,13,15,447,482
2017-08-16,14,37,42,59,59,27,16,368,463
2017-08-17,7,54,41,41,49,13,11,416,478
2017-08-18,18,46,48,53,52,16,12,347,409
2017-08-19,12,50,53,31,43,9,8,407,452
2017-08-20,19,47,45,36,58,17,12,332,453
2017-08-21,15,49,46,44,55,13,7,346,407
2017-08-22,14,148,38,39,56,10,10,334,411
2017-08-23,11,90,42,42,49,13,7,290,396
2017-08-24,21,751,46,55,63,22,16,317,417
2017-08-25,18,1701,42,36,43,13,8,330,395
2017-08-26,10,382,42,43,35,12,3,248,435
2017-08-27,17,295,34,44,36,20,11,273,456
2017-08-28,5,219,36,40,54,8,9,288,440
2017-08-29,23,168,89,44,43,11,10,249,466
2017-08-30,24,265,41,29,51,5,8,319,461
2017-08-31,8,271,52,39,37,8,6,278,444
2017-09-01,13,221,45,29,66,11,14,304,428
2017-09-02,13,275,50,43,47,10,8,264,491
2017-09-03,10,332,48,42,80,8,6,248,504
2017-09-04,12,362,46,46,232,17,8,271,475
2017-09-05,15,205,47,41,126,12,7,323,503
2017-09-06,21,180,38,46,154,18,11,326,411
2017-09-07,14,195,42,30,85,11,13,455,390
2017-09-08,10,179,35,42,108,7,9,342,423
2017-09-09,10,126,29,31,212,8,8,263,456
2017-09-10,16,130,42,39,105,12,21,255,475
2017-09-11,9,106,27,27,176,15,6,295,442
2017-09-12,9,109,32,51,112,15,7,282,469
2017-09-13,12,107,39,48,158,11,8,280,403
2017-09-14,21,68,46,48,108,23,13,295,416
2017-09-15,41,70,31,62,129,13,11,362,424
2017-09-16,23,40,38,45,81,18,11,277,424
2017-09-17,6,52,43,53,65,4,4,300,497
2017-09-18,25,65,40,57,53,7,7,337,442
2017-09-19,21,43,57,57,70,19,17,2338,411
2017-09-20,12,48,49,48,147,6,8,387,443
2017-09-21,14,40,35,48,89,8,7,290,448
2017-09-22,19,51,46,40,65,16,9,292,453
2017-09-23,12,48,45,44,136,11,14,276,469
2017-09-24,10,56,34,54,71,15,9,310,493
2017-09-25,13,41,32,60,60,10,11,358,448
2017-09-26,14,39,33,55,66,11,10,308,598
2017-09-27,15,48,32,40,51,11,11,325,481
2017-09-28,14,39,36,34,70,10,9,293,507
2017-09-29,11,49,39,47,56,14,8,239,514
2017-09-30,7,44,24,34,48,7,18,247,564
2017-10-01,13,40,27,37,44,8,3,247,590
2017-10-02,16,54,72,42,74,15,9,354,512
2017-10-03,11,40,38,34,48,20,5,333,527
2017-10-04,11,60,36,61,70,12,9,332,506
2017-10-05,14,40,39,60,68,11,10,314,486
2017-10-06,16,50,30,40,64,14,10,306,510
2017-10-07,13,60,40,42,50,17,15,293,492
2017-10-08,4,45,37,49,66,6,6,347,587
2017-10-09,9,111,38,43,86,11,9,345,499
2017-10-10,9,42,30,45,83,9,3,324,494
2017-10-11,19,40,34,64,97,16,15,321,468
2017-10-12,14,55,33,49,110,19,14,349,450
2017-10-13,20,42,50,51,69,15,16,266,482
2017-10-14,9,44,33,38,100,11,6,220,512
2017-10-15,19,50,36,43,102,15,16,233,516
2017-10-16,6,38,46,38,79,7,14,454,461
2017-10-17,24,47,42,51,84,18,11,500,439
2017-10-18,15,48,42,34,73,16,11,407,449
2017-10-19,13,58,35,46,72,18,9,408,454
2017-10-20,20,61,34,29,65,22,11,371,465
2017-10-21,9,36,32,52,89,15,10,273,442
2017-10-22,8,49,41,50,95,17,12,316,452
2017-10-23,16,40,41,105,73,13,10,358,430
2017-10-24,20,60,46,54,65,13,5,353,433
2017-10-25,15,50,49,39,72,15,10,309,417
2017-10-26,16,29,28,47,64,12,8,359,456
2017-10-27,14,43,32,45,79,3,6,283,412
2017-10-28,16,51,36,34,64,13,15,241,392
2017-10-29,10,38,30,98,55,14,4,287,515
2017-10-30,15,42,28,52,58,11,8,320,521
2017-10-31,13,43,29,39,57,22,11,302,590
2017-11-01,14,47,40,38,67,14,9,322,540
2017-11-02,13,47,23,38,55,12,9,337,527
2017-11-03,37,52,39,53,56,11,10,267,466
2017-11-04,5,36,23,38,44,6,7,272,506
2017-11-05,8,50,33,52,31,18,16,280,542
2017-11-06,9,43,21,46,48,12,12,325,424
2017-11-07,13,39,42,56,47,11,9,377,487
2017-11-08,11,51,43,62,42,14,8,441,461
2017-11-09,16,39,40,69,54,13,8,633,623
2017-11-10,11,35,22,45,37,8,8,362,650
2017-11-11,11,41,38,47,37,12,13,291,557
2017-11-12,147,52,29,37,58,7,49,336,643
2017-11-13,15,57,35,46,50,22,21,373,651
2017-11-14,16,57,30,36,42,11,14,351,603
2017-11-15,11,42,36,43,42,13,9,423,542
2017-11-16,13,59,39,53,50,25,8,336,553
2017-11-17,10,44,33,48,40,14,10,297,519
2017-11-18,39,45,32,46,38,7,7,264,475
2017-11-19,10,55,45,48,46,8,22,350,556
2017-11-20,11,55,44,40,40,9,10,794,607
2017-11-21,18,55,37,39,42,13,12,394,563
2017-11-22,19,31,35,31,62,19,8,356,506
2017-11-23,14,43,32,43,44,9,10,284,527
2017-11-24,15,40,39,49,41,13,9,267,568
2017-11-25,11,41,36,53,50,22,15,292,572
2017-11-26,10,46,30,42,46,12,9,271,586
2017-11-27,17,52,54,34,48,18,16,370,469
2017-11-28,19,48,41,91,54,18,11,353,498
2017-11-29,8,31,32,76,42,8,9,311,453
2017-11-30,24,43,47,195,48,9,13,342,454
2017-12-01,16,51,39,41,72,17,19,329,460
2017-12-02,6,39,31,49,39,9,9,285,495
2017-12-03,6,54,32,37,51,11,11,310,524
2017-12-04,9,62,54,52,53,8,6,299,522
2017-12-05,7,43,38,58,45,11,7,346,630
2017-12-06,9,35,49,49,80,7,10,403,581
2017-12-07,11,52,37,39,83,18,15,355,530
2017-12-08,172,34,34,51,50,8,243,333,558
2017-12-09,13,52,46,90,48,19,16,263,740
2017-12-10,16,47,47,51,50,16,23,290,578
2017-12-11,21,42,48,52,57,14,19,335,561
2017-12-12,16,100,50,96,53,14,12,353,541
2017-12-13,15,66,57,33,50,17,13,320,522
2017-12-14,22,56,47,53,61,17,13,336,449
2017-12-15,20,33,45,37,40,12,30,333,438
2017-12-16,13,39,47,36,48,21,18,244,551
2017-12-17,13,55,35,36,45,16,16,278,453
2017-12-18,11,50,40,45,34,11,13,352,521
2017-12-19,16,44,44,36,60,14,15,299,469
2017-12-20,16,57,52,46,48,12,14,264,491
2017-12-21,26,39,38,36,49,8,200,388,528
2017-12-22,6,66,35,38,37,7,4,279,476
2017-12-23,12,36,42,24,34,9,8,264,485
2017-12-24,10,41,34,33,49,12,2,208,530
2017-12-25,9,48,31,31,34,6,10,258,623
2017-12-26,7,45,37,32,26,9,13,271,672
2017-12-27,15,55,97,49,47,14,11,485,638
2017-12-28,12,36,278,36,39,9,4,304,738
2017-12-29,6,70,53,48,37,11,10,303,590
2017-12-30,3,49,39,41,43,6,11,468,564
2017-12-31,12,57,57,45,48,12,10,303,543
2018-01-01,9,63,48,33,48,16,8,299,599
2018-01-02,11,58,48,74,35,16,11,306,660
2018-01-03,12,50,39,46,36,27,13,305,689
2018-01-04,11,41,41,90,35,8,11,344,587
2018-01-05,7,51,59,79,44,20,11,429,646
2018-01-06,13,69,45,40,55,27,12,341,669
2018-01-07,8,74,23,53,36,19,11,358,681
2018-01-08,6,48,44,39,49,11,12,352,630
2018-01-09,8,50,34,51,30,7,6,366,543
2018-01-10,5,67,38,46,35,8,8,354,617
2018-01-11,10,77,37,60,44,14,18,364,583
2018-01-12,12,52,40,77,35,7,7,330,634
2018-01-13,10,40,289,61,35,9,9,347,618
2018-01-14,20,50,75,61,51,19,16,347,634
2018-01-15,17,46,48,60,30,19,10,403,615
2018-01-16,10,48,53,57,45,12,10,328,578
2018-01-17,19,55,43,62,51,22,15,349,580
2018-01-18,7,78,49,59,50,19,14,493,646
2018-01-19,10,76,56,61,41,14,5,353,607
2018-01-20,13,46,38,65,45,10,4,233,627
2018-01-21,10,54,51,55,39,8,5,296,726
2018-01-22,6,52,34,65,40,21,8,340,615
2018-01-23,12,41,46,49,39,8,11,342,1332
2018-01-24,13,33,49,67,40,9,5,410,1865
2018-01-25,10,45,49,60,41,13,9,489,1384
2018-01-26,14,48,56,52,52,8,11,367,1096
2018-01-27,6,38,53,40,54,13,8,290,933
2018-01-28,8,58,48,57,43,8,6,275,908
2018-01-29,10,58,40,67,56,16,10,309,809
2018-01-30,7,59,48,40,52,8,6,355,735
2018-01-31,7,42,60,54,45,10,10,351,702
2018-02-01,10,47,46,301,47,11,9,313,726
2018-02-02,14,49,44,177,48,20,14,333,678
2018-02-03,10,45,56,58,32,13,9,264,771
2018-02-04,16,51,46,64,34,11,9,323,782
2018-02-05,9,45,38,73,36,13,9,348,640
2018-02-06,17,46,37,123,46,15,10,331,678
2018-02-07,10,39,47,62,53,8,8,278,658
2018-02-08,16,53,60,59,35,13,17,308,715
2018-02-09,11,45,42,50,36,15,9,313,653
2018-02-10,10,40,46,48,31,15,10,322,701
2018-02-11,13,51,42,52,38,18,8,352,699
2018-02-12,13,42,45,45,44,8,24,330,694
2018-02-13,5,40,37,36,36,13,6,302,590
2018-02-14,4,45,43,183,34,14,15,290,597
2018-02-15,13,43,47,144,47,16,11,284,607
2018-02-16,6,43,36,52,57,9,12,292,591
2018-02-17,13,45,28,50,35,21,12,267,667
2018-02-18,4,35,38,49,30,11,13,301,689
2018-02-19,9,45,39,49,40,9,9,351,686
2018-02-20,11,60,37,69,33,12,9,308,664
2018-02-21,14,54,51,68,32,14,19,349,593
2018-02-22,25,55,39,70,65,22,18,397,588
2018-02-23,14,54,33,63,64,18,11,456,560
2018-02-24,16,47,47,45,46,15,11,361,1711
2018-02-25,25,67,55,66,50,37,16,334,689
2018-02-26,11,59,57,65,47,26,10,416,575
2018-02-27,11,47,57,41,46,22,10,421,562
2018-02-28,4,43,45,56,38,5,6,362,530
2018-03-01,17,47,42,45,36,13,9,365,637
2018-03-02,8,46,40,42,56,14,15,378,584
2018-03-03,14,70,51,51,45,13,13,302,580
2018-03-04,10,75,48,61,42,14,14,383,655
2018-03-05,11,87,53,67,28,14,10,328,616
2018-03-06,225,418,49,66,35,16,75,368,612
2018-03-07,4,176,47,42,47,14,11,318,729
2018-03-08,14,134,49,90,58,16,23,342,709
2018-03-09,11,80,39,52,68,20,17,309,686
2018-03-10,6,80,31,49,47,12,11,274,720
2018-03-11,11,81,39,45,26,11,5,7379,965
2018-03-12,12,77,50,459,45,25,10,490,928
2018-03-13,12,49,39,124,27,16,16,357,879
2018-03-14,16,68,45,77,43,16,9,396,835
2018-03-15,17,49,27,60,57,15,12,386,755
2018-03-16,9,133,30,59,44,10,18,299,737
2018-03-17,10,56,35,56,63,16,9,343,799
2018-03-18,7,86,47,103,43,11,8,407,853
2018-03-19,8,286,51,44,41,18,14,462,1737
2018-03-20,13,287,38,57,48,12,13,397,1642
2018-03-21,16,175,49,52,52,12,15,499,1243
2018-03-22,11,124,58,40,58,13,11,377,1483
2018-03-23,10,99,48,46,83,15,11,344,1331
2018-03-24,12,107,35,47,41,16,10,310,1200
2018-03-25,6,89,43,43,57,8,9,483,1058
2018-03-26,11,107,33,45,51,18,17,397,1121
2018-03-27,21,83,41,46,60,11,9,443,1053
2018-03-28,24,65,44,89,58,15,192,393,1021
2018-03-29,8,60,38,43,38,13,10,439,980
2018-03-30,9,49,41,58,42,17,7,326,1046
2018-03-31,10,52,63,47,46,20,10,274,1028
2018-04-01,7,46,43,46,30,19,15,275,1062
2018-04-02,11,49,40,43,47,11,11,500,1123
2018-04-03,15,62,55,45,44,12,9,402,1203
2018-04-04,8,89,54,46,52,15,28,429,1149
2018-04-05,13,44,44,40,46,8,14,473,1245
2018-04-06,12,53,54,34,43,20,14,418,1438
2018-04-07,3,43,39,39,37,6,9,289,1183
2018-04-08,10,63,32,68,56,9,4,323,1442
2018-04-09,9,58,44,42,44,12,6,380,1419
2018-04-10,14,42,39,49,41,25,10,360,1396
2018-04-11,17,72,58,43,48,17,9,367,1376
2018-04-12,25,66,65,73,56,26,14,320,4493
2018-04-13,7,42,51,52,50,16,7,489,4258
2018-04-14,19,52,59,66,50,23,7,362,2848
2018-04-15,17,61,57,60,52,22,9,348,3024
2018-04-16,15,52,38,37,37,18,9,377,3445
2018-04-17,21,57,48,44,48,31,15,297,3459
2018-04-18,13,32,28,32,54,19,4,289,3202
2018-04-19,20,46,30,21,48,17,5,297,4825
2018-04-20,22,34,35,34,54,9,9,329,11806
2018-04-21,8,34,27,33,40,7,9,268,11640
2018-04-22,16,47,44,45,40,16,8,341,11656
2018-04-23,14,34,35,43,60,8,3,362,11471
2018-04-24,11,50,49,65,28,12,7,362,9148
2018-04-25,11,45,57,46,37,15,13,308,8384
2018-04-26,9,27,37,36,30,14,10,307,7724
2018-04-27,5,58,25,50,38,6,8,291,6387
2018-04-28,12,46,36,44,52,8,7,262,5565
2018-04-29,15,35,47,50,40,8,5,220,5813
2018-04-30,5,32,45,43,47,12,5,284,5566
2018-05-01,9,43,27,39,37,18,13,291,4523
2018-05-02,5,44,43,37,51,25,17,299,3921
2018-05-03,20,64,35,36,51,14,11,317,3733
2018-05-04,14,34,38,35,46,9,12,313,3619
2018-05-05,15,38,31,42,37,11,9,204,3466
2018-05-06,8,29,35,27,42,13,9,261,3679
2018-05-07,14,36,39,37,40,12,15,301,4012
2018-05-08,6,55,36,40,49,10,12,250,2825
2018-05-09,14,36,46,33,52,17,12,301,2878
2018-05-10,19,36,53,32,59,19,14,365,2558
2018-05-11,8,36,43,32,37,10,11,312,2692
2018-05-12,9,36,34,37,53,8,8,232,2272
2018-05-13,12,37,50,39,52,18,11,247,2481
2018-05-14,6,41,35,36,45,9,14,303,2238
2018-05-15,12,34,35,32,43,13,8,300,2167
2018-05-16,14,34,45,44,38,11,15,308,1904
2018-05-17,8,28,44,27,35,14,15,278,1864
2018-05-18,12,36,35,22,42,10,15,301,1700
2018-05-19,11,31,38,35,32,10,9,241,1681
2018-05-20,8,32,34,32,33,12,6,247,1980
2018-05-21,13,37,51,37,55,13,11,354,1854
2018-05-22,13,55,39,34,35,17,10,376,1617
2018-05-23,25,43,50,41,43,19,21,347,1685
2018-05-24,11,37,39,45,43,18,10,296,1541
2018-05-25,3,33,44,41,47,10,7,242,1384
2018-05-26,11,29,43,33,39,13,13,203,1395
2018-05-27,9,26,43,39,44,12,9,224,1568
2018-05-28,8,36,40,35,53,11,12,301,1458
2018-05-29,15,27,38,37,46,18,5,290,1415
2018-05-30,16,45,35,40,61,17,15,267,1245
2018-05-31,8,20,65,33,59,7,14,247,1201
2018-06-01,12,35,61,41,40,12,22,298,1059
2018-06-02,10,33,48,43,40,16,8,254,1212
2018-06-03,9,37,45,135,53,8,11,290,1377
2018-06-04,14,42,37,38,42,26,9,285,1253
2018-06-05,6,34,36,35,33,12,4,309,1187
2018-06-06,13,33,27,30,34,12,12,266,1166
2018-06-07,17,36,44,51,45,14,12,286,1087
2018-06-08,11,33,37,76,42,15,15,276,1025
2018-06-09,15,35,28,57,42,14,4,255,1075
2018-06-10,12,29,30,54,35,12,6,259,1366
2018-06-11,17,25,38,46,38,7,6,296,1169
2018-06-12,17,32,46,42,32,10,4,268,1104
2018-06-13,13,33,31,78,86,7,8,309,1044
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,10,30,51,35,49,10,7,255,949
2018-06-16,5,26,24,35,45,9,6,218,977
2018-06-17,10,52,44,33,43,27,11,347,1162
