Date,"Roosevelt dime","Yugoslav monitor Sava","Isidor Isaac Rabi","Giganotosaurus","Gubby Allen","Peter Evans (swimmer)","Teleost","William Cooley","Rare Replay"
2016-12-11,5,99,179,895,58,10,274,27,1282
2016-12-12,4,188,150,730,32,13,337,25,1169
2016-12-13,4,137,155,749,30,11,359,22,1090
2016-12-14,6,93,124,719,34,12,325,22,1113
2016-12-15,10,119,132,685,25,12,283,18,970
2016-12-16,5,87,139,608,29,19,261,26,995
2016-12-17,6,55,116,717,45,22,174,24,1232
2016-12-18,3,64,167,712,31,14,205,24,1249
2016-12-19,7,48,124,727,30,7,251,34,1152
2016-12-20,6,39,138,630,33,12,239,23,1034
2016-12-21,5,56,106,660,27,15,226,26,957
2016-12-22,10,80,118,1320,26,18,204,21,1051
2016-12-23,4,32,103,1033,27,15,182,22,1094
2016-12-24,5,27,75,760,531,9,148,14,1122
2016-12-25,4,25,79,787,36,9,238,522,2151
2016-12-26,4,20,119,808,27,205,154,34,2159
2016-12-27,8,36,125,985,45,6,169,20,1711
2016-12-28,3,261,125,963,48,12,164,24,1559
2016-12-29,0,35,157,988,43,13,162,34,1875
2016-12-30,7,57,127,831,56,8,161,14,1702
2016-12-31,12,29,105,860,21,7,275,20,1480
2017-01-01,5,65,88,905,27,7,115,19,1454
2017-01-02,9,34,106,1102,35,4,203,10,1498
2017-01-03,6,36,107,1093,32,8,233,29,1278
2017-01-04,6,40,139,1108,20,11,211,17,1134
2017-01-05,6,44,153,1212,41,13,222,27,1055
2017-01-06,8,48,159,980,40,19,219,44,1084
2017-01-07,4,31,143,1037,24,11,197,35,1198
2017-01-08,9,47,123,1060,546,9,149,43,1222
2017-01-09,6,51,150,1064,31,6,240,18,1106
2017-01-10,13,29,150,997,28,12,242,21,1077
2017-01-11,5,35,180,992,26,10,287,11,854
2017-01-12,5,49,145,1005,33,13,258,29,906
2017-01-13,3,23,130,1033,45,11,278,18,898
2017-01-14,5,53,120,982,22,9,164,18,924
2017-01-15,4,33,107,1078,32,9,165,21,933
2017-01-16,8,38,140,1119,32,16,200,25,901
2017-01-17,9,50,140,1090,39,12,303,20,939
2017-01-18,3,72,128,939,25,9,250,28,957
2017-01-19,3,46,126,940,31,11,213,37,976
2017-01-20,9,43,124,914,20,10,231,39,895
2017-01-21,6,34,99,848,16,11,169,23,919
2017-01-22,3,29,114,1018,35,11,240,25,974
2017-01-23,11,44,125,963,34,12,253,32,922
2017-01-24,4,55,156,869,30,10,258,23,807
2017-01-25,91,41,105,874,23,7,266,21,780
2017-01-26,4,28,138,886,33,17,275,25,791
2017-01-27,2,84,146,842,24,12,256,20,848
2017-01-28,7,89,124,837,28,15,184,30,958
2017-01-29,95,69,126,885,25,10,258,22,1040
2017-01-30,51,48,120,1007,21,11,289,21,891
2017-01-31,50,75,122,879,19,9,355,30,776
2017-02-01,51,48,136,824,42,13,441,31,773
2017-02-02,21,57,116,816,28,3,311,18,720
2017-02-03,17,47,124,910,18,4,274,9,792
2017-02-04,63,36,114,924,24,11,195,24,982
2017-02-05,41,50,145,948,27,14,250,18,911
2017-02-06,39,59,139,906,33,14,321,34,803
2017-02-07,73,51,143,966,29,17,340,28,867
2017-02-08,73,50,164,842,34,20,294,31,786
2017-02-09,5807,53,123,851,31,14,324,26,823
2017-02-10,100,59,132,861,32,6,273,21,794
2017-02-11,77,32,107,835,20,14,192,17,918
2017-02-12,51,39,136,916,28,6,229,28,894
2017-02-13,57,44,120,882,61,13,330,18,856
2017-02-14,38,36,120,854,42,8,320,25,762
2017-02-15,73,43,144,846,50,15,338,47,785
2017-02-16,51,44,143,950,17,15,308,32,815
2017-02-17,51,30,129,888,34,9,261,26,793
2017-02-18,52,34,134,819,26,8,272,27,888
2017-02-19,58,37,128,902,28,17,287,21,912
2017-02-20,43,32,134,941,20,8,397,17,901
2017-02-21,51,21,133,907,39,10,362,14,770
2017-02-22,50,40,136,882,30,9,321,14,869
2017-02-23,49,47,137,987,42,17,328,22,855
2017-02-24,37,40,110,906,19,10,263,26,819
2017-02-25,31,44,121,938,32,13,231,14,879
2017-02-26,39,46,128,938,38,15,261,19,1007
2017-02-27,48,46,164,896,23,5,383,20,819
2017-02-28,35,35,116,862,21,13,307,20,986
2017-03-01,43,35,126,884,31,11,352,25,966
2017-03-02,45,46,159,1037,19,11,314,19,819
2017-03-03,42,44,109,916,23,9,283,20,766
2017-03-04,72,34,109,953,20,13,225,13,868
2017-03-05,66,32,118,1058,23,12,324,17,1048
2017-03-06,63,30,113,1225,16,11,311,25,933
2017-03-07,53,40,123,1085,29,16,364,27,803
2017-03-08,53,42,150,1003,22,17,336,25,688
2017-03-09,62,79,132,1040,33,14,331,28,755
2017-03-10,79,38,164,1006,40,19,252,32,879
2017-03-11,45,34,128,969,19,14,246,23,860
2017-03-12,172,29,234,1300,21,10,224,22,901
2017-03-13,42,79,200,1246,33,13,283,20,824
2017-03-14,53,57,281,1028,25,13,251,26,782
2017-03-15,38,32,536,978,51,12,239,26,649
2017-03-16,35,43,538,941,36,3,261,30,729
2017-03-17,46,37,515,911,43,14,261,29,740
2017-03-18,45,32,330,959,24,16,179,22,770
2017-03-19,69,28,197,1017,19,12,202,22,791
2017-03-20,40,45,401,935,32,15,291,20,774
2017-03-21,34,28,271,983,23,14,322,30,737
2017-03-22,57,30,172,870,21,20,273,24,781
2017-03-23,73,36,140,962,31,20,334,35,859
2017-03-24,51,34,106,850,27,17,234,22,711
2017-03-25,46,36,105,858,28,19,193,24,808
2017-03-26,49,24,113,899,27,7,248,21,881
2017-03-27,64,25,110,973,43,16,439,27,807
2017-03-28,61,28,137,1061,27,7,433,16,845
2017-03-29,44,31,128,1009,27,6,336,16,696
2017-03-30,72,33,164,1110,28,20,371,18,749
2017-03-31,95,38,103,964,23,15,281,19,733
2017-04-01,80,25,126,773,27,16,250,24,683
2017-04-02,65,34,116,881,23,14,233,25,783
2017-04-03,57,34,119,889,25,10,360,19,815
2017-04-04,40,28,116,818,28,6,312,23,891
2017-04-05,33,51,122,803,36,4,314,20,873
2017-04-06,34,64,144,819,19,14,307,17,744
2017-04-07,46,21,188,759,26,9,261,22,670
2017-04-08,43,27,240,729,25,9,215,25,801
2017-04-09,59,30,345,853,14,3,245,19,827
2017-04-10,52,38,224,831,35,16,312,31,943
2017-04-11,48,36,162,802,15,7,314,16,954
2017-04-12,42,47,152,796,31,16,319,27,1065
2017-04-13,80,31,134,729,30,11,244,30,938
2017-04-14,50,42,98,808,29,10,209,21,1016
2017-04-15,40,26,89,653,21,20,178,23,1061
2017-04-16,65,28,93,800,31,13,241,20,985
2017-04-17,47,32,136,798,27,5,272,12,1019
2017-04-18,48,33,264,764,32,19,396,26,893
2017-04-19,74,26,307,770,20,5,369,22,909
2017-04-20,55,37,248,909,26,14,343,25,796
2017-04-21,60,28,206,723,23,11,313,18,848
2017-04-22,107,36,240,1216,42,14,657,31,776
2017-04-23,135,39,295,828,25,9,277,28,811
2017-04-24,183,34,211,815,27,12,359,29,852
2017-04-25,172,31,142,779,20,9,331,32,683
2017-04-26,115,31,111,827,24,7,341,24,699
2017-04-27,191,42,135,802,19,18,342,30,597
2017-04-28,185,30,142,741,21,11,290,20,605
2017-04-29,121,19,112,675,20,6,219,17,689
2017-04-30,104,15,126,894,27,8,253,31,713
2017-05-01,130,25,131,871,32,11,279,23,649
2017-05-02,119,32,108,750,39,13,348,31,654
2017-05-03,111,76,126,696,34,18,341,24,644
2017-05-04,133,55,138,795,36,11,325,13,585
2017-05-05,134,93,273,822,25,10,294,20,637
2017-05-06,119,63,273,821,25,15,230,36,707
2017-05-07,135,33,206,879,32,1,205,21,665
2017-05-08,141,39,191,846,32,10,343,21,691
2017-05-09,151,29,248,739,21,4,377,20,690
2017-05-10,114,23,263,789,22,9,353,22,615
2017-05-11,117,26,274,671,20,10,292,16,605
2017-05-12,130,28,132,772,32,6,242,21,633
2017-05-13,102,23,89,667,21,9,212,17,637
2017-05-14,134,32,110,759,10,12,258,18,627
2017-05-15,89,30,107,1118,27,9,314,21,610
2017-05-16,46,36,103,1303,24,6,366,18,853
2017-05-17,57,25,109,859,25,10,353,23,732
2017-05-18,62,30,113,798,34,9,268,21,663
2017-05-19,50,28,101,737,29,8,256,30,720
2017-05-20,51,34,107,657,29,18,216,36,734
2017-05-21,51,26,114,801,31,14,215,17,773
2017-05-22,59,28,120,798,23,8,249,28,803
2017-05-23,64,44,109,715,23,15,280,26,594
2017-05-24,49,37,125,652,24,9,309,22,546
2017-05-25,117,33,113,653,25,10,236,24,598
2017-05-26,72,36,116,652,30,16,216,18,572
2017-05-27,55,24,103,693,22,7,211,26,559
2017-05-28,58,15,91,770,20,5,221,17,609
2017-05-29,60,35,121,767,44,9,200,25,650
2017-05-30,74,57,98,747,33,14,270,38,616
2017-05-31,69,30,142,736,31,12,229,20,623
2017-06-01,68,31,135,651,41,13,209,30,545
2017-06-02,60,30,86,660,35,11,193,17,565
2017-06-03,64,33,102,582,28,10,174,17,609
2017-06-04,56,45,86,568,33,8,163,14,671
2017-06-05,64,34,102,642,24,6,217,26,610
2017-06-06,43,31,115,629,27,16,205,19,573
2017-06-07,76,40,112,809,30,12,226,22,600
2017-06-08,59,32,105,660,31,10,236,39,559
2017-06-09,61,32,89,633,20,8,180,22,614
2017-06-10,66,21,95,596,25,7,175,16,599
2017-06-11,78,29,110,762,38,15,171,18,1151
2017-06-12,64,27,131,751,28,11,201,13,5798
2017-06-13,97,39,132,622,29,20,208,27,3002
2017-06-14,44,36,106,635,33,9,206,21,2997
2017-06-15,72,48,137,717,347,14,201,21,1953
2017-06-16,55,37,110,633,44,6,185,14,1485
2017-06-17,54,22,90,655,29,10,165,29,1054
2017-06-18,54,30,103,719,28,10,204,23,1042
2017-06-19,66,32,124,754,41,8,198,16,884
2017-06-20,67,31,121,624,39,8,198,22,762
2017-06-21,56,25,128,664,50,8,188,16,747
2017-06-22,59,42,112,656,27,15,266,20,814
2017-06-23,70,73,110,648,38,13,205,18,1295
2017-06-24,40,61,84,681,20,5,159,18,955
2017-06-25,54,102,114,708,31,8,153,16,799
2017-06-26,65,63,112,619,34,6,202,25,870
2017-06-27,60,54,96,688,38,6,212,23,982
2017-06-28,57,45,118,839,35,14,192,33,893
2017-06-29,49,94,120,726,42,6,181,18,955
2017-06-30,57,44,97,665,30,6,172,29,883
2017-07-01,54,53,121,920,26,6,128,22,810
2017-07-02,60,34,91,657,22,5,163,15,841
2017-07-03,60,27,121,777,31,6,156,23,867
2017-07-04,47,32,121,1393,34,5,183,17,984
2017-07-05,53,43,123,1282,27,13,169,17,785
2017-07-06,53,35,125,814,88,8,253,18,792
2017-07-07,63,27,111,759,49,10,198,16,652
2017-07-08,56,27,86,697,69,4,162,9,703
2017-07-09,396,39,125,701,58,8,148,21,744
2017-07-10,76,38,116,748,49,16,198,24,754
2017-07-11,69,40,129,715,34,10,194,26,797
2017-07-12,57,34,113,652,66,11,185,18,746
2017-07-13,48,32,117,688,35,7,153,10,657
2017-07-14,51,23,132,678,34,4,204,15,654
2017-07-15,59,37,126,763,40,11,221,35,882
2017-07-16,47,27,195,666,34,39,1147,40,879
2017-07-17,60,42,129,696,33,21,598,22,795
2017-07-18,58,23,108,879,40,15,332,12,761
2017-07-19,59,51,125,963,39,22,323,24,821
2017-07-20,52,33,110,852,38,10,335,22,779
2017-07-21,76,56,148,714,39,11,238,23,1171
2017-07-22,46,43,122,753,28,9,339,12,873
2017-07-23,70,42,100,837,50,16,276,27,773
2017-07-24,64,32,137,728,38,10,290,28,643
2017-07-25,82,57,179,659,51,8,271,24,602
2017-07-26,267,53,154,654,54,15,243,26,601
2017-07-27,38504,268,115,616,48,15,195,18,553
2017-07-28,6850,51845,398,670,67,12,208,12,542
2017-07-29,3261,7535,28710,1009,50,10,174,14,546
2017-07-30,2545,4059,5347,51311,386,8,198,13,638
2017-07-31,640,3526,3290,11506,23073,142,254,17,555
2017-08-01,423,637,2159,6322,4232,19613,423,28,659
2017-08-02,370,388,489,4034,2305,2982,31108,264,509
2017-08-03,277,326,378,1511,1707,1881,5993,60630,761
2017-08-04,220,270,314,1244,400,1364,2792,6073,36550
2017-08-05,219,240,248,1114,306,161,2438,3505,6273
2017-08-06,216,226,278,985,159,114,802,2557,3640
2017-08-07,196,193,252,938,145,102,509,747,3348
2017-08-08,174,181,256,932,170,84,438,463,981
2017-08-09,142,142,250,1504,119,97,459,358,862
2017-08-10,162,117,174,1079,97,53,339,263,751
2017-08-11,148,101,174,953,80,45,339,236,681
2017-08-12,126,91,141,805,62,44,249,171,709
2017-08-13,162,91,176,802,61,32,276,160,702
2017-08-14,133,92,193,729,73,47,296,135,710
2017-08-15,144,89,153,752,63,28,262,137,567
2017-08-16,125,80,148,717,84,36,266,105,549
2017-08-17,97,52,157,707,60,36,277,304,550
2017-08-18,125,60,140,634,63,35,208,144,589
2017-08-19,101,83,120,724,61,28,259,94,604
2017-08-20,103,73,128,757,77,29,267,97,644
2017-08-21,91,67,152,660,44,29,249,86,583
2017-08-22,106,43,154,585,114,21,307,84,654
2017-08-23,107,80,139,595,79,16,280,59,570
2017-08-24,96,58,151,606,52,31,264,71,554
2017-08-25,80,42,130,593,41,23,192,63,594
2017-08-26,83,62,148,630,43,17,168,57,475
2017-08-27,88,62,130,653,36,18,190,67,560
2017-08-28,67,53,142,717,57,24,223,76,527
2017-08-29,51,37,144,671,59,12,251,55,538
2017-08-30,69,39,136,739,45,27,271,58,577
2017-08-31,82,39,147,682,39,25,269,57,476
2017-09-01,54,36,128,673,46,14,187,51,466
2017-09-02,74,31,109,641,55,21,177,54,535
2017-09-03,90,35,123,672,66,14,165,50,579
2017-09-04,80,53,155,710,50,18,216,51,578
2017-09-05,70,42,163,586,49,14,199,27,476
2017-09-06,94,55,138,584,54,24,233,49,486
2017-09-07,74,20,145,536,238,10,246,49,509
2017-09-08,81,29,132,730,216,14,201,47,489
2017-09-09,76,38,133,566,109,10,147,66,540
2017-09-10,82,22,130,697,55,13,144,88,483
2017-09-11,78,20,160,599,46,12,213,55,567
2017-09-12,73,32,178,567,48,7,771,48,460
2017-09-13,76,31,204,573,34,15,226,35,496
2017-09-14,83,25,159,587,150,23,228,27,533
2017-09-15,105,35,256,632,77,13,250,43,513
2017-09-16,56,28,107,707,43,19,202,25,522
2017-09-17,48,23,107,647,45,17,233,29,560
2017-09-18,86,37,204,635,61,11,254,34,471
2017-09-19,98,37,251,626,66,17,248,26,489
2017-09-20,90,28,157,581,33,10,223,33,440
2017-09-21,94,25,168,592,31,5,241,23,458
2017-09-22,75,26,131,615,38,21,755,28,650
2017-09-23,90,34,121,611,38,18,780,35,618
2017-09-24,66,34,104,661,36,13,182,26,537
2017-09-25,91,38,132,615,45,12,247,21,569
2017-09-26,87,53,143,567,52,17,285,33,523
2017-09-27,64,51,128,588,31,14,278,30,518
2017-09-28,83,35,138,642,40,13,270,26,511
2017-09-29,79,38,103,518,34,13,224,29,566
2017-09-30,67,32,89,580,31,10,159,23,638
2017-10-01,78,39,113,582,30,6,166,19,630
2017-10-02,88,43,126,681,30,14,217,20,605
2017-10-03,74,38,205,646,33,13,257,25,600
2017-10-04,74,24,226,709,31,12,245,29,556
2017-10-05,51,24,152,636,37,20,298,19,546
2017-10-06,84,23,144,672,33,16,282,25,516
2017-10-07,70,42,137,637,45,11,228,28,571
2017-10-08,83,24,143,636,23,6,225,25,582
2017-10-09,87,35,156,775,36,12,285,18,538
2017-10-10,80,28,158,560,32,9,277,19,563
2017-10-11,86,33,187,582,39,17,333,21,505
2017-10-12,79,56,161,584,17,10,285,26,516
2017-10-13,77,48,152,898,21,13,222,27,481
2017-10-14,60,34,136,653,34,14,191,20,572
2017-10-15,65,69,139,653,37,12,235,32,596
2017-10-16,58,40,137,612,21,17,244,15,560
2017-10-17,99,34,118,585,49,18,282,26,483
2017-10-18,64,28,150,631,42,15,302,32,597
2017-10-19,102,39,211,561,140,17,245,18,563
2017-10-20,73,23,132,582,56,16,243,22,502
2017-10-21,60,28,120,573,23,9,190,25,474
2017-10-22,60,26,133,918,28,34,237,20,520
2017-10-23,65,28,122,751,38,17,221,30,644
2017-10-24,89,27,151,634,27,13,300,22,632
2017-10-25,99,44,140,596,41,16,287,19,598
2017-10-26,81,33,150,831,21,8,291,18,560
2017-10-27,74,31,114,729,24,10,240,20,480
2017-10-28,83,26,99,606,33,16,206,21,500
2017-10-29,72,34,123,633,29,9,222,25,551
2017-10-30,77,30,109,662,29,9,265,17,541
2017-10-31,63,18,113,650,29,10,265,30,521
2017-11-01,62,30,104,646,42,16,264,19,536
2017-11-02,80,34,119,707,24,10,292,17,560
2017-11-03,70,20,155,710,26,14,276,17,570
2017-11-04,57,20,117,599,34,5,219,19,581
2017-11-05,75,44,130,647,22,17,252,17,635
2017-11-06,85,27,127,663,31,11,298,26,665
2017-11-07,76,33,145,614,32,9,319,28,767
2017-11-08,85,29,145,638,29,13,310,22,652
2017-11-09,73,38,100,639,115,9,274,22,594
2017-11-10,80,24,104,571,42,9,218,14,625
2017-11-11,57,254,93,626,38,17,178,23,698
2017-11-12,75,43,115,851,31,12,249,442,747
2017-11-13,107,26,133,671,42,26,319,25,629
2017-11-14,68,32,143,675,25,12,279,23,614
2017-11-15,72,34,124,666,38,16,275,13,595
2017-11-16,153,25,126,663,42,21,278,22,546
2017-11-17,71,37,111,614,38,10,291,21,582
2017-11-18,75,26,125,729,33,9,185,21,541
2017-11-19,86,23,115,613,31,10,277,21,603
2017-11-20,83,78,172,681,95,9,306,15,617
2017-11-21,66,42,176,632,46,13,286,29,593
2017-11-22,52,30,173,736,57,7,247,16,564
2017-11-23,70,32,182,627,56,13,207,26,804
2017-11-24,64,23,142,705,76,10,240,18,1077
2017-11-25,70,36,178,665,69,15,214,20,964
2017-11-26,84,30,116,826,64,12,249,18,901
2017-11-27,86,40,204,809,60,23,301,24,956
2017-11-28,94,33,164,622,40,11,299,31,820
2017-11-29,66,28,151,616,34,6,251,15,686
2017-11-30,94,29,210,559,40,7,280,15,617
2017-12-01,74,32,126,561,62,16,257,25,662
2017-12-02,69,22,210,578,75,7,195,17,669
2017-12-03,96,18,218,734,82,4,216,19,759
2017-12-04,76,29,184,784,76,12,363,13,679
2017-12-05,62,25,211,788,88,5,294,14,654
2017-12-06,66,283,242,901,83,11,401,19,631
2017-12-07,73,28,232,865,67,3,285,20,611
2017-12-08,69,29,139,1567,73,8,279,463,638
2017-12-09,82,23,134,1293,49,11,220,25,575
2017-12-10,88,25,120,1220,47,19,212,28,724
2017-12-11,71,34,341,1028,61,15,328,36,607
2017-12-12,87,34,149,866,38,16,349,32,644
2017-12-13,81,39,141,867,52,15,358,36,629
2017-12-14,66,34,150,887,58,14,364,31,552
2017-12-15,70,45,99,733,53,10,251,17,596
2017-12-16,91,30,116,698,82,14,200,16,622
2017-12-17,82,22,156,753,93,16,195,14,662
2017-12-18,58,39,157,797,102,14,231,21,724
2017-12-19,60,23,98,676,67,20,229,25,589
2017-12-20,63,42,99,767,72,12,213,15,613
2017-12-21,56,23,83,590,53,7,162,78,631
2017-12-22,61,30,92,601,40,10,147,12,3159
2017-12-23,83,21,103,625,56,8,138,8,774
2017-12-24,76,24,92,643,88,7,144,13,660
2017-12-25,78,19,82,639,87,5,133,13,844
2017-12-26,103,37,143,943,87,13,131,16,1258
2017-12-27,60,34,99,756,99,11,168,21,782
2017-12-28,65,22,95,728,108,11,170,22,750
2017-12-29,89,175,93,725,84,17,167,11,751
2017-12-30,71,42,95,729,80,7,176,20,656
2017-12-31,79,35,76,967,61,11,138,14,662
2018-01-01,74,42,96,929,84,9,135,14,594
2018-01-02,55,32,129,825,73,14,212,11,703
2018-01-03,81,49,126,812,58,15,289,17,727
2018-01-04,54,28,103,784,80,4,278,24,715
2018-01-05,72,39,115,838,102,9,186,17,673
2018-01-06,74,32,125,936,130,14,201,20,599
2018-01-07,84,31,118,864,159,14,216,26,674
2018-01-08,84,25,132,692,99,6,236,21,736
2018-01-09,76,24,113,733,57,5,290,18,680
2018-01-10,85,23,151,749,76,15,302,17,723
2018-01-11,92,36,196,735,60,5,252,19,568
2018-01-12,100,28,113,752,57,11,235,10,605
2018-01-13,83,20,83,825,57,8,181,18,626
2018-01-14,96,36,109,840,101,18,236,17,757
2018-01-15,100,28,123,938,41,13,264,16,639
2018-01-16,169,31,147,837,59,10,291,15,554
2018-01-17,88,41,188,772,55,17,275,14,592
2018-01-18,93,33,121,807,39,7,241,14,553
2018-01-19,64,38,119,788,43,12,231,15,576
2018-01-20,78,26,110,691,45,11,185,12,573
2018-01-21,81,40,136,862,45,18,200,19,713
2018-01-22,91,26,137,767,26,11,257,13,686
2018-01-23,84,31,137,819,33,9,275,17,629
2018-01-24,89,35,142,805,31,6,277,18,823
2018-01-25,75,22,162,747,39,12,234,15,924
2018-01-26,87,29,127,774,49,5,226,19,874
2018-01-27,79,21,124,713,39,4,173,7,873
2018-01-28,84,11,254,763,54,8,381,10,861
2018-01-29,91,38,137,841,45,8,404,19,813
2018-01-30,113,29,181,856,38,7,408,12,751
2018-01-31,92,25,163,754,25,9,358,14,738
2018-02-01,70,45,131,709,27,8,297,19,637
2018-02-02,91,61,142,657,37,14,245,21,582
2018-02-03,71,37,117,689,43,9,189,11,649
2018-02-04,86,32,127,811,46,7,215,31,595
2018-02-05,63,26,121,933,24,5,282,14,623
2018-02-06,76,23,145,954,43,13,303,16,563
2018-02-07,72,33,138,872,40,18,252,20,584
2018-02-08,85,46,119,867,28,15,297,19,523
2018-02-09,73,20,81,793,47,21,220,19,518
2018-02-10,80,21,97,831,32,12,200,13,562
2018-02-11,110,32,102,950,37,20,233,16,612
2018-02-12,146,28,181,838,32,4,263,14,527
2018-02-13,114,31,154,762,29,8,288,13,633
2018-02-14,88,32,119,728,34,6,271,15,534
2018-02-15,87,27,129,798,41,11,268,20,561
2018-02-16,97,19,119,770,22,12,230,15,551
2018-02-17,83,26,112,776,26,13,200,17,665
2018-02-18,79,28,112,803,25,9,195,18,638
2018-02-19,96,33,135,741,21,8,316,14,651
2018-02-20,118,20,128,770,39,8,308,20,579
2018-02-21,121,34,131,819,36,12,257,17,582
2018-02-22,110,45,133,890,33,25,324,22,565
2018-02-23,105,17,122,756,24,9,269,16,557
2018-02-24,125,27,106,831,23,11,195,20,655
2018-02-25,117,42,141,862,47,21,294,36,668
2018-02-26,124,43,178,962,35,11,370,16,651
2018-02-27,105,26,147,826,29,12,283,13,533
2018-02-28,123,27,116,772,18,9,285,21,571
2018-03-01,95,23,131,698,44,9,261,10,570
2018-03-02,163,33,119,757,21,12,266,13,532
2018-03-03,99,375,106,769,29,19,189,22,589
2018-03-04,128,32,148,792,38,9,173,18,651
2018-03-05,112,21,120,714,23,9,301,10,601
2018-03-06,125,36,164,709,45,10,310,444,740
2018-03-07,111,32,151,726,26,13,298,16,573
2018-03-08,92,45,159,731,26,13,264,20,603
2018-03-09,95,39,130,814,47,10,272,15,655
2018-03-10,104,21,114,726,11,6,201,16,661
2018-03-11,102,37,104,778,27,4,248,10,740
2018-03-12,115,40,125,827,34,12,311,15,691
2018-03-13,100,35,107,820,39,4,299,8,578
2018-03-14,86,31,193,772,33,7,254,13,649
2018-03-15,99,29,129,819,31,14,279,17,575
2018-03-16,111,30,137,736,29,11,267,17,624
2018-03-17,82,54,115,806,28,8,184,13,582
2018-03-18,78,53,129,845,30,12,217,22,685
2018-03-19,88,41,134,818,32,10,292,12,930
2018-03-20,125,40,124,712,27,4,332,19,1365
2018-03-21,112,34,148,730,29,11,393,18,1263
2018-03-22,88,38,157,870,28,7,395,11,1167
2018-03-23,73,27,125,830,34,6,300,20,943
2018-03-24,85,37,98,715,42,8,226,21,834
2018-03-25,76,24,153,745,78,6,261,20,937
2018-03-26,90,21,126,717,98,8,310,11,839
2018-03-27,85,62,188,666,82,12,318,19,1008
2018-03-28,103,33,153,651,65,14,296,99,814
2018-03-29,91,32,120,1377,74,2,241,15,754
2018-03-30,62,34,130,882,82,8,230,16,708
2018-03-31,73,19,126,732,65,5,194,13,645
2018-04-01,71,28,129,779,60,10,200,20,653
2018-04-02,83,38,140,876,65,10,255,20,776
2018-04-03,98,36,123,1111,52,15,326,17,670
2018-04-04,124,21,110,860,37,9,306,18,633
2018-04-05,91,30,118,797,38,20,233,13,711
2018-04-06,95,22,133,764,21,17,227,12,655
2018-04-07,72,18,115,848,24,10,170,9,672
2018-04-08,92,26,114,874,27,13,222,7,696
2018-04-09,117,25,115,1097,35,13,302,12,722
2018-04-10,89,26,104,935,35,14,278,10,716
2018-04-11,103,27,128,797,35,16,360,18,863
2018-04-12,95,32,142,846,29,16,323,22,755
2018-04-13,76,31,130,769,31,5,252,17,749
2018-04-14,87,23,128,669,43,15,198,17,709
2018-04-15,99,26,141,977,56,11,195,20,731
2018-04-16,104,24,152,866,37,15,307,10,767
2018-04-17,101,31,158,857,49,14,340,22,771
2018-04-18,84,16,94,989,25,7,313,10,771
2018-04-19,72,26,121,917,28,8,270,7,612
2018-04-20,74,33,108,871,27,6,236,9,635
2018-04-21,67,15,98,816,17,5,191,7,585
2018-04-22,69,31,118,956,34,12,227,24,716
2018-04-23,73,25,155,881,25,11,292,11,590
2018-04-24,78,45,139,805,23,13,260,16,607
2018-04-25,97,44,158,847,33,9,270,20,575
2018-04-26,88,70,140,767,25,9,296,19,535
2018-04-27,54,37,129,679,38,8,239,14,494
2018-04-28,47,31,93,742,27,6,227,13,449
2018-04-29,59,27,96,871,37,8,250,9,645
2018-04-30,93,33,138,791,25,8,300,11,527
2018-05-01,163,32,136,772,28,11,323,21,583
2018-05-02,56,18,87,727,33,5,326,6,523
2018-05-03,75,37,123,731,44,11,293,18,484
2018-05-04,82,26,119,736,19,9,272,6,507
2018-05-05,90,30,109,627,23,11,210,6,528
2018-05-06,74,96,124,735,33,8,240,9,571
2018-05-07,84,46,124,833,26,10,370,15,500
2018-05-08,74,28,251,795,37,12,366,13,648
2018-05-09,60,38,237,844,23,12,277,10,521
2018-05-10,70,51,124,777,24,12,268,12,520
2018-05-11,68,35,262,1002,32,6,213,13,555
2018-05-12,52,51,140,949,25,5,177,11,546
2018-05-13,88,67,137,960,25,9,244,12,567
2018-05-14,86,62,135,807,23,6,255,11,581
2018-05-15,51,39,120,877,32,6,258,17,619
2018-05-16,71,44,122,873,21,10,239,13,515
2018-05-17,59,42,130,899,22,3,258,10,453
2018-05-18,67,25,135,797,24,12,192,15,477
2018-05-19,54,34,97,932,23,7,191,15,486
2018-05-20,73,26,107,1080,25,6,244,11,504
2018-05-21,99,46,116,992,38,6,250,13,499
2018-05-22,73,39,133,921,22,4,288,14,624
2018-05-23,82,36,132,844,36,14,247,20,756
2018-05-24,72,42,101,1103,50,11,273,18,573
2018-05-25,67,34,99,784,30,1,165,10,514
2018-05-26,59,21,104,785,40,8,165,9,522
2018-05-27,79,39,94,916,52,7,186,6,539
2018-05-28,78,31,116,946,46,6,208,14,599
2018-05-29,62,42,127,1059,31,8,232,8,610
2018-05-30,56,39,112,1145,29,12,225,18,597
2018-05-31,61,35,110,1238,36,2,195,7,547
2018-06-01,78,33,93,1061,50,13,187,6,541
2018-06-02,55,45,110,977,40,6,145,11,578
2018-06-03,74,44,115,1300,41,10,174,7,644
2018-06-04,77,74,91,1614,35,12,205,7,561
2018-06-05,62,26,97,1558,31,11,186,38,514
2018-06-06,55,22,112,1545,25,16,204,36,534
2018-06-07,60,25,95,1543,32,8,212,25,526
2018-06-08,49,36,91,1604,29,11,189,16,486
2018-06-09,46,42,86,1772,53,8,176,15,523
2018-06-10,45,53,85,1805,29,3,166,14,910
2018-06-11,49,20,82,2628,35,9,198,26,923
2018-06-12,54,35,124,2261,24,12,222,20,776
2018-06-13,78,41,107,2126,39,8,186,17,623
